members,phase,elapsed_ms,allocated_bytes,presenters,visual_keys,visible
10000,preview_first,33.609900,20047640,20000,20000,20000
10000,commit_first,58.780400,15407064,30000,30000,20000
10000,clear_first,6.982800,0,30000,30000,10000
10000,preview_repeat_0,8.267300,0,30000,30000,20000
10000,commit_repeat_0,16.682500,0,30000,30000,20000
10000,clear_repeat_0,6.517300,0,30000,30000,10000
10000,preview_repeat_1,8.750900,0,30000,30000,20000
10000,commit_repeat_1,21.353800,0,30000,30000,20000
10000,clear_repeat_1,7.927400,0,30000,30000,10000
10000,preview_repeat_2,11.883500,0,30000,30000,20000
10000,commit_repeat_2,17.620400,0,30000,30000,20000
10000,clear_repeat_2,5.682300,0,30000,30000,10000
10000,preview_repeat_3,9.240800,0,30000,30000,20000
10000,commit_repeat_3,18.740800,0,30000,30000,20000
10000,clear_repeat_3,5.949000,0,30000,30000,10000
