members,phase,elapsed_ms,allocated_bytes,presenters,visual_keys,visible
10000,preview_first,30.152600,20047640,20000,20000,20000
10000,commit_first,48.974200,15407248,30000,30000,20000
10000,clear_first,5.396200,0,30000,30000,10000
10000,preview_repeat_0,7.344100,0,30000,30000,20000
10000,commit_repeat_0,13.541800,0,30000,30000,20000
10000,clear_repeat_0,5.582800,0,30000,30000,10000
10000,preview_repeat_1,7.390900,0,30000,30000,20000
10000,commit_repeat_1,13.337500,0,30000,30000,20000
10000,clear_repeat_1,5.734500,0,30000,30000,10000
10000,preview_repeat_2,6.860400,0,30000,30000,20000
10000,commit_repeat_2,13.139000,0,30000,30000,20000
10000,clear_repeat_2,5.247300,0,30000,30000,10000
10000,preview_repeat_3,7.472100,0,30000,30000,20000
10000,commit_repeat_3,13.585200,0,30000,30000,20000
10000,clear_repeat_3,5.648100,0,30000,30000,10000
