frame,fps,cleanPerf,visibleEntities,presenterActive,presenterDefs,primitiveRaw,primitiveStaticRaw,skinnedRaw,gpuSkinned,gpuSkinBuild,gpuSkinDraw,gap,poll,pre,tick,post,begin,sim,simTop1,simTop2,simTop3,presentation,presTop1,presTop2,presTop3,behavior,behaviorBoot,behaviorOwner,behaviorAttr,behaviorTag,behaviorTick,animator,transformSync,minimapCollect,minimapMarkers,minimapProject,minimapScreen,heightSync,heightSamples,requestFlush,spawnBatch,spawnPerf,spawnPerfParts,spawnPerfChildParts,cull,cullSpatial,cullStatic,cullDyn,cullEntity,cullSync,hudProj,hudRaw,hudProjected,hudDensitySkip,mode3D,terrain,terrainChunks,field,fieldCount,fieldDirty,fieldArea,fieldDraws,primitive,primSync,primBucket,primImmediate,primImmediateSkip,primBuild,primDraw,primInstances,primBatches,primCache,ground,groundCount,groundRaw,spline,splineCount,splineRaw,debugDraw,debugDrawCount,debugDrawRaw,overlay,overlayBuild,overlayDirtyLanes,overlayItems,overlayRebuilt,overlayPaint,overlayComposite,uiRender,uiUpload,overlayFinal,nativeDiag,emit,emitDirty,emitDirtyCount,emitRetained,emitRetainedCount,hudPositionOnly,emitRetainedDirectPath,endDraw,screenshot,worldHud,screenBars,screenText,worldHudDrops,screenHudDrops,overlaySceneDrops,utc
120.12ms,8.3,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.20,0.65,0.00,0.00,0.08,23.94,14.21,0.01,3.16,EffectProcessingLoopSystem:3.14,:0.00,:0.00,20.60,PresenterBehaviorSystem:4.88,MinimapPresentationSystem:3.59,CameraCullingSystem:3.55,4.88,0,0,0,0,10000,1.04,1.42,0.39,10009/0,3.58,10000/0,0.60,10009,0.01,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,3.55,2.54,0.01,0.98,3.54,0.00,14.15,20000,20000,0,2.76,0.04,4/0,0.01,0,0,0,0,2.68,0.00,0.05,0.02,6,0.00,0.03,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,2.81,0.02,1,20038,0,1.55,0.00,0.00,0.00,1.03,0.00,2.62,0.00,0,0.00,0,0,0/0/0,71.89,0.00,20000,10000,10000,0,0,0,2026-09-09T18:45:08.2662571Z
122.46ms,8.2,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.21,0.65,0.00,0.00,0.06,24.53,14.53,0.01,3.08,EffectProcessingLoopSystem:3.07,:0.00,:0.00,21.30,PresenterBehaviorSystem:5.14,CameraCullingSystem:4.27,MinimapPresentationSystem:3.67,5.14,0,0,0,0,10000,1.02,1.49,0.37,10009/0,3.66,10000/0,0.64,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,4.27,2.66,0.01,1.59,4.27,0.00,14.50,20000,20000,0,2.63,0.02,4/0,0.00,0,0,0,0,2.58,0.00,0.04,0.01,6,0.00,0.02,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,2.52,0.01,1,20038,0,1.52,0.00,0.00,0.00,1.00,0.00,2.18,0.00,0,0.00,0,0,0/0/0,73.79,0.00,20000,10000,10000,0,0,0,2026-09-09T18:45:15.7364805Z
121.90ms,8.2,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.20,0.99,0.01,0.00,0.09,32.49,17.09,0.01,4.84,MassNavigationAuthoredAgentBindingSystem:1.51,MapEntityLifecycleObserverSystem:1.19,AttributeAggregatorSystem:0.97,27.44,PresenterBehaviorSystem:5.82,CameraCullingSystem:5.36,MinimapPresentationSystem:4.31,5.81,0,161,161,0,10000,1.13,2.15,0.52,10009/0,4.30,10000/0,0.71,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,5.36,2.98,0.01,2.36,5.36,0.00,16.34,20000,20000,0,3.12,0.05,4/0,0.00,0,0,0,0,3.01,0.00,0.07,0.02,6,0.00,0.05,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,6.87,0.70,3,20038,0,5.65,0.00,0.00,0.00,1.21,0.00,3.64,0.00,0,0.69,320,0,320/0/0,56.63,0.00,20000,10000,10000,0,0,0,2026-09-09T18:45:23.0362618Z
273.68ms,3.7,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.92,1.68,0.01,0.00,0.09,211.83,36.67,0.01,99.05,MassNavigationSimulationStepSystem:86.32,SpatialPartitionUpdateSystem:5.74,EffectProcessingLoopSystem:1.58,112.51,PresenterEntityTransformSyncSystem:31.00,PresenterBehaviorSystem:19.29,CameraCullingSystem:18.37,19.28,0,0,0,0,10000,2.32,31.00,0.99,10009/0,13.70,10000/0,2.80,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,18.36,11.10,0.02,7.20,18.36,0.00,35.69,20000,20000,0,6.02,0.06,4/0,0.00,0,0,0,0,5.86,0.00,0.08,0.02,6,0.00,0.06,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,6.24,0.85,3,20038,0,4.43,0.00,0.00,0.00,1.80,0.00,15.07,0.00,0,7.18,19976,19976,19976/0/0,0.78,0.00,20000,10000,10000,0,0,0,2026-09-09T18:45:32.4214475Z
197.40ms,5.1,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.27,1.63,0.01,0.00,0.11,153.01,27.92,0.01,45.40,MassNavigationSimulationStepSystem:38.72,EffectProcessingLoopSystem:1.50,AbilityEndOrderSystem:0.93,107.34,PresenterEntityTransformSyncSystem:24.88,PresenterEmitSystem:18.52,PresenterBehaviorSystem:18.35,18.34,0,0,0,0,10000,3.96,24.88,1.17,10009/0,15.15,10000/0,2.11,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,16.58,9.77,0.01,6.63,16.58,0.00,27.27,20000,20000,0,5.01,0.06,4/0,0.00,0,0,0,0,4.88,0.00,0.07,0.02,6,0.00,0.05,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,5.27,0.60,3,20038,0,3.80,0.00,0.00,0.00,1.47,0.00,18.52,0.00,0,8.88,19736,19736,19736/0/0,0.45,0.00,20000,10000,10000,0,0,0,2026-09-09T18:45:45.5402485Z
96.32ms,10.4,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.57,1.73,0.01,0.00,0.09,53.80,20.20,0.01,7.36,SpatialPartitionUpdateSystem:3.83,AbilityEndOrderSystem:0.91,EffectProcessingLoopSystem:0.64,46.18,PresenterBehaviorSystem:12.25,CameraCullingSystem:10.21,MinimapPresentationSystem:6.35,12.25,0,0,0,0,10000,1.45,5.18,0.84,10009/0,6.33,10000/0,1.00,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,10.21,6.31,0.02,3.86,10.20,0.00,20.14,20000,20000,0,4.13,0.05,4/0,0.00,0,0,0,0,4.02,0.00,0.06,0.01,6,0.00,0.04,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,4.51,0.02,1,20038,0,3.07,0.00,0.00,0.00,1.44,0.00,4.03,0.00,0,0.00,0,0,0/0/0,0.99,0.00,20000,10000,10000,0,0,0,2026-09-09T18:45:55.9742835Z
121.48ms,8.2,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.20,0.62,0.00,0.00,0.06,88.18,18.15,0.01,3.73,EffectProcessingLoopSystem:3.72,:0.00,:0.00,84.28,PresenterBehaviorSystem:25.33,PresenterEntityTransformSyncSystem:12.74,MinimapPresentationSystem:12.19,25.32,0,0,0,0,10000,2.73,12.74,1.21,10009/0,12.16,10000/0,1.00,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,10.36,3.70,0.01,6.63,10.36,0.00,18.09,20000,20000,0,2.57,0.03,4/0,0.00,0,0,0,0,2.51,0.00,0.04,0.01,6,0.00,0.02,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,2.61,0.02,1,20038,0,1.69,0.00,0.00,0.00,0.91,0.00,9.89,0.00,0,0.00,0,0,0/0/0,0.26,0.00,20000,10000,10000,0,0,0,2026-09-09T18:46:03.9269247Z
181.56ms,5.5,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.31,0.77,0.00,0.00,0.06,71.47,21.01,0.01,3.52,EffectProcessingLoopSystem:3.51,:0.00,:0.00,67.81,PresenterMinimapMarkerSystem:27.17,MinimapPresentationSystem:15.01,PresenterBehaviorSystem:7.64,7.64,0,0,0,0,10000,1.72,2.22,27.17,10009/0,14.99,10000/0,1.03,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,6.60,3.73,0.01,2.85,6.60,0.00,20.96,20000,20000,0,3.38,0.03,4/0,0.00,0,0,0,0,3.30,0.00,0.06,0.01,6,0.00,0.04,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,15.52,0.02,1,20038,0,14.52,0.00,0.00,0.00,0.99,0.00,3.06,0.00,0,0.00,0,0,0/0/0,64.66,0.00,20000,10000,10000,0,0,0,2026-09-09T18:46:12.0868267Z
124.94ms,8.0,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.20,0.63,0.00,0.00,0.06,58.90,15.06,0.01,30.25,MassNavigationSimulationStepSystem:27.12,SpatialPartitionUpdateSystem:1.50,EffectProcessingLoopSystem:0.41,28.50,PresenterEntityTransformSyncSystem:6.42,PresenterBehaviorSystem:5.17,PresenterEmitSystem:4.81,5.17,0,0,0,0,10000,0.99,6.42,0.38,10009/0,3.63,10000/0,0.66,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,4.05,2.82,0.00,1.21,4.05,0.00,14.69,20000,20000,0,2.63,0.02,4/0,0.00,0,0,0,0,2.56,0.00,0.04,0.01,6,0.00,0.02,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,2.92,0.35,3,20038,0,2.01,0.00,0.00,0.00,0.91,0.00,4.81,0.00,0,2.70,17872,17872,17872/0/0,41.02,0.00,20000,10000,10000,0,0,0,2026-09-09T18:46:19.4403194Z
124.88ms,8.0,0,10006,30009,"mass_navigation_agent_health_text_light:8568,mass_navigation_agent_health_hud_light:8568,mass_navigation_agent_azure_light:2142,mass_navigation_agent_crimson_light:2142,mass_navigation_agent_amber_light:2142,mass_navigation_agent_emerald_light:2142,mass_navigation_agent_health_text_heavy:1432,mass_navigation_agent_health_hud_heavy:1432",6,6,10000,10000/6,1.22,0.67,0.00,0.00,0.05,23.66,14.78,0.01,0.35,EffectProcessingLoopSystem:0.34,:0.00,:0.00,23.18,CameraCullingSystem:5.49,PresenterBehaviorSystem:5.23,MinimapPresentationSystem:3.67,5.23,0,0,0,0,10000,1.02,1.89,0.41,10009/0,3.66,10000/0,0.68,10009,0.00,0.00/0.00/0.00/0.00,0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00/0.00,0.00/0.00/0.00/0.00/0.00,5.49,2.94,0.01,2.53,5.49,0.00,14.76,20000,20000,0,2.67,0.03,4/0,0.00,0,0,0,0,2.60,0.00,0.04,0.01,6,0.00,0.02,6,2,2/0,0.00,0,0,0.00,0,0,0.00,0,0,2.65,0.01,1,20038,0,1.72,0.00,0.00,0.00,0.92,0.00,2.23,0.00,0,0.00,0,0,0/0/0,76.56,0.00,20000,10000,10000,0,0,0,2026-09-09T18:46:26.9099518Z
