frame,pair,mode,count,warmup,normalized_time,total_sync_ms,submission_cpu_ms,prep_cpu_ms,prep_gpu_interval_ms,shadow_gpu_ms,main_gpu_ms,preskin_cpu_upload_ms,texture_upload_cpu_ms,texture_upload_bytes,geometry_upload_bytes,preskin_calls,main_instances,main_draws,main_mesh_instances,shadow_instances,shadow_draws,shadow_mesh_instances,alloc_bytes,gen0,gen1,restore_submit_ms,restore_drain_ms,restore_bytes,restore_alloc_bytes,normal_correction_cpu_upload_ms,normal_correction_upload_bytes
0,0,baseline,1000,1,0,53.5707,7.092,1.8437,0.00468,2.98388,9.20992,0,0.3179,49152,0,0,1000,6,6000,1000,6,6000,669864,0,0,0.2204,0.711,214896,40,0,0
1,0,preskin,1000,1,0,14.8964,2.239,1.8398,0.05608,3.18988,6.66024,1.7985,0.0144,49152,322344,1,1000,6,6000,1000,6,6000,40,0,0,0,0,0,0,1.562,107448
2,1,preskin,1000,1,0.016393442,14.2438,2.2398,0.4992,0.05452,3.41576,6.99516,0.4514,0.0199,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.2218,107448
3,1,baseline,1000,1,0.016393442,15.8255,2.1484,0.0565,0.00544,3.74636,8.95576,0,0.016900000000000002,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0705,0.4059,214896,0,0,0
4,2,baseline,1000,1,0.032786883,16.1431,2.2775,0.0548,0.0054,3.78792,9.16056,0,0.0144,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.097,0.4094,214896,0,0,0
5,2,preskin,1000,1,0.032786883,13.8846,2.2412,0.5038,0.05476,3.31492,6.88916,0.4607,0.0173,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.224,107448
6,3,preskin,1000,1,0.04918033,13.467,2.1247,0.4616,0.03744,3.28592,6.82588,0.423,0.0126,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.2073,107448
7,3,baseline,1000,1,0.04918033,16.7422,2.153,0.062,0.00536,3.91224,9.65572,0,0.0201,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.06,0.3075,214896,0,0,0
8,4,baseline,1000,1,0.06557377,17.0973,2.677,0.072,0.00724,3.88436,9.48,0,0.0206,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0736,0.4744,214896,0,0,0
9,4,preskin,1000,1,0.06557377,28.6539,12.4031,2.6646,0.05712,3.48272,8.86224,0.3094,0.0304,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.155,107448
10,5,preskin,1000,1,0.08196721,16.8261,2.9435,0.6459,0.0384,2.84692,7.5722,0.561,0.0388,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.2702,107448
11,5,baseline,1000,1,0.08196721,16.7205,1.2175,0.0847,0.00584,3.92676,10.48188,0,0.0283,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0861,0.3992,214896,0,0,0
12,6,baseline,1000,1,0.09836066,17.4083,1.6195,0.084,0.00592,4.01016,10.45604,0,0.0296,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0784,0.3966,214896,0,0,0
13,6,preskin,1000,1,0.09836066,13.5069,0.9772,0.6476,0.04412,3.4952,7.34684,0.5878,0.0251,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.2835,107448
