frame,total_bytes,aggregator_bytes,aggregator_removes,aggregator_playback_bytes,clear_bytes,clear_removes,clear_playback_bytes,spatial_bytes,new_cells,new_cell_bytes
0,9792,0,0,0,0,0,0,0,0,0
1,577288,294328,195,285856,263584,196,255104,0,0,0
2,54640,0,0,0,0,0,0,41112,47,21808
3,1080,0,0,0,0,0,0,0,0,0
4,527008,272128,180,263888,244296,181,236056,0,0,0
5,45704,0,0,0,0,0,0,44288,45,20880
6,1080,0,0,0,0,0,0,0,0,0
7,481904,244224,161,235984,218384,162,209904,0,0,0
8,21168,0,0,0,0,0,0,240,0,0
9,9792,0,0,0,0,0,0,0,0,0
10,9320,0,0,0,0,0,0,0,0,0
11,540424,278272,184,269800,251016,185,242536,0,0,0
12,51992,0,0,0,0,0,0,38464,37,17168
13,1080,0,0,0,0,0,0,0,0,0
14,542896,280896,186,272656,251416,187,243176,0,0,0
15,54200,0,0,0,0,0,0,52784,59,27376
16,1080,0,0,0,0,0,0,0,0,0
17,536680,276576,183,268336,249520,184,241280,0,0,0
18,44368,0,0,0,0,0,0,42952,58,26912
19,1080,0,0,0,0,0,0,0,0,0
20,441176,226688,149,218448,203904,150,195664,0,0,0
21,1416,0,0,0,0,0,0,0,0,0
22,1080,0,0,0,0,0,0,0,0,0
23,474896,244296,161,236056,220016,162,211776,0,0,0
24,33472,0,0,0,0,0,0,32056,36,16704
25,1080,0,0,0,0,0,0,0,0,0
26,9320,0,0,0,0,0,0,0,0,0
27,498752,242832,160,234592,218760,161,210520,34480,41,19024
28,1080,0,0,0,0,0,0,0,0,0
29,485992,250160,165,241920,225248,166,217008,0,0,0
30,47432,0,0,0,0,0,0,46016,57,26448
31,1080,0,0,0,0,0,0,0,0,0
32,9320,0,0,0,0,0,0,0,0,0
33,505936,264824,175,256584,238432,176,230192,0,0,0
34,1080,0,0,0,0,0,0,0,0,0
35,9320,0,0,0,0,0,0,0,0,0
36,497136,261784,173,253544,233008,174,224768,0,0,0
37,40344,0,0,0,0,0,0,38928,45,20880
38,1080,0,0,0,0,0,0,0,0,0
39,9320,0,0,0,0,0,0,0,0,0
40,503624,239936,158,231696,217080,159,208840,43928,51,23664
41,1080,0,0,0,0,0,0,0,0,0
42,9320,0,0,0,0,0,0,0,0,0
43,563672,275136,182,266896,248888,183,240648,36968,46,21344
44,1080,0,0,0,0,0,0,0,0,0
45,9320,0,0,0,0,0,0,0,0,0
46,474072,248648,164,240408,222744,165,214504,0,0,0
47,1080,0,0,0,0,0,0,0,0,0
48,537456,277968,184,269728,248904,185,240664,0,0,0
49,34280,0,0,0,0,0,0,32864,46,21344
50,1080,0,0,0,0,0,0,0,0,0
51,482192,248656,164,240416,222952,165,214712,0,0,0
52,42368,0,0,0,0,0,0,40952,46,21344
53,1080,0,0,0,0,0,0,0,0,0
54,430296,220832,145,212592,198880,146,190640,0,0,0
55,39864,0,0,0,0,0,0,38448,48,22272
56,1080,0,0,0,0,0,0,0,0,0
57,9320,0,0,0,0,0,0,0,0,0
58,491688,257480,170,249240,231528,171,223288,0,0,0
59,1080,0,0,0,0,0,0,0,0,0
