skip_initial_sample_tick,frame,behavior_ms,tick_count,hud_projected,root_height_max_delta,checked_roots
False,0,3.876800,10000,20000,0.000000,10000
False,1,5.086400,10000,20000,0.000000,10000
False,2,5.090300,10000,20000,0.000000,10000
False,3,4.842300,10000,20000,0.000000,10000
False,4,4.686300,10000,20000,0.000000,10000
False,5,5.449200,10000,20000,0.000000,10000
False,6,5.346700,10000,20000,0.000000,10000
False,7,5.425500,10000,20000,0.000000,10000
False,8,8.997000,10000,20000,0.000000,10000
False,9,6.223500,10000,20000,0.000000,10000
False,10,5.594600,10000,20000,0.000000,10000
False,11,6.407900,10000,20000,0.000000,10000
False,12,4.767400,10000,20000,0.000000,10000
False,13,6.347600,10000,20000,0.000000,10000
False,14,4.071200,10000,20000,0.000000,10000
False,15,4.480800,10000,20000,0.000000,10000
False,16,2.310900,10000,20000,0.000000,10000
False,17,2.067900,10000,20000,0.000000,10000
False,18,3.339600,10000,20000,0.000000,10000
False,19,4.454900,10000,20000,0.000000,10000
False,20,4.790900,10000,20000,0.000000,10000
False,21,5.286200,10000,20000,0.000000,10000
False,22,4.925500,10000,20000,0.000000,10000
False,23,4.695300,10000,20000,0.000000,10000
False,24,5.718400,10000,20000,0.000000,10000
False,25,3.790000,10000,20000,0.000000,10000
False,26,5.725300,10000,20000,0.000000,10000
False,27,2.996400,10000,20000,0.000000,10000
False,28,3.974000,10000,20000,0.000000,10000
False,29,3.834600,10000,20000,0.000000,10000
False,30,3.977500,10000,20000,0.000000,10000
False,31,3.782600,10000,20000,0.000000,10000
False,32,3.893500,10000,20000,0.000000,10000
False,33,4.921700,10000,20000,0.000000,10000
False,34,3.537600,10000,20000,0.000000,10000
False,35,3.737800,10000,20000,0.000000,10000
False,36,4.370500,10000,20000,0.000000,10000
False,37,2.608400,10000,20000,0.000000,10000
False,38,3.171300,10000,20000,0.000000,10000
False,39,4.145900,10000,20000,0.000000,10000
False,40,2.979200,10000,20000,0.000000,10000
False,41,2.614100,10000,20000,0.000000,10000
False,42,2.089700,10000,20000,0.000000,10000
False,43,2.401200,10000,20000,0.000000,10000
False,44,3.134600,10000,20000,0.000000,10000
False,45,3.541400,10000,20000,0.000000,10000
False,46,5.862300,10000,20000,0.000000,10000
False,47,6.702400,10000,20000,0.000000,10000
False,48,5.202500,10000,20000,0.000000,10000
False,49,4.409900,10000,20000,0.000000,10000
False,50,4.634800,10000,20000,0.000000,10000
False,51,4.167700,10000,20000,0.000000,10000
False,52,3.623900,10000,20000,0.000000,10000
False,53,4.808800,10000,20000,0.000000,10000
False,54,3.942900,10000,20000,0.000000,10000
False,55,2.816400,10000,20000,0.000000,10000
False,56,3.775000,10000,20000,0.000000,10000
False,57,3.132200,10000,20000,0.000000,10000
False,58,2.666200,10000,20000,0.000000,10000
False,59,4.661100,10000,20000,0.000000,10000
True,0,0.010500,0,20000,0.000000,10000
True,1,0.006200,0,20000,0.000000,10000
True,2,0.171700,0,20000,0.000000,10000
True,3,0.005500,0,20000,0.000000,10000
True,4,0.205100,0,20000,0.000000,10000
True,5,0.007200,0,20000,0.000000,10000
True,6,0.007900,0,20000,0.000000,10000
True,7,0.318900,0,20000,0.000000,10000
True,8,0.014600,0,20000,0.000000,10000
True,9,0.014500,0,20000,0.000000,10000
True,10,0.232600,0,20000,0.000000,10000
True,11,0.008100,0,20000,0.000000,10000
True,12,0.005700,0,20000,0.000000,10000
True,13,0.182700,0,20000,0.000000,10000
True,14,0.004600,0,20000,0.000000,10000
True,15,0.204100,0,20000,0.000000,10000
True,16,0.008000,0,20000,0.000000,10000
True,17,0.186800,0,20000,0.000000,10000
True,18,0.011200,0,20000,0.000000,10000
True,19,0.008500,0,20000,0.000000,10000
True,20,0.389300,0,20000,0.000000,10000
True,21,0.016500,0,20000,0.000000,10000
True,22,0.015500,0,20000,0.000000,10000
True,23,0.247700,0,20000,0.000000,10000
True,24,0.009600,0,20000,0.000000,10000
True,25,0.007900,0,20000,0.000000,10000
True,26,0.233100,0,20000,0.000000,10000
True,27,0.008900,0,20000,0.000000,10000
True,28,0.410200,0,20000,0.000000,10000
True,29,0.018600,0,20000,0.000000,10000
True,30,0.014600,0,20000,0.000000,10000
True,31,0.027400,0,20000,0.000000,10000
True,32,0.452600,0,20000,0.000000,10000
True,33,0.017300,0,20000,0.000000,10000
True,34,0.013700,0,20000,0.000000,10000
True,35,0.488800,0,20000,0.000000,10000
True,36,0.016000,0,20000,0.000000,10000
True,37,0.010800,0,20000,0.000000,10000
True,38,0.353300,0,20000,0.000000,10000
True,39,0.018200,0,20000,0.000000,10000
True,40,0.012900,0,20000,0.000000,10000
True,41,0.012400,0,20000,0.000000,10000
True,42,0.460300,0,20000,0.000000,10000
True,43,0.014200,0,20000,0.000000,10000
True,44,0.010200,0,20000,0.000000,10000
True,45,0.343000,0,20000,0.000000,10000
True,46,0.016300,0,20000,0.000000,10000
True,47,0.009500,0,20000,0.000000,10000
True,48,0.381700,0,20000,0.000000,10000
True,49,0.012600,0,20000,0.000000,10000
True,50,0.014300,0,20000,0.000000,10000
True,51,0.367600,0,20000,0.000000,10000
True,52,0.014500,0,20000,0.000000,10000
True,53,0.014900,0,20000,0.000000,10000
True,54,0.013700,0,20000,0.000000,10000
True,55,0.418300,0,20000,0.000000,10000
True,56,0.016400,0,20000,0.000000,10000
True,57,0.012800,0,20000,0.000000,10000
True,58,0.016600,0,20000,0.000000,10000
True,59,0.356500,0,20000,0.000000,10000
