frame,total_bytes,aggregator_bytes,aggregator_removes,aggregator_playback_bytes,clear_bytes,clear_removes,clear_playback_bytes,spatial_bytes,new_cells,new_cell_bytes
0,18032,0,0,0,0,0,0,0,0,0
1,520664,244528,161,236056,220256,162,211776,32296,36,16704
2,1080,0,0,0,0,0,0,0,0,0
3,472176,242832,160,234592,218760,161,210520,0,0,0
4,35896,0,0,0,0,0,0,34480,41,19024
5,1080,0,0,0,0,0,0,0,0,0
6,485992,250160,165,241920,225248,166,217008,0,0,0
7,47432,0,0,0,0,0,0,46016,57,26448
8,1080,0,0,0,0,0,0,0,0,0
9,513840,264824,175,256584,238432,176,230192,0,0,0
10,1416,0,0,0,0,0,0,0,0,0
11,1080,0,0,0,0,0,0,0,0,0
12,505376,261784,173,253544,233008,174,224768,0,0,0
13,40344,0,0,0,0,0,0,38928,45,20880
14,1080,0,0,0,0,0,0,0,0,0
15,467600,239936,158,231696,217080,159,208840,0,0,0
16,45344,0,0,0,0,0,0,43928,51,23664
17,1080,0,0,0,0,0,0,0,0,0
18,9320,0,0,0,0,0,0,0,0,0
19,563672,275136,182,266896,248888,183,240648,36968,46,21344
20,1080,0,0,0,0,0,0,0,0,0
21,481976,248648,164,240408,222744,165,214504,0,0,0
22,1416,0,0,0,0,0,0,0,0,0
23,1080,0,0,0,0,0,0,0,0,0
24,537456,277968,184,269728,248904,185,240664,0,0,0
25,34280,0,0,0,0,0,0,32864,46,21344
26,1080,0,0,0,0,0,0,0,0,0
27,9320,0,0,0,0,0,0,0,0,0
28,515240,248656,164,240416,222952,165,214712,40952,46,21344
29,1080,0,0,0,0,0,0,0,0,0
30,469080,220832,145,212592,198880,146,190640,38448,48,22272
31,1080,0,0,0,0,0,0,0,0,0
32,9320,0,0,0,0,0,0,0,0,0
33,491688,257480,170,249240,231528,171,223288,0,0,0
34,1080,0,0,0,0,0,0,0,0,0
35,470432,226736,149,218496,205152,150,196912,27624,39,18096
36,1080,0,0,0,0,0,0,0,0,0
37,9320,0,0,0,0,0,0,0,0,0
38,545720,264800,175,256560,237808,176,229568,40432,46,21344
39,1080,0,0,0,0,0,0,0,0,0
40,500368,258872,171,250632,230912,172,222672,0,0,0
41,32936,0,0,0,0,0,0,31520,40,18560
42,1080,0,0,0,0,0,0,0,0,0
43,542896,280896,186,272656,251416,187,243176,0,0,0
44,1416,0,0,0,0,0,0,0,0,0
45,1080,0,0,0,0,0,0,0,0,0
46,9320,0,0,0,0,0,0,0,0,0
47,476072,234000,154,225760,209976,155,201736,29416,35,16240
48,1080,0,0,0,0,0,0,0,0,0
49,9320,0,0,0,0,0,0,0,0,0
50,475648,231104,152,222864,208296,153,200056,33568,44,20416
51,1080,0,0,0,0,0,0,0,0,0
52,466952,239912,158,231672,216456,159,208216,0,0,0
53,33200,0,0,0,0,0,0,31784,33,15312
54,1080,0,0,0,0,0,0,0,0,0
55,471744,242816,160,234576,218344,161,210104,0,0,0
56,1416,0,0,0,0,0,0,0,0,0
57,1080,0,0,0,0,0,0,0,0,0
58,503648,261720,173,253480,231344,174,223104,0,0,0
59,30760,0,0,0,0,0,0,29344,38,17632
60,1080,0,0,0,0,0,0,0,0,0
61,505912,242792,160,234552,217720,161,209480,34480,47,21808
62,1080,0,0,0,0,0,0,0,0,0
63,9320,0,0,0,0,0,0,0,0,0
64,509664,251568,166,243328,225048,167,216808,30368,42,19488
65,1080,0,0,0,0,0,0,0,0,0
66,465864,238496,157,230256,216448,158,208208,0,0,0
67,1080,0,0,0,0,0,0,0,0,0
68,463584,238424,157,230184,214576,158,206336,0,0,0
69,32952,0,0,0,0,0,0,31536,39,18096
70,1080,0,0,0,0,0,0,0,0,0
71,9320,0,0,0,0,0,0,0,0,0
72,492600,244208,161,235968,217728,162,209488,27984,42,19488
73,1080,0,0,0,0,0,0,0,0,0
74,510472,263336,174,255096,236552,175,228312,0,0,0
75,32648,0,0,0,0,0,0,31232,40,18560
76,1080,0,0,0,0,0,0,0,0,0
77,523784,266224,176,257984,238264,177,229784,0,0,0
78,13768,0,0,0,0,0,0,240,0,0
79,1080,0,0,0,0,0,0,0,0,0
80,493816,235728,155,227256,212064,156,203824,26312,31,14384
81,1080,0,0,0,0,0,0,0,0,0
82,457624,236840,156,228600,210200,157,201960,0,0,0
83,29136,0,0,0,0,0,0,27720,39,18096
84,1080,0,0,0,0,0,0,0,0,0
85,532880,275072,182,266832,247224,183,238984,0,0,0
86,25088,0,0,0,0,0,0,23672,34,15776
87,1080,0,0,0,0,0,0,0,0,0
88,494800,254576,168,246336,229640,169,221400,0,0,0
89,1416,0,0,0,0,0,0,0,0,0
90,1080,0,0,0,0,0,0,0,0,0
91,503952,260368,172,252128,233000,173,224760,0,0,0
92,29320,0,0,0,0,0,0,27904,38,17632
93,1080,0,0,0,0,0,0,0,0,0
94,491000,253072,167,244832,227344,168,219104,0,0,0
95,33200,0,0,0,0,0,0,31784,43,19952
96,1080,0,0,0,0,0,0,0,0,0
97,9320,0,0,0,0,0,0,0,0,0
98,486632,242784,160,234544,217512,161,209272,23656,32,14848
99,1080,0,0,0,0,0,0,0,0,0
100,489704,253024,167,244784,226096,168,217856,0,0,0
101,1416,0,0,0,0,0,0,0,0,0
102,1080,0,0,0,0,0,0,0,0,0
103,456416,235432,155,227192,210400,156,202160,0,0,0
104,23152,0,0,0,0,0,0,21736,23,10672
105,1080,0,0,0,0,0,0,0,0,0
106,502312,258944,171,250704,232784,172,224544,0,0,0
107,21712,0,0,0,0,0,0,20296,32,14848
108,1080,0,0,0,0,0,0,0,0,0
109,552784,285352,189,277112,256848,190,248608,0,0,0
110,22936,0,0,0,0,0,0,21520,29,13456
111,1080,0,0,0,0,0,0,0,0,0
112,396696,203216,133,194976,182560,134,174320,0,0,0
113,1080,0,0,0,0,0,0,0,0,0
114,520488,269160,178,260920,240744,179,232504,0,0,0
115,31184,0,0,0,0,0,0,29768,43,19952
116,1080,0,0,0,0,0,0,0,0,0
117,463800,238432,157,230192,214784,158,206544,0,0,0
118,25744,0,0,0,0,0,0,24328,38,17632
119,1080,0,0,0,0,0,0,0,0,0
