frame,mode,count,main_gpu_ms,shadow_gpu_ms,total_ms,alloc_bytes,instances,draws,poses,shared_instances
0,baseline,1000,11.23204,3.63504,39.4574,1628648,1000,6,1,0
1,optimized,1000,10.89116,5.25212,2.2629,80,1000,6,1,1000
2,baseline,1000,11.5032,5.827,12.7119,0,1000,6,1,0
3,optimized,1000,10.8472,5.26224,16.2078,0,1000,6,1,1000
4,baseline,1000,11.66876,5.80536,17.7518,0,1000,6,1,0
5,optimized,1000,10.93148,5.26152,16.5268,0,1000,6,1,1000
6,baseline,1000,11.659,5.80188,17.9212,0,1000,6,1,0
7,optimized,1000,10.99916,5.25928,16.6488,0,1000,6,1,1000
8,baseline,1000,11.71564,5.86388,17.9145,0,1000,6,1,0
9,optimized,1000,10.926,5.24692,36.0368,0,1000,6,1,1000
10,baseline,1000,11.54992,5.82724,3.2409,0,1000,6,1,0
11,optimized,1000,10.85944,5.26468,13.404,0,1000,6,1,1000
12,baseline,1000,11.67504,5.8246,17.7607,0,1000,6,1,0
13,optimized,1000,10.92756,5.25572,16.5874,0,1000,6,1,1000
14,baseline,1000,11.666,5.81912,18.1496,0,1000,6,1,0
15,optimized,1000,10.9314,5.24992,16.6609,0,1000,6,1,1000
16,baseline,1000,11.67168,5.81888,17.9296,0,1000,6,1,0
17,optimized,1000,10.89104,5.24836,16.4825,0,1000,6,1,1000
18,baseline,1000,11.60872,5.79072,17.9169,0,1000,6,1,0
19,optimized,1000,10.8568,5.23948,16.5487,0,1000,6,1,1000
20,baseline,1000,11.6622,5.8134,17.8437,0,1000,6,1,0
21,optimized,1000,11.021,5.237,16.5392,0,1000,6,1,1000
22,baseline,1000,11.718,5.81992,17.9052,0,1000,6,1,0
23,optimized,1000,11.0422,5.25136,16.6752,0,1000,6,1,1000
24,baseline,1000,11.67664,5.81508,18.0878,0,1000,6,1,0
25,optimized,1000,11.01204,5.25576,16.7485,0,1000,6,1,1000
26,baseline,1000,11.68548,5.77628,17.8822,0,1000,6,1,0
27,optimized,1000,10.9568,5.211,16.6491,0,1000,6,1,1000
28,baseline,1000,11.61,5.77696,17.8444,0,1000,6,1,0
29,optimized,1000,10.95148,5.2422,16.6055,0,1000,6,1,1000
30,baseline,1000,11.63752,5.79948,17.7373,0,1000,6,1,0
31,optimized,1000,10.97612,5.2278,16.6042,0,1000,6,1,1000
32,baseline,1000,11.70824,5.79628,17.8241,0,1000,6,1,0
33,optimized,1000,10.9594,5.22984,16.4749,0,1000,6,1,1000
34,baseline,1000,11.71892,5.79608,17.8412,0,1000,6,1,0
35,optimized,1000,11.06624,5.26888,16.574,0,1000,6,1,1000
36,baseline,1000,11.72444,5.76496,17.8809,0,1000,6,1,0
37,optimized,1000,11.01836,5.20656,16.7128,0,1000,6,1,1000
38,baseline,1000,11.73088,5.77052,17.8384,0,1000,6,1,0
39,optimized,1000,11.17464,5.20384,16.6019,0,1000,6,1,1000
40,baseline,1000,11.80268,5.81204,17.887,0,1000,6,1,0
41,optimized,1000,11.10324,5.30928,16.8853,0,1000,6,1,1000
42,baseline,1000,11.77344,5.78828,18.2954,0,1000,6,1,0
43,optimized,1000,10.99852,5.2324,16.8945,0,1000,6,1,1000
44,baseline,1000,11.716,5.78948,18.0161,0,1000,6,1,0
45,optimized,1000,11.10316,5.21484,16.6042,0,1000,6,1,1000
46,baseline,1000,11.74152,5.79752,17.9274,0,1000,6,1,0
47,optimized,1000,11.05768,5.24212,16.8002,0,1000,6,1,1000
48,baseline,1000,11.78024,5.79992,17.9721,0,1000,6,1,0
49,optimized,1000,11.05116,5.22316,16.6751,0,1000,6,1,1000
50,baseline,1000,11.73556,5.78588,18.0757,0,1000,6,1,0
51,optimized,1000,10.99628,5.24208,16.7414,0,1000,6,1,1000
52,baseline,1000,11.70812,5.80008,18.026,0,1000,6,1,0
53,optimized,1000,10.94808,5.23412,16.686,0,1000,6,1,1000
54,baseline,1000,11.58648,5.76368,18.0673,0,1000,6,1,0
55,optimized,1000,11.03948,5.1954,16.5395,0,1000,6,1,1000
56,baseline,1000,11.61144,5.78404,17.7767,0,1000,6,1,0
57,optimized,1000,11.0492,5.20016,16.6284,0,1000,6,1,1000
58,baseline,1000,11.70584,5.83236,17.8146,0,1000,6,1,0
59,optimized,1000,10.95396,5.19684,16.7555,0,1000,6,1,1000
60,baseline,1000,11.66648,5.791,343.8962,120,1000,6,1,0
61,optimized,1000,9.79564,4.04884,294.0759,80,1000,6,1,1000
62,baseline,1000,10.05936,4.56235,0.7824,0,1000,6,1,0
63,optimized,1000,10.46484,5.0676,1.3211,0,1000,6,1,1000
64,baseline,1000,11.54444,5.3438,14.7439,0,1000,6,1,0
65,optimized,1000,10.91396,5.22848,15.8282,0,1000,6,1,1000
66,baseline,1000,11.6444,5.76648,17.4305,0,1000,6,1,0
67,optimized,1000,11.05,5.22556,16.5409,0,1000,6,1,1000
68,baseline,1000,11.6078,5.80396,17.7197,0,1000,6,1,0
69,optimized,1000,10.95808,5.22528,16.5501,0,1000,6,1,1000
70,baseline,1000,11.55144,5.8002,17.7445,0,1000,6,1,0
71,optimized,1000,10.97832,5.21212,16.5397,0,1000,6,1,1000
72,baseline,1000,11.59316,5.8052,17.7789,0,1000,6,1,0
73,optimized,1000,10.92852,5.22552,16.6873,0,1000,6,1,1000
74,baseline,1000,11.63008,5.78612,17.8444,0,1000,6,1,0
75,optimized,1000,10.98904,5.2156,16.6501,0,1000,6,1,1000
76,baseline,1000,11.6228,5.78656,17.7995,0,1000,6,1,0
77,optimized,1000,10.91316,5.2066,16.5998,0,1000,6,1,1000
78,baseline,1000,11.65716,5.84548,17.7776,0,1000,6,1,0
79,optimized,1000,10.95188,5.2346,16.5064,0,1000,6,1,1000
80,baseline,1000,11.58516,5.75632,18.992,0,1000,6,1,0
81,optimized,1000,10.91032,5.17288,16.2012,0,1000,6,1,1000
82,baseline,1000,11.64008,5.75076,17.7109,0,1000,6,1,0
83,optimized,1000,10.91564,5.18828,16.4313,0,1000,6,1,1000
84,baseline,1000,11.58264,5.79544,17.8088,0,1000,6,1,0
85,optimized,1000,10.90984,5.23276,16.568,0,1000,6,1,1000
86,baseline,1000,11.55112,5.7972,17.7548,0,1000,6,1,0
87,optimized,1000,10.9104,5.21756,16.4915,0,1000,6,1,1000
88,baseline,1000,11.52776,5.79436,17.6695,0,1000,6,1,0
89,optimized,1000,10.92572,5.23288,16.3792,0,1000,6,1,1000
90,baseline,1000,11.57016,5.8346,17.5469,0,1000,6,1,0
91,optimized,1000,10.88096,5.27072,16.6033,0,1000,6,1,1000
92,baseline,1000,11.58948,5.82696,17.6994,0,1000,6,1,0
93,optimized,1000,10.97952,5.27276,16.5814,0,1000,6,1,1000
94,baseline,1000,11.79428,5.8692,17.7863,0,1000,6,1,0
95,optimized,1000,11.11916,5.30972,16.9269,0,1000,6,1,1000
96,baseline,1000,11.80576,5.87064,18.4267,0,1000,6,1,0
97,optimized,1000,11.1314,5.32504,17.2489,0,1000,6,1,1000
98,baseline,1000,11.7712,5.85884,18.31,0,1000,6,1,0
99,optimized,1000,11.14052,5.30892,17.2655,0,1000,6,1,1000
100,baseline,1000,11.821,5.89512,18.4459,0,1000,6,1,0
101,optimized,1000,11.12056,5.3382,17.3321,0,1000,6,1,1000
102,baseline,1000,11.73952,5.8718,18.9146,0,1000,6,1,0
103,optimized,1000,11.06288,5.30364,17.2448,0,1000,6,1,1000
104,baseline,1000,11.6944,5.86236,18.5127,0,1000,6,1,0
105,optimized,1000,11.05832,5.30588,17.1465,0,1000,6,1,1000
106,baseline,1000,11.69568,5.86232,18.4121,0,1000,6,1,0
107,optimized,1000,11.05716,5.30516,16.9955,0,1000,6,1,1000
108,baseline,1000,11.724,5.87288,18.7183,0,1000,6,1,0
109,optimized,1000,11.08072,5.30468,16.8465,0,1000,6,1,1000
110,baseline,1000,11.711,5.87604,18.3319,0,1000,6,1,0
111,optimized,1000,11.0876,5.32304,16.9407,0,1000,6,1,1000
112,baseline,1000,11.71856,5.89064,18.456,0,1000,6,1,0
113,optimized,1000,11.04272,5.30828,17.2075,0,1000,6,1,1000
114,baseline,1000,11.76016,5.88052,17.9729,0,1000,6,1,0
115,optimized,1000,11.0812,5.31516,17.1128,0,1000,6,1,1000
116,baseline,1000,11.7312,5.87384,18.3873,0,1000,6,1,0
117,optimized,1000,11.11348,5.34116,17.1229,0,1000,6,1,1000
118,baseline,1000,11.73524,5.85848,18.5125,0,1000,6,1,0
119,optimized,1000,11.087,5.30144,17.4033,0,1000,6,1,1000
120,baseline,1000,11.73732,5.86028,18.4159,0,1000,6,1,0
121,optimized,1000,11.11324,5.29348,17.1583,0,1000,6,1,1000
122,baseline,1000,11.7086,5.87412,18.4265,0,1000,6,1,0
123,optimized,1000,11.0448,5.32904,16.9753,0,1000,6,1,1000
124,baseline,1000,11.7134,5.90184,18.1522,0,1000,6,1,0
125,optimized,1000,11.04636,5.31728,17.0739,0,1000,6,1,1000
126,baseline,1000,11.68676,5.8718,18.1978,0,1000,6,1,0
127,optimized,1000,11.0656,5.33036,17.0001,0,1000,6,1,1000
128,baseline,1000,11.71092,5.86752,18.3231,0,1000,6,1,0
129,optimized,1000,11.0776,5.30532,16.7376,0,1000,6,1,1000
130,baseline,1000,11.7304,5.87272,18.1309,0,1000,6,1,0
131,optimized,1000,11.0354,5.31252,17.0531,0,1000,6,1,1000
132,baseline,1000,11.6906,5.87496,18.1769,0,1000,6,1,0
133,optimized,1000,11.04008,5.30628,16.9793,0,1000,6,1,1000
134,baseline,1000,11.72856,5.86776,18.0954,0,1000,6,1,0
135,optimized,1000,11.06172,5.31316,17.094,0,1000,6,1,1000
136,baseline,1000,11.68996,5.87248,18.5124,0,1000,6,1,0
137,optimized,1000,11.10292,5.3128,16.9994,0,1000,6,1,1000
138,baseline,1000,11.75076,5.87312,18.1531,0,1000,6,1,0
139,optimized,1000,11.0696,5.32216,16.9817,0,1000,6,1,1000
140,baseline,1000,11.75988,5.8772,18.5631,0,1000,6,1,0
141,optimized,1000,11.1142,5.31488,16.8176,0,1000,6,1,1000
142,baseline,1000,11.76656,5.87292,18.0532,0,1000,6,1,0
143,optimized,1000,11.1522,5.30788,16.7854,0,1000,6,1,1000
144,baseline,1000,11.76928,5.89364,18.3547,0,1000,6,1,0
145,optimized,1000,11.11872,5.32212,16.5698,0,1000,6,1,1000
146,baseline,1000,11.78156,5.8934,18.1873,0,1000,6,1,0
147,optimized,1000,11.16144,5.3194,17.4082,0,1000,6,1,1000
148,baseline,1000,11.76168,5.90604,18.0847,0,1000,6,1,0
149,optimized,1000,11.10516,5.33936,17.444,0,1000,6,1,1000
150,baseline,1000,11.74808,5.86236,18.5206,0,1000,6,1,0
151,optimized,1000,11.15476,5.2954,16.8704,0,1000,6,1,1000
152,baseline,1000,11.78768,5.85644,18.0954,0,1000,6,1,0
153,optimized,1000,11.13888,5.2824,16.9488,0,1000,6,1,1000
154,baseline,1000,11.79468,5.86796,18.0747,0,1000,6,1,0
155,optimized,1000,11.19652,5.302,16.9775,0,1000,6,1,1000
156,baseline,1000,11.83868,5.8702,18.1763,0,1000,6,1,0
157,optimized,1000,10.9708,5.25904,17.003,0,1000,6,1,1000
158,baseline,1000,11.73864,5.83192,18.2883,0,1000,6,1,0
159,optimized,1000,11.03948,5.2266,16.6526,0,1000,6,1,1000
160,baseline,1000,11.76672,5.77764,17.9724,0,1000,6,1,0
161,optimized,1000,11.0194,5.20132,16.6144,0,1000,6,1,1000
162,baseline,1000,11.63748,5.76864,17.9915,0,1000,6,1,0
163,optimized,1000,11.00972,5.20756,16.661,0,1000,6,1,1000
164,baseline,1000,11.60576,5.79824,17.8372,0,1000,6,1,0
165,optimized,1000,10.95056,5.285,16.5932,0,1000,6,1,1000
166,baseline,1000,11.58448,5.80676,17.7507,0,1000,6,1,0
167,optimized,1000,10.95068,5.232,16.5898,0,1000,6,1,1000
168,baseline,1000,11.60236,5.80796,17.7529,0,1000,6,1,0
169,optimized,1000,10.93928,5.23812,16.5234,0,1000,6,1,1000
170,baseline,1000,11.65768,5.81712,17.7678,0,1000,6,1,0
171,optimized,1000,10.97972,5.25132,16.5174,0,1000,6,1,1000
172,baseline,1000,11.6462,5.80324,17.8507,0,1000,6,1,0
173,optimized,1000,11.0044,5.25204,16.582,0,1000,6,1,1000
174,baseline,1000,11.7636,5.81152,17.8018,0,1000,6,1,0
175,optimized,1000,11.00948,5.25056,16.6243,0,1000,6,1,1000
176,baseline,1000,11.6938,5.8164,17.966,0,1000,6,1,0
177,optimized,1000,10.9956,5.23304,16.5507,0,1000,6,1,1000
178,baseline,1000,11.58876,5.78132,17.9056,0,1000,6,1,0
179,optimized,1000,10.93208,5.20396,16.5162,0,1000,6,1,1000
180,baseline,1000,11.55736,5.76048,17.7204,0,1000,6,1,0
181,optimized,1000,10.9226,5.202,16.4671,0,1000,6,1,1000
182,baseline,1000,11.57512,5.77,17.7005,0,1000,6,1,0
183,optimized,1000,10.87456,5.19352,16.5003,0,1000,6,1,1000
184,baseline,1000,11.58756,5.7848,17.6873,0,1000,6,1,0
185,optimized,1000,10.92372,5.23244,16.5057,0,1000,6,1,1000
186,baseline,1000,11.5938,5.78812,17.7543,0,1000,6,1,0
187,optimized,1000,10.95588,5.23216,16.4588,0,1000,6,1,1000
188,baseline,1000,11.6266,5.80276,17.6981,0,1000,6,1,0
189,optimized,1000,10.96484,5.23268,16.4605,0,1000,6,1,1000
190,baseline,1000,11.63132,5.80224,17.7087,0,1000,6,1,0
191,optimized,1000,10.92896,5.2362,16.5437,0,1000,6,1,1000
