frame,mode,count,main_gpu_ms,shadow_gpu_ms,total_ms,alloc_bytes,instances,draws,poses,shared_instances
0,baseline,10000,57.49832,71.54836,184.9898,4866608,10000,6,1,0
1,optimized,10000,31.84772,15.15508,12.1024,80,10000,6,1,10000
2,baseline,10000,34.27296,18.406,117.2087,0,10000,6,1,0
3,optimized,10000,25.94184,16.29928,48.0791,0,10000,6,1,10000
4,baseline,10000,27.3174,17.5614,52.7975,0,10000,6,1,0
5,optimized,10000,25.05928,15.5356,43.2008,0,10000,6,1,10000
6,baseline,10000,26.74496,17.19268,46.0253,0,10000,6,1,0
7,optimized,10000,24.90628,15.29732,41.5557,0,10000,6,1,10000
8,baseline,10000,26.59612,17.00148,44.7937,0,10000,6,1,0
9,optimized,10000,24.22296,15.19728,41.1624,0,10000,6,1,10000
10,baseline,10000,25.9306,16.50944,44.5142,0,10000,6,1,0
11,optimized,10000,23.48072,14.6594,40.3159,0,10000,6,1,10000
12,baseline,10000,25.32664,16.06884,43.3463,0,10000,6,1,0
13,optimized,10000,23.63492,14.5104,39.0739,0,10000,6,1,10000
14,baseline,10000,25.1458,16.04196,42.4364,0,10000,6,1,0
15,optimized,10000,23.8704,14.5622,39.1078,0,10000,6,1,10000
16,baseline,10000,25.40768,16.20708,42.1161,0,10000,6,1,0
17,optimized,10000,23.34884,14.51384,39.028,0,10000,6,1,10000
18,baseline,10000,25.2644,16.01856,42.531,0,10000,6,1,0
19,optimized,10000,23.86532,14.48264,38.9101,0,10000,6,1,10000
20,baseline,10000,25.51808,15.97036,41.6331,0,10000,6,1,0
21,optimized,10000,23.40888,14.39196,38.909,0,10000,6,1,10000
22,baseline,10000,25.2608,16.07108,42.3921,0,10000,6,1,0
23,optimized,10000,23.45628,14.43348,38.7298,0,10000,6,1,10000
24,baseline,10000,25.2768,16.00284,41.7317,0,10000,6,1,0
25,optimized,10000,23.30204,14.39468,38.7936,0,10000,6,1,10000
26,baseline,10000,25.31144,15.93428,42.0939,0,10000,6,1,0
27,optimized,10000,23.38844,14.40552,39.2826,0,10000,6,1,10000
28,baseline,10000,25.26124,15.95708,41.6511,0,10000,6,1,0
29,optimized,10000,23.43312,14.46232,38.9151,0,10000,6,1,10000
30,baseline,10000,25.89004,16.50812,42.1656,0,10000,6,1,0
31,optimized,10000,23.90676,14.67116,39.3563,0,10000,6,1,10000
32,baseline,10000,26.36332,16.51632,42.9971,0,10000,6,1,0
33,optimized,10000,24.41028,15.11232,39.4319,0,10000,6,1,10000
34,baseline,10000,26.53104,16.78664,43.2884,0,10000,6,1,0
35,optimized,10000,23.76028,14.88616,40.5284,0,10000,6,1,10000
36,baseline,10000,25.43172,16.06616,43.9096,0,10000,6,1,0
37,optimized,10000,23.62212,14.47888,39.6331,0,10000,6,1,10000
38,baseline,10000,25.69268,16.1516,42.0175,0,10000,6,1,0
39,optimized,10000,23.48536,14.66472,38.6026,0,10000,6,1,10000
40,baseline,10000,25.90848,16.19068,42.3549,0,10000,6,1,0
41,optimized,10000,23.4958,14.70232,39.08,0,10000,6,1,10000
42,baseline,10000,25.53148,16.13584,42.9434,0,10000,6,1,0
43,optimized,10000,23.32804,14.51488,39.015,0,10000,6,1,10000
44,baseline,10000,25.22692,16.04948,42.589,0,10000,6,1,0
45,optimized,10000,23.13928,14.47768,38.8173,0,10000,6,1,10000
46,baseline,10000,25.1526,15.94236,41.6928,0,10000,6,1,0
47,optimized,10000,23.20408,14.4056,38.4783,0,10000,6,1,10000
48,baseline,10000,25.26856,16.0486,41.9191,0,10000,6,1,0
49,optimized,10000,23.51304,14.47564,38.1964,0,10000,6,1,10000
50,baseline,10000,25.07588,16.07092,42.1749,0,10000,6,1,0
51,optimized,10000,23.29836,14.41088,38.8352,0,10000,6,1,10000
52,baseline,10000,25.12912,16.04452,42.2381,0,10000,6,1,0
53,optimized,10000,23.11672,14.42384,37.9202,0,10000,6,1,10000
54,baseline,10000,25.28,15.85124,41.7003,0,10000,6,1,0
55,optimized,10000,23.78752,14.49948,38.4417,0,10000,6,1,10000
56,baseline,10000,25.3804,16.096,42.0913,0,10000,6,1,0
57,optimized,10000,23.53376,14.45768,38.641,0,10000,6,1,10000
58,baseline,10000,25.42832,16.07132,41.957,0,10000,6,1,0
59,optimized,10000,23.59444,14.4584,38.4426,0,10000,6,1,10000
60,baseline,10000,25.05168,15.95736,41.9212,0,10000,6,1,0
61,optimized,10000,23.50572,14.39784,38.571,0,10000,6,1,10000
62,baseline,10000,25.36544,16.16772,42.1674,0,10000,6,1,0
63,optimized,10000,23.7672,14.72412,38.9396,0,10000,6,1,10000
64,baseline,10000,25.61128,16.33812,42.5785,0,10000,6,1,0
65,optimized,10000,23.73092,14.83068,39.4658,0,10000,6,1,10000
66,baseline,10000,25.28396,16.1962,42.3445,0,10000,6,1,0
67,optimized,10000,23.15044,14.4768,39.8775,0,10000,6,1,10000
68,baseline,10000,24.86568,15.93352,42.2197,0,10000,6,1,0
69,optimized,10000,23.2144,14.33216,37.9972,0,10000,6,1,10000
70,baseline,10000,25.24528,15.9844,41.3323,0,10000,6,1,0
71,optimized,10000,23.54044,14.50588,38.4715,0,10000,6,1,10000
72,baseline,10000,25.2926,16.1276,41.9813,0,10000,6,1,0
73,optimized,10000,23.59472,14.52816,38.2732,0,10000,6,1,10000
74,baseline,10000,25.41568,16.19316,42.3953,0,10000,6,1,0
75,optimized,10000,23.46176,14.50276,39.0833,0,10000,6,1,10000
76,baseline,10000,25.38532,16.17684,42.9499,0,10000,6,1,0
77,optimized,10000,23.5438,14.4724,38.8431,0,10000,6,1,10000
