frame,pair,mode,count,warmup,normalized_time,total_sync_ms,submission_cpu_ms,prep_cpu_ms,prep_gpu_interval_ms,shadow_gpu_ms,main_gpu_ms,preskin_cpu_upload_ms,texture_upload_cpu_ms,texture_upload_bytes,geometry_upload_bytes,preskin_calls,main_instances,main_draws,main_mesh_instances,shadow_instances,shadow_draws,shadow_mesh_instances,alloc_bytes,gen0,gen1,restore_submit_ms,restore_drain_ms,restore_bytes,restore_alloc_bytes
0,0,baseline,1000,1,0,92.5591,7.638,1.9338,0.00472,3.3866,10.83952,0,0.3254,49152,0,0,1000,6,6000,1000,6,6000,682200,0,0,0.3656,0.9834,214896,40
1,0,preskin,1000,1,0,14.6772,2.5861,0.3262,0.03492,3.14408,7.41832,0.2646,0.028,49152,214896,1,1000,6,6000,1000,6,6000,40,0,0,0,0,0,0
2,1,preskin,1000,1,0.016393442,15.0727,2.3525,0.281,0.0346,3.42068,7.36672,0.2288,0.022600000000000002,49152,214896,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0
3,1,baseline,1000,1,0.016393442,17.2723,2.3269,0.0878,0.00552,3.88852,10.01,0,0.042699999999999995,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0807,0.3629,214896,0
4,2,baseline,1000,1,0.032786883,17.0698,2.4084,0.0577,0.00568,3.947,9.85284,0,0.016,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0834,0.3888,214896,0
5,2,preskin,1000,1,0.032786883,15.0552,2.6063,0.3248,0.03356,3.35184,7.73028,0.2766,0.015199999999999998,49152,214896,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0
6,3,preskin,1000,1,0.04918033,15.8675,2.5067,0.3496,0.03344,3.37828,8.58552,0.2899,0.0266,49152,214896,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0
7,3,baseline,1000,1,0.04918033,20.2583,2.6697,0.0917,0.0074,4.84184,11.52984,0,0.0325,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0828,0.4388,214896,0
8,4,baseline,1000,1,0.06557377,21.3374,2.8308,0.116,0.00732,5.76864,11.47588,0,0.0449,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.1279,0.5063,214896,0
9,4,preskin,1000,1,0.06557377,29.7466,14.524,2.7274,0.03308,3.1436,8.23312,0.2197,0.0407,49152,214896,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0
10,5,preskin,1000,1,0.08196721,16.2966,1.3421,0.3788,0.02468,3.16376,8.28692,0.3034,0.0239,49152,214896,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0
11,5,baseline,1000,1,0.08196721,19.254,1.6496,0.0981,0.007,5.04756,11.34352,0,0.0259,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0871,0.4318,214896,0
12,6,baseline,1000,1,0.09836066,19.2265,0.9921,0.0992,0.00736,5.38336,11.5262,0,0.0292,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.1131,0.3624,214896,0
13,6,preskin,1000,1,0.09836066,15.5823,0.4595,0.4024,0.03388,4.6496,8.77252,0.3206,0.0365,49152,214896,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0
14,7,preskin,1000,1,0.114754096,12.9442,0.4652,0.372,0.02768,3.4208,7.69676,0.2979,0.0231,49152,214896,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0
