frame,pair,mode,count,warmup,normalized_time,total_sync_ms,submission_cpu_ms,prep_cpu_ms,prep_gpu_interval_ms,shadow_gpu_ms,main_gpu_ms,preskin_cpu_upload_ms,texture_upload_cpu_ms,texture_upload_bytes,geometry_upload_bytes,preskin_calls,main_instances,main_draws,main_mesh_instances,shadow_instances,shadow_draws,shadow_mesh_instances,alloc_bytes,gen0,gen1,restore_submit_ms,restore_drain_ms,restore_bytes,restore_alloc_bytes,normal_correction_cpu_upload_ms,normal_correction_upload_bytes
0,0,baseline,5000,1,0,120.6181,12.8835,1.7839,0.00696,24.99876,48.20084,0,0.30010000000000003,180224,0,0,5000,6,30000,5000,6,30000,1136936,0,0,0.2175,0.7486,214896,40,0,0
1,0,preskin,5000,1,0,73.7244,19.2787,3.5093,0.06024,15.39124,33.52436,1.3894,0.046299999999999994,180224,322344,1,5000,6,30000,5000,6,30000,40,0,0,0,0,0,0,1.196,107448
2,1,preskin,5000,1,0.016393442,59.8657,4.4785,0.4426,0.0626,15.38996,37.67548,0.3654,0.0373,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1656,107448
3,1,baseline,5000,1,0.016393442,79.983,4.639,0.1006,0.0098,25.78256,48.02276,0,0.0474,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0831,0.4766,214896,0,0,0
4,2,baseline,5000,1,0.032786883,85.8029,5.911,0.1465,0.01016,29.48044,48.28108,0,0.047400000000000005,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0587,0.5263,214896,0,0,0
5,2,preskin,5000,1,0.032786883,61.9229,5.6382,0.6911,0.06136,18.0684,35.74064,0.5793,0.0385,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.2822,107448
6,3,preskin,5000,1,0.04918033,51.4236,1.5205,0.4839,0.0428,15.75016,32.05408,0.4039,0.032,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1925,107448
7,3,baseline,5000,1,0.04918033,71.4445,1.4283,0.1066,0.00712,21.06508,47.27504,0,0.0312,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0468,0.381,214896,0,0,0
8,4,baseline,5000,1,0.06557377,75.9176,1.8069,0.116,0.00964,24.04328,48.04984,0,0.0304,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.037,0.4052,214896,0,0,0
9,4,preskin,5000,1,0.06557377,58.5631,1.8307,0.6544,0.06148,15.43284,33.63564,0.5635,0.0297,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.2908,107448
10,5,preskin,5000,1,0.08196721,52.605,1.5102,0.5105,0.03792,14.95556,32.69492,0.414,0.0461,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1972,107448
11,5,baseline,5000,1,0.08196721,70.4288,1.5574,0.1089,0.00732,21.33584,45.97188,0,0.0425,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0377,0.355,214896,0,0,0
