frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents
1,743.5844116210938,0.3181000053882599,174.8845977783203,17.311199188232422,2.7307000160217285,4.422299861907959,1.3507000207901,0.03099999949336052,0,5,0,0,0,0,0,11.12399959564209,13.86240005493164,7.930200099945068,0,0,0,0,0,0,0,0,0,0,164477048,6,6,440.88238525390625,11.824799537658691,14.355199813842773,59.881500244140625,4.993800163269043,0.6938999891281128,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13.421799659729004,0.011800000444054604,5.361299991607666,0.015399999916553497,0.02710000053048134,0.019899999722838402,0.018400000408291817,0.0010999999940395355,0,5,0,0,0,0,0,0.27070000767707825,0.09560000151395798,3.9707000255584717,0,0,0,0,0,0,0,0,0,0,12400,0,0,9.325900077819824,2.2337000370025635,0.09690000116825104,1.0938999652862549,2.1707000732421875,0.1826000064611435,0,0,0,0,0,0,0,0,0,0,0,0,0
3,158.88479614257812,128.48379516601562,8.178199768066406,0.02889999933540821,0.03370000049471855,3.217099905014038,0.01140000019222498,0.00559999980032444,0,5,0,5,0,0,0,0.13729999959468842,0.09480000287294388,3.808199882507324,0,0,0,0,0,0,0,0,0,0,3577160,0,0,136.86630249023438,0.06440000236034393,17.971099853515625,0.4927000105381012,0.019200000911951065,0.15729999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6.180500030517578,3.640399932861328,1.1229000091552734,0.014399999752640724,0.028300000354647636,0.00989999994635582,0.011900000274181366,0.0015999999595806003,0,5,0,5,0,0,0,0.1451999992132187,0.06689999997615814,0.5612000226974487,0,0,0,0,0,0,0,0,0,0,8480,0,0,4.97130012512207,0.05719999969005585,0.2971999943256378,0.4848000109195709,0.016699999570846558,0.10270000249147415,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10.878600120544434,9.064000129699707,0.5927000045776367,0.009600000455975533,0.01679999940097332,0.008100000210106373,0.010900000110268593,0.0008999999845400453,0,5,0,5,0,0,0,0.12300000339746475,0.06800000369548798,0.12330000102519989,0,0,0,0,0,0,0,0,0,0,8280,0,0,9.839799880981445,0.05860000103712082,0.14030000567436218,0.45809999108314514,0.017999999225139618,0.1362999975681305,0,0,0,0,0,0,0,0,0,0,0,0,0
6,503.4154968261719,405.6224060058594,95.6323013305664,60.57469940185547,2.6745998859405518,7.905900001525879,0.011599999852478504,3.096400022506714,1000,1009,0,5,0,0,0,0.5539000034332275,0.512499988079071,1.4082000255584717,0,0,0,0,0,0,0,0,0,0,116128088,5,4,501.4114990234375,0.19509999454021454,0.1509000062942505,1.2651000022888184,0.14890000224113464,0.13930000364780426,0,0,0,0,0,0,0,0,0,0,0,0,0
7,91.33589935302734,39.18320083618164,20.543399810791016,4.0005998611450195,0.8327000141143799,6.359099864959717,0.012600000016391277,0.45719999074935913,1000,1009,0,1006,0,0,1000,0.36890000104904175,0.5631999969482422,5.678999900817871,0,0,0,0,0,0,0,0,0,0,11426296,0,0,59.971500396728516,0.06560000032186508,26.57859992980957,0.4641000032424927,0.01850000023841858,0.12030000239610672,0,0,0,0,0,0,0,0,0,0,0,0,0
8,69.01380157470703,54.31529998779297,13.114800453186035,5.500800132751465,1.3904999494552612,0.7465999722480774,0.009399999864399433,0.17679999768733978,1000,1009,0,1006,0,0,1000,0.3709999918937683,0.5821999907493591,2.5136001110076904,0,0,0,0,0,0,0,0,0,0,18215032,1,0,67.61949920654297,0.057100001722574234,0.3003000020980835,0.47189998626708984,0.016499999910593033,0.13600000739097595,0,0,0,0,0,0,0,0,0,0,0,0,0
9,18.475099563598633,3.0761001110076904,13.815199851989746,4.179200172424316,0.828000009059906,0.6603999733924866,0.012900000438094139,0.2160000056028366,1000,1009,0,1006,0,0,1000,0.31940001249313354,0.765500009059906,1.5357999801635742,0,0,0,0,0,0,0,0,0,0,12384,0,0,17.096399307250977,0.07270000129938126,0.2563000023365021,0.44130000472068787,0.020500000566244125,0.14149999618530273,0,0,0,0,0,0,0,0,0,0,0,0,0
10,203.67990112304688,102.28289794921875,34.02920150756836,10.919899940490723,0.9405999779701233,12.878000259399414,10.405799865722656,0.2500999867916107,1000,1009,2000,1006,2000,2000,1000,0.4140999913215637,2.3894999027252197,1.9220999479293823,1000,5.344499999999921,1.2451,1,1.4357,0.2502,81920,15,15,0.9085,47895280,2,1,136.4906005859375,17.742599487304688,7.19789981842041,30.562299728393555,6.604800224304199,0.13359999656677246,0,0,0,0,0,0,0,0,0,0,0,0,0
