frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents
1,528.9671020507812,0.25459998846054077,93.37760162353516,6.751200199127197,1.2102999687194824,2.077399969100952,0.6180999875068665,0,0,5,0,0,0,0,0,6.042600154876709,7.139400005340576,5.523900032043457,0,0,0,0,0,0,0,0,0,0,164465344,6,6,309.36981201171875,5.802999973297119,10.744199752807617,37.460201263427734,2.7614998817443848,0.4512999951839447,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6.877399921417236,0.009700000286102295,2.748699903488159,0.01119999960064888,0.016899999231100082,0.005100000184029341,0.011900000274181366,0,0,5,0,0,0,0,0,0.1145000010728836,0.035999998450279236,2.0243000984191895,0,0,0,0,0,0,0,0,0,0,12400,0,0,4.826499938964844,0.8479999899864197,0.05849999934434891,0.5397999882698059,0.8130999803543091,0.2750000059604645,0,0,0,0,0,0,0,0,0,0,0,0,0
3,93.52110290527344,74.4761962890625,5.4558000564575195,0.01889999955892563,0.0215000007301569,2.1010000705718994,0.007799999788403511,0,0,5,0,5,0,0,0,0.11720000207424164,0.05429999902844429,2.3099000453948975,0,0,0,0,0,0,0,0,0,0,3575776,0,0,80.07360076904297,0.04690000042319298,10.752099990844727,0.3499999940395355,0.013899999670684338,0.1177000030875206,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7.341700077056885,5.648399829864502,0.7329000234603882,0.009100000374019146,0.014299999922513962,0.009200000204145908,0.012799999676644802,0,0,5,0,5,0,0,0,0.12559999525547028,0.06849999725818634,0.28619998693466187,0,0,0,0,0,0,0,0,0,0,9168,0,0,6.5406999588012695,0.05889999866485596,0.14910000562667847,0.32330000400543213,0.013299999758601189,0.08240000158548355,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2487.0166015625,1725.24072265625,759.9434814453125,557.5421142578125,17.749399185180664,35.69160079956055,0.01590000092983246,0,0,10009,0,5,0,0,0,2.2142999172210693,4.314499855041504,15.338299751281738,0,0,0,0,0,0,0,0,0,0,2545192056,87,20,2485.31591796875,0.25949999690055847,0.15049999952316284,0.9427000284194946,0.18529999256134033,0.11829999834299088,0,0,0,0,0,0,0,0,0,0,0,0,0
6,230.181396484375,107.0905990600586,90.11930084228516,28.294300079345703,1.166100025177002,22.50830078125,0.017500000074505806,0,0,10009,0,10006,0,0,10000,1.4249000549316406,4.21560001373291,29.590999603271484,0,0,0,0,0,0,0,0,0,0,280415344,14,2,197.4571990966797,0.09749999642372131,23.431900024414062,0.47540000081062317,0.021900000050663948,0.13210000097751617,0,0,0,0,0,0,0,0,0,0,0,0,0
7,68.614501953125,10.223199844360352,54.43410110473633,34.283599853515625,1.23989999294281,3.9058001041412354,0.09040000289678574,0,0,10009,0,10006,0,0,10000,1.5578999519348145,4.250699996948242,6.59250020980835,0,0,0,0,0,0,0,0,0,0,348544,0,0,64.94210052490234,0.16140000522136688,1.3646999597549438,0.48489999771118164,0.019600000232458115,0.13230000436306,0,0,0,0,0,0,0,0,0,0,0,0,0
8,87.58599853515625,20.614200592041016,45.88560104370117,26.35300064086914,1.267699956893921,3.5297999382019043,0.017400000244379044,0,0,10009,0,10006,0,0,10000,1.562000036239624,3.984100103378296,6.092400074005127,10000,4.92869999999979,1.4248,1,2.3051000000000004,0.2476,376832,15,15,1.6425,8102248,0,0,66.720703125,0.09030000120401382,7.436100006103516,0.38370001316070557,0.01899999938905239,0.11710000038146973,0,0,0,0,0,0,0,0,0,0,0,0,0
9,64.78119659423828,13.839500427246094,43.885398864746094,26.015399932861328,1.0649000406265259,3.427799940109253,0.01489999983459711,0,0,10009,0,10006,0,0,10000,1.5095000267028809,3.9107000827789307,5.579500198364258,10000,1.8856999999998798,0.5632,1,0.0826,0.030699999999999998,376832,15,15,0.9264,176096,0,0,57.890899658203125,0.08340000361204147,1.9417999982833862,0.42559999227523804,0.019700000062584877,0.1298999935388565,0,0,0,0,0,0,0,0,0,0,0,0,0
10,55.1239013671875,6.676599979400635,41.92340087890625,24.718399047851562,1.0327999591827393,3.553999900817871,0.009499999694526196,0,0,10009,0,10006,0,0,10000,1.5550999641418457,3.670300006866455,5.341400146484375,10000,1.8048999999998878,0.5463,1,0.07719999999999999,0.0376,376832,15,15,0.691,8128,0,0,48.797298431396484,0.0674000009894371,1.9158999919891357,0.3637999892234802,0.019999999552965164,0.11720000207424164,0,0,0,0,0,0,0,0,0,0,0,0,0
11,77.59590148925781,24.167699813842773,46.580501556396484,27.7268009185791,1.589400053024292,3.3931000232696533,0.011099999770522118,0,0,10009,0,10006,0,0,10000,1.4112000465393066,3.844599962234497,5.964300155639648,10000,1.8132999999998927,0.6558,1,0.0844,0.029699999999999997,376832,15,15,0.8405,25552968,0,0,70.90740203857422,0.0649000033736229,2.0092999935150146,0.40560001134872437,0.016899999231100082,0.12280000001192093,0,0,0,0,0,0,0,0,0,0,0,0,0
12,71.23770141601562,17.5226993560791,46.34469985961914,27.086000442504883,0.9649999737739563,4.19980001449585,0.022600000724196434,0,0,10009,0,10006,0,0,10000,1.5601999759674072,4.683499813079834,5.536399841308594,10000,2.0449999999999378,0.6808,1,0.0903,0.033299999999999996,376832,15,15,0.7434,14269824,1,1,64.04940032958984,0.10320000350475311,2.233099937438965,0.4000999927520752,0.020899999886751175,0.1096000000834465,0,0,0,0,0,0,0,0,0,0,0,0,0
13,98.21790313720703,38.648101806640625,51.21910095214844,24.569900512695312,0.8928999900817871,3.3842999935150146,0.01549999974668026,0,0,10009,0,10006,0,0,10000,1.3594000339508057,3.757499933242798,5.769400119781494,10000,2.0349999999999,0.7513,1,0.1041,0.052,376832,15,15,0.9286,12114352,0,0,90.09410095214844,0.0771000012755394,2.659899950027466,0.4487999975681305,0.016200000420212746,0.12099999934434891,0,0,0,0,0,0,0,0,0,0,0,0,0
14,138.6925048828125,82.23040008544922,48.9193000793457,27.11400032043457,1.1805000305175781,3.972599983215332,0.009600000455975533,0,0,10009,0,10006,0,0,10000,0.6988999843597412,3.453700065612793,8.831700325012207,10000,1.8243999999998952,0.6901,1,0.08479999999999999,0.0323,376832,15,15,0.847,31067064,1,1,131.33810424804688,0.06289999932050705,2.6331000328063965,0.3779999911785126,0.015799999237060547,0.12200000137090683,0,0,0,0,0,0,0,0,0,0,0,0,0
15,57.33399963378906,7.35699987411499,42.36069869995117,24.634599685668945,1.1092000007629395,2.765199899673462,0.00839999970048666,0,0,10009,0,10006,0,0,10000,0.6179999709129333,3.604300022125244,5.60260009765625,10000,1.854299999999895,0.6666,1,0.09639999999999999,0.0332,376832,15,15,0.8593,299592,0,0,49.907798767089844,0.0575999990105629,2.6089999675750732,0.42669999599456787,0.01549999974668026,0.12770000100135803,0,0,0,0,0,0,0,0,0,0,0,0,0
16,41.50870132446289,3.286799907684326,30.99839973449707,11.967100143432617,0.7035999894142151,3.7112998962402344,0.010900000110268593,0,0,10009,0,10006,0,0,10000,1.8847999572753906,4.238999843597412,4.7565999031066895,10000,1.8444999999998761,0.6862,1,0.0901,0.0299,376832,15,15,0.7972,295024,0,0,34.46659851074219,0.08330000191926956,2.2242000102996826,0.4652000069618225,0.03579999879002571,0.10320000350475311,0,0,0,0,0,0,0,0,0,0,0,0,0
17,46.96879959106445,3.3092000484466553,33.815399169921875,13.516599655151367,0.7786999940872192,3.6317999362945557,0.012199999764561653,0,0,10009,0,10006,0,0,10000,1.3063000440597534,5.419899940490723,5.309599876403809,10000,2.558600000000047,0.8939,1,0.1161,0.031100000000000003,376832,15,15,0.9481,277952,0,0,37.344600677490234,0.08160000294446945,3.064300060272217,0.47519999742507935,0.022299999371170998,0.17870000004768372,0,0,0,0,0,0,0,0,0,0,0,0,0
18,51.41910171508789,2.244999885559082,37.87929916381836,12.673399925231934,0.9377999901771545,5.23199987411499,0.013299999758601189,0,0,10009,0,10006,0,0,10000,1.2304999828338623,6.387199878692627,6.941299915313721,10000,2.376099999999902,1.1719,1,0.13440000000000002,0.0314,376832,15,15,1.0378,210656,0,0,40.34519958496094,0.08760000020265579,3.9969000816345215,0.5440000295639038,0.025499999523162842,0.15610000491142273,0,0,0,0,0,0,0,0,0,0,0,0,0
