frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents
1,573.155029296875,0.2522999942302704,99.6050033569336,7.54610013961792,1.2410999536514282,2.4158999919891357,0.6044999957084656,0.008200000040233135,0,5,0,0,0,0,0,6.064899921417236,7.93209981918335,6.017499923706055,0,0,0,0,0,0,0,0,0,0,164466448,6,6,330.16119384765625,6.17710018157959,10.603899955749512,40.44620132446289,3.0585999488830566,0.5130000114440918,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7.000800132751465,0.009100000374019146,2.905100107192993,0.011300000362098217,0.01899999938905239,0.006899999920278788,0.012400000356137753,0.0010000000474974513,0,5,0,0,0,0,0,0.10329999774694443,0.05040000006556511,2.111999988555908,0,0,0,0,0,0,0,0,0,0,12400,0,0,4.977700233459473,0.8992999792098999,0.06419999897480011,0.6123999953269958,0.8593999743461609,0.10019999742507935,0,0,0,0,0,0,0,0,0,0,0,0,0
3,99.98320007324219,80.13050079345703,5.604100227355957,0.0203000009059906,0.023499999195337296,2.1951000690460205,0.008799999952316284,0.004000000189989805,0,5,0,5,0,0,0,0.09839999675750732,0.07320000231266022,2.5336999893188477,0,0,0,0,0,0,0,0,0,0,3575776,0,0,85.85990142822266,0.06589999794960022,11.017000198364258,0.35010001063346863,0.019500000402331352,0.11010000109672546,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7.217100143432617,5.503300189971924,0.6525999903678894,0.008799999952316284,0.01360000018030405,0.00570000009611249,0.01209999993443489,0.000699999975040555,0,5,0,5,0,0,0,0.10119999945163727,0.05640000104904175,0.25679999589920044,0,0,0,0,0,0,0,0,0,0,9168,0,0,6.307199954986572,0.05860000103712082,0.20419999957084656,0.36340001225471497,0.018300000578165054,0.06719999760389328,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2520.08984375,1757.3375244140625,760.9683837890625,553.4840698242188,17.147600173950195,35.299598693847656,0.012199999764561653,6.481500148773193,10000,10009,0,5,0,0,0,2.194700002670288,4.276400089263916,14.96310043334961,0,0,0,0,0,0,0,0,0,0,2545200376,87,20,2518.4267578125,0.22380000352859497,0.1476999968290329,0.9341999888420105,0.16429999470710754,0.12839999794960022,0,0,0,0,0,0,0,0,0,0,0,0,0
6,239.9853973388672,108.25499725341797,97.51260375976562,27.99970054626465,1.183500051498413,23.447900772094727,0.016200000420212746,1.3478000164031982,10000,10009,0,10006,0,0,10000,1.5543999671936035,4.113800048828125,31.221099853515625,0,0,0,0,0,0,0,0,0,0,280415344,14,2,206.02769470214844,0.09319999814033508,23.797700881958008,0.39640000462532043,0.0210999995470047,0.11259999871253967,0,0,0,0,0,0,0,0,0,0,0,0,0
7,66.02010345458984,7.32450008392334,55.59379959106445,28.697099685668945,1.086300015449524,3.578399896621704,0.022299999371170998,1.926800012588501,10000,10009,0,10006,0,0,10000,1.5276999473571777,4.184599876403809,6.5868000984191895,0,0,0,0,0,0,0,0,0,0,348544,0,0,63.14939880371094,0.09359999746084213,0.9693999886512756,0.4235999882221222,0.021199999377131462,0.27390000224113464,0,0,0,0,0,0,0,0,0,0,0,0,0
8,88.25260162353516,18.36709976196289,49.642398834228516,25.948299407958984,1.0729000568389893,3.4727001190185547,0.016899999231100082,1.1672999858856201,10000,10009,0,10006,0,0,10000,1.3874000310897827,4.0914998054504395,5.883800029754639,10000,4.054400000001699,1.2466,1,2.2146,0.2058,376832,15,15,1.6911,8102248,0,0,68.2738037109375,0.07890000194311142,7.6066999435424805,0.39910000562667847,0.01899999938905239,0.13130000233650208,0,0,0,0,0,0,0,0,0,0,0,0,0
9,71.7156982421875,13.87440013885498,51.0968017578125,28.3341007232666,1.0235999822616577,3.338900089263916,0.01119999960064888,1.429900050163269,10000,10009,0,10006,0,0,10000,1.6021000146865845,3.978100061416626,5.6757001876831055,10000,1.9552999999998786,0.5138,1,0.0758,0.0271,376832,15,15,0.6014,176096,0,0,65.15290069580078,0.06629999727010727,1.9335999488830566,0.38280001282691956,0.016899999231100082,0.12370000034570694,0,0,0,0,0,0,0,0,0,0,0,0,0
10,62.607398986816406,7.030399799346924,49.119598388671875,25.471399307250977,1.0118000507354736,4.237500190734863,0.014000000432133675,1.9184000492095947,10000,10009,0,10006,0,0,10000,1.3561999797821045,3.8712000846862793,5.575500011444092,10000,1.7089999999998924,0.5673,1,0.0771,0.038599999999999995,376832,15,15,0.6982,8128,0,0,56.33140182495117,0.08269999921321869,1.8960000276565552,0.3684999942779541,0.021199999377131462,0.11620000004768372,0,0,0,0,0,0,0,0,0,0,0,0,0
11,77.10489654541016,22.988399505615234,47.23860168457031,25.286800384521484,0.9546999931335449,3.4307000637054443,0.010400000028312206,1.1830999851226807,10000,10009,0,10006,0,0,10000,1.284000039100647,3.9858999252319336,5.130000114440918,10000,1.8118999999998917,0.6358,1,0.08299999999999999,0.0327,376832,15,15,0.7893,25552968,0,0,70.3843002319336,0.06639999896287918,2.039299964904785,0.4189999997615814,0.017899999395012856,0.12049999833106995,0,0,0,0,0,0,0,0,0,0,0,0,0
12,77.0385971069336,16.93079948425293,53.012298583984375,27.81399917602539,0.9714999794960022,3.9695000648498535,0.018200000748038292,1.4648000001907349,10000,10009,0,10006,0,0,10000,1.819000005722046,4.930099964141846,5.507299900054932,10000,1.9598999999998898,0.6185,1,0.0817,0.0296,376832,15,15,0.6791,14269824,1,1,70.12020111083984,0.08290000259876251,2.1150999069213867,0.4007999897003174,0.018799999728798866,0.11869999766349792,0,0,0,0,0,0,0,0,0,0,0,0,0
13,100.63710021972656,36.55950164794922,57.63130187988281,25.918699264526367,1.1847000122070312,3.417799949645996,0.01209999993443489,1.1480000019073486,10000,10009,0,10006,0,0,10000,1.664199948310852,3.8268001079559326,7.5706000328063965,10000,1.6930999999998975,0.6282,1,0.07730000000000001,0.0371,376832,15,15,0.7023,12114352,0,0,94.38099670410156,0.06880000233650208,1.9437999725341797,0.38429999351501465,0.01759999990463257,0.11980000138282776,0,0,0,0,0,0,0,0,0,0,0,0,0
