frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents
1,600.3460083007812,0.2639000117778778,98.2394027709961,6.7042999267578125,1.2832000255584717,2.4249000549316406,0.5978999733924866,0.007499999832361937,0,5,0,0,0,0,0,6.129199981689453,7.482699871063232,5.758800029754639,0,0,0,0,0,0,0,0,0,0,164472552,6,6,357.7311096191406,5.865099906921387,10.736599922180176,46.62810134887695,2.754300117492676,0.49059998989105225,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7.2530999183654785,0.008500000461935997,2.924999952316284,0.013000000268220901,0.019300000742077827,0.011599999852478504,0.01759999990463257,0.0007999999797903001,0,5,0,0,0,0,0,0.1386999934911728,0.06870000064373016,2.0262999534606934,0,0,0,0,0,0,0,0,0,0,12400,0,0,5.006899833679199,1.076799988746643,0.07180000096559525,0.6238999962806702,1.0211999416351318,0.10480000078678131,0,0,0,0,0,0,0,0,0,0,0,0,0
3,99.42620086669922,79.60050201416016,5.718599796295166,0.02070000022649765,0.026200000196695328,2.27810001373291,0.009800000116229057,0.004100000020116568,0,5,0,5,0,0,0,0.12129999697208405,0.06549999862909317,2.585400104522705,0,0,0,0,0,0,0,0,0,0,3575776,0,0,85.45269775390625,0.05559999868273735,10.85990047454834,0.44040000438690186,0.01590000092983246,0.12309999763965607,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.046999931335449,2.152400016784668,0.7045999765396118,0.01080000028014183,0.01590000092983246,0.008700000122189522,0.012500000186264515,0.0010999999940395355,0,5,0,5,0,0,0,0.10350000113248825,0.06199999898672104,0.2709999978542328,0,0,0,0,0,0,0,0,0,0,8480,0,0,3.032399892807007,0.060499999672174454,0.2062000036239624,0.39559999108314514,0.01679999940097332,0.09470000118017197,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.232900142669678,3.9267001152038574,0.41909998655319214,0.006500000134110451,0.010900000110268593,0.007699999958276749,0.010999999940395355,0.0008999999845400453,0,5,0,5,0,0,0,0.10689999908208847,0.053199999034404755,0.07370000332593918,0,0,0,0,0,0,0,0,0,0,8280,0,0,4.458799839019775,0.05040000006556511,0.11339999735355377,0.3529999852180481,0.014499999582767487,0.09260000288486481,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2673.318603515625,1852.1932373046875,819.2235107421875,600.0521850585938,18.442800521850586,35.72990036010742,0.01209999993443489,7.990200042724609,10000,10009,0,5,0,0,0,1.8420000076293945,4.196199893951416,14.91919994354248,0,0,0,0,0,0,0,0,0,0,2545194656,87,20,2671.5595703125,0.2304999977350235,0.14640000462532043,1.0006999969482422,0.17010000348091125,0.14749999344348907,0,0,0,0,0,0,0,0,0,0,0,0,0
7,246.12469482421875,116.02120208740234,97.13059997558594,30.898700714111328,1.3240000009536743,21.96139907836914,0.01140000019222498,1.475600004196167,10000,10009,0,10006,0,0,10000,1.1181999444961548,3.960700035095215,29.723499298095703,0,0,0,0,0,0,0,0,0,0,280415048,14,2,213.4355926513672,0.07090000063180923,23.61199951171875,0.382999986410141,0.021400000900030136,0.12439999729394913,0,0,0,0,0,0,0,0,0,0,0,0,0
8,59.40520095825195,7.022600173950195,49.58769989013672,26.24530029296875,1.2173000574111938,3.6298999786376953,0.019700000062584877,1.238800048828125,10000,10009,0,10006,0,0,10000,1.19159996509552,4.0503997802734375,5.941199779510498,0,0,0,0,0,0,0,0,0,0,348544,0,0,56.82929992675781,0.08959999680519104,0.8733000159263611,0.41690000891685486,0.01730000041425228,0.1281999945640564,0,0,0,0,0,0,0,0,0,0,0,0,0
9,103.00160217285156,17.07659912109375,63.20100021362305,35.572200775146484,1.1496000289916992,4.4293999671936035,0.014800000004470348,1.9729000329971313,10000,10009,0,10006,0,0,10000,2.1552999019622803,4.067500114440918,7.717100143432617,10000,5.362299999999266,1.4512,1,2.6377,0.2258,376832,15,15,2.8627,8102248,0,0,80.47920227050781,0.07729999721050262,7.186200141906738,0.3995000123977661,0.017100000753998756,0.11580000072717667,0,0,0,0,0,0,0,0,0,0,0,0,0
10,77.34809875488281,16.844999313354492,53.15629959106445,26.49880027770996,1.1031999588012695,5.190800189971924,0.01269999984651804,1.575700044631958,10000,10009,0,10006,0,0,10000,2.166800022125244,4.629499912261963,5.9278998374938965,10000,2.1032999999999795,0.5918,1,0.0886,0.0299,376832,15,15,0.7728,176096,0,0,70.20279693603516,0.07419999688863754,2.12280011177063,0.38179999589920044,0.017400000244379044,0.11879999935626984,0,0,0,0,0,0,0,0,0,0,0,0,0
11,71.7748031616211,7.267099857330322,54.84090042114258,27.298200607299805,1.0677000284194946,5.131800174713135,0.017899999395012856,2.237600088119507,10000,10009,0,10006,0,0,10000,1.5023000240325928,5.368100166320801,5.973400115966797,10000,2.7400000000000113,0.7978,1,0.11180000000000001,0.0529,376832,15,15,1.1041,8128,0,0,62.26969909667969,0.10869999974966049,2.8322999477386475,0.4595000147819519,0.02800000086426735,0.1437000036239624,0,0,0,0,0,0,0,0,0,0,0,0,0
12,93.60260009765625,30.441499710083008,56.29999923706055,26.344999313354492,1.5256999731063843,4.862500190734863,0.00989999994635582,1.2214000225067139,10000,10009,0,10006,0,0,10000,1.061900019645691,4.2154998779296875,9.953800201416016,10000,1.7522999999998952,0.7459,1,0.0823,0.0291,376832,15,15,0.7093,25552968,0,0,86.94660186767578,0.06840000301599503,2.1029000282287598,0.48750001192092896,0.01769999973475933,0.13750000298023224,0,0,0,0,0,0,0,0,0,0,0,0,0
13,80.48570251464844,18.16189956665039,53.13199996948242,27.10099983215332,0.9984999895095825,4.064700126647949,0.026200000196695328,1.2437000274658203,10000,10009,0,10006,0,0,10000,1.3605999946594238,6.743899822235107,5.527200222015381,10000,2.287000000000055,0.7943,1,0.10470000000000002,0.038599999999999995,376832,15,15,0.8931,14269824,1,1,71.506103515625,0.12280000001192093,2.841099977493286,0.45669999718666077,0.025800000876188278,0.265500009059906,0,0,0,0,0,0,0,0,0,0,0,0,0
14,104.79810333251953,36.24319839477539,61.139801025390625,29.29170036315918,1.813599944114685,3.2607998847961426,0.012900000438094139,1.1330000162124634,10000,10009,0,10006,0,0,10000,1.3487999439239502,3.897200107574463,7.585400104522705,10000,1.7651999999998929,0.8834,1,0.09820000000000001,0.0373,376832,15,15,0.6962,12114352,0,0,97.63610076904297,0.07660000026226044,2.561800003051758,0.4717999994754791,0.016499999910593033,0.11720000207424164,0,0,0,0,0,0,0,0,0,0,0,0,0
