frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents
1,527.8126831054688,0.2615000009536743,93.22200012207031,6.83050012588501,1.2553999423980713,2.328000068664551,0.6294000148773193,0.005900000222027302,0,5,0,0,0,0,0,6.303699970245361,0.38760000467300415,7.6072001457214355,0,0,0,0,0,0,0,0,0,0,164403632,6,6,325.0018005371094,5.567999839782715,10.861000061035156,0.9355999827384949,2.0376999378204346,0.4138999879360199,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5.359600067138672,0.010999999940395355,2.8701000213623047,0.01140000019222498,0.01979999989271164,0.007499999832361937,0.019600000232458115,0.0010000000474974513,0,5,0,0,0,0,0,0.11580000072717667,0.006800000090152025,2.0713999271392822,0,0,0,0,0,0,0,0,0,0,12224,0,0,4.58050012588501,0.3077999949455261,0.07509999722242355,0.003599999938160181,0.23849999904632568,0.09520000219345093,0,0,0,0,0,0,0,0,0,0,0,0,0
3,105.33090209960938,79.36389923095703,6.513299942016602,0.026399999856948853,0.027000000700354576,2.620800018310547,0.01759999990463257,0.004900000058114529,0,5,0,5,0,0,0,0.10289999842643738,0.007899999618530273,2.783799886703491,0,0,0,0,0,0,0,0,0,0,3575776,0,0,86.00859832763672,0.06930000334978104,15.819299697875977,0.006000000052154064,0.004100000020116568,0.260699987411499,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.395699977874756,2.6796998977661133,0.8981999754905701,0.014000000432133675,0.02539999969303608,0.007799999788403511,0.016599999740719795,0.0010999999940395355,0,5,0,5,0,0,0,0.23399999737739563,0.0066999997943639755,0.34709998965263367,0,0,0,0,0,0,0,0,0,0,8480,0,0,3.8027000427246094,0.05689999833703041,0.19789999723434448,0.0038999998942017555,0.004100000020116568,0.07760000228881836,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.673699855804443,4.552299976348877,0.39570000767707825,0.007199999876320362,0.0142000000923872,0.009200000204145908,0.012799999676644802,0.0007999999797903001,0,5,0,5,0,0,0,0.08820000290870667,0.005400000140070915,0.08529999852180481,0,0,0,0,0,0,0,0,0,0,8280,0,0,5.092100143432617,0.050700001418590546,0.13099999725818634,0.0038999998942017555,0.0035000001080334187,0.19869999587535858,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2585.86279296875,1767.81787109375,817.2587280273438,603.6607055664062,18.541099548339844,40.45349884033203,0.01769999973475933,6.791299819946289,10000,10009,0,5,0,0,0,1.936400055885315,0.010300000198185444,14.176400184631348,0,0,0,0,0,0,0,0,0,0,2545140128,87,20,2585.208984375,0.08969999849796295,0.19210000336170197,0.004800000227987766,0.00559999980032444,0.11580000072717667,0,0,0,0,0,0,0,0,0,0,0,0,0
7,252.54539489746094,109.4094009399414,105.65290069580078,28.216800689697266,1.2594000101089478,22.6072998046875,0.01720000058412552,1.7719000577926636,10000,10009,0,10006,0,0,10000,1.6369999647140503,0.012400000356137753,40.131500244140625,0,0,0,0,0,0,0,0,0,0,280415344,14,2,215.32240295410156,0.07660000026226044,27.28230094909668,0.007799999788403511,0.00419999985024333,0.1412999927997589,0,0,0,0,0,0,0,0,0,0,0,0,0
8,76.43620300292969,10.812399864196777,62.90190124511719,37.562599182128906,1.1548000574111938,4.104499816894531,0.021900000050663948,1.666599988937378,10000,10009,0,10006,0,0,10000,1.655400037765503,0.009700000286102295,6.541800022125244,0,0,0,0,0,0,0,0,0,0,348544,0,0,73.99839782714844,0.08569999784231186,0.9180999994277954,0.00419999985024333,0.006899999920278788,0.18379999697208405,0,0,0,0,0,0,0,0,0,0,0,0,0
9,92.7781982421875,18.189699172973633,50.816001892089844,30.257999420166016,1.0988999605178833,3.663100004196167,0.018699999898672104,1.1604000329971313,10000,10009,0,10006,0,0,10000,1.4190000295639038,0.010200000368058681,5.870500087738037,10000,4.880300000000158,1.8658,1,2.8057,0.311,376832,15,15,1.8193,8102248,0,0,69.18289947509766,0.08699999749660492,9.476699829101562,0.004800000227987766,0.005799999926239252,0.11630000174045563,0,0,0,0,0,0,0,0,0,0,0,0,0
10,74.18219757080078,16.916799545288086,49.894798278808594,27.94700050354004,1.1539000272750854,3.914099931716919,0.020500000566244125,1.7244000434875488,10000,10009,0,10006,0,0,10000,1.4019999504089355,0.012199999764561653,6.108099937438965,10000,2.219100000000046,0.6271,1,0.09119999999999999,0.0349,376832,15,15,0.7001,176096,0,0,67.00479888916016,0.10580000281333923,2.374500036239624,0.00430000014603138,0.0052999998442828655,0.10580000281333923,0,0,0,0,0,0,0,0,0,0,0,0,0
