frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents
1,563.1964721679688,0.2702000141143799,98.4583969116211,6.9944000244140625,1.3288999795913696,2.381700038909912,0.9133999943733215,0.008500000461935997,0,5,0,0,0,0,0,5.857800006866455,6.797699928283691,6.712600231170654,0,0,0,0,0,0,0,0,0,0,164474592,6,6,327.248291015625,6.720099925994873,10.295599937438965,36.7322998046875,2.768199920654297,0.4693000018596649,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6.985199928283691,0.009499999694526196,2.803100109100342,0.015300000086426735,0.02160000056028366,0.007600000128149986,0.009700000286102295,0.0008999999845400453,0,5,0,0,0,0,0,0.1379999965429306,0.04879999905824661,1.979200005531311,0,0,0,0,0,0,0,0,0,0,12400,0,0,4.880099773406982,1.0104999542236328,0.07209999859333038,0.592199981212616,0.970300018787384,0.08709999918937683,0,0,0,0,0,0,0,0,0,0,0,0,0
3,94.5552978515625,73.82689666748047,7.11359977722168,0.019300000742077827,0.02199999988079071,3.747999906539917,0.008200000040233135,0.00419999985024333,0,5,0,5,0,0,0,0.1678999960422516,0.0722000002861023,2.37719988822937,0,0,0,0,0,0,0,0,0,0,3575776,0,0,81.06289672851562,0.056699998676776886,10.640700340270996,0.37040001153945923,0.017000000923871994,0.11749999970197678,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3.6545000076293945,2.111799955368042,0.6747999787330627,0.010499999858438969,0.015300000086426735,0.006200000178068876,0.011500000022351742,0.0010999999940395355,0,5,0,5,0,0,0,0.093299999833107,0.04360000044107437,0.2761000096797943,0,0,0,0,0,0,0,0,0,0,8480,0,0,2.9511001110076904,0.04540000110864639,0.13580000400543213,0.2736000120639801,0.013500000350177288,0.06530000269412994,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.112400054931641,3.853300094604492,0.47600001096725464,0.008100000210106373,0.013500000350177288,0.007799999788403511,0.009200000204145908,0.0012000000569969416,0,5,0,5,0,0,0,0.11429999768733978,0.060600001364946365,0.08110000193119049,0,0,0,0,0,0,0,0,0,0,8280,0,0,4.440400123596191,0.05689999833703041,0.09260000288486481,0.2524000108242035,0.01899999938905239,0.06120000034570694,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2501.2265625,1730.0235595703125,769.0286254882812,552.2114868164062,17.908199310302734,40.032100677490234,0.013700000010430813,6.349899768829346,10000,10009,0,5,0,0,0,2.104099988937378,4.558499813079834,14.46720027923584,0,0,0,0,0,0,0,0,0,0,2545202408,87,20,2499.198974609375,0.3287999927997589,0.1745000034570694,1.1568000316619873,0.2485000044107437,0.1324000060558319,0,0,0,0,0,0,0,0,0,0,0,0,0
7,250.99989318847656,113.47219848632812,103.5824966430664,31.848800659179688,1.1742000579833984,22.66119956970215,0.01140000019222498,1.5748000144958496,10000,10009,0,10006,0,0,10000,1.7029999494552612,4.2530999183654785,33.49020004272461,0,0,0,0,0,0,0,0,0,0,280415344,14,2,217.3760986328125,0.07460000365972519,23.627099990844727,0.3864000141620636,0.020400000736117363,0.10949999839067459,0,0,0,0,0,0,0,0,0,0,0,0,0
8,62.27880096435547,7.698400020599365,51.659000396728516,26.3435001373291,1.01419997215271,3.557499885559082,0.018799999728798866,1.187999963760376,10000,10009,0,10006,0,0,10000,1.4235999584197998,4.952700138092041,6.790299892425537,0,0,0,0,0,0,0,0,0,0,348544,0,0,59.61859893798828,0.09650000184774399,0.8740000128746033,0.3865000009536743,0.02160000056028366,0.12809999287128448,0,0,0,0,0,0,0,0,0,0,0,0,0
9,86.03009796142578,15.975199699401855,48.766700744628906,25.707399368286133,0.9878000020980835,3.955899953842163,0.012000000104308128,1.1757999658584595,10000,10009,0,10006,0,0,10000,1.5049999952316284,4.094399929046631,5.578499794006348,10000,4.2733000000015435,1.5651,1,2.247,0.21150000000000002,376832,15,15,1.6995,8102248,0,0,64.92649841308594,0.07649999856948853,8.538399696350098,0.373199999332428,0.016899999231100082,0.11400000005960464,0,0,0,0,0,0,0,0,0,0,0,0,0
10,67.75019836425781,14.794300079345703,46.22719955444336,24.478300094604492,0.9527000188827515,3.2748000621795654,0.008899999782443047,1.448099970817566,10000,10009,0,10006,0,0,10000,1.3964999914169312,3.89520001411438,5.264699935913086,10000,1.8826999999998817,0.529,1,0.07780000000000001,0.0285,376832,15,15,0.6981,176096,0,0,61.20309829711914,0.0681999996304512,1.9299999475479126,0.4090999960899353,0.017400000244379044,0.11320000141859055,0,0,0,0,0,0,0,0,0,0,0,0,0
11,61.35390090942383,6.842800140380859,47.88970184326172,25.374300003051758,0.991100013256073,3.3645999431610107,0.008299999870359898,1.8840999603271484,10000,10009,0,10006,0,0,10000,1.4300999641418457,3.8738999366760254,5.465700149536133,10000,1.8581999999998873,0.5518,1,0.0798,0.030100000000000002,376832,15,15,0.6441,8128,0,0,54.91680145263672,0.06700000166893005,1.9696999788284302,0.3849000036716461,0.021700000390410423,0.11420000344514847,0,0,0,0,0,0,0,0,0,0,0,0,0
12,77.01850128173828,23.459699630737305,47.09510040283203,25.513700485229492,1.0849000215530396,3.2725000381469727,0.00839999970048666,1.158400058746338,10000,10009,0,10006,0,0,10000,1.2376999855041504,3.7730000019073486,5.338799953460693,10000,1.7177999999998947,0.6246,1,0.0754,0.0269,376832,15,15,0.7025,25552968,0,0,70.73729705810547,0.06400000303983688,1.961300015449524,0.38339999318122864,0.017799999564886093,0.11729999631643295,0,0,0,0,0,0,0,0,0,0,0,0,0
