frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents
1,1047.51416015625,0.38999998569488525,132.4138946533203,9.53339958190918,1.6683000326156616,3.424799919128418,0.8668000102043152,0.009800000116229057,0,5,0,0,0,0,0,8.62440013885498,9.90939998626709,7.955999851226807,0,0,0,0,0,0,0,0,0,0,164472608,6,6,457.7839050292969,9.521599769592285,17.40839958190918,286.8033142089844,4.922100067138672,0.9843999743461609,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17.574800491333008,0.023499999195337296,7.243899822235107,0.023900000378489494,0.04690000042319298,0.01590000092983246,0.028699999675154686,0.00139999995008111,0,5,0,0,0,0,0,0.2232999950647354,0.10019999742507935,5.407100200653076,0,0,0,0,0,0,0,0,0,0,12400,0,0,13.172300338745117,1.9785000085830688,0.1324000060558319,1.2460999488830566,1.8944000005722046,0.1679999977350235,0,0,0,0,0,0,0,0,0,0,0,0,0
3,158.28570556640625,128.9102020263672,7.820899963378906,0.02630000002682209,0.029200000688433647,2.9804999828338623,0.01640000008046627,0.0052999998442828655,0,5,0,5,0,0,0,0.1485999971628189,0.09139999747276306,3.6180999279022217,0,0,0,0,0,0,0,0,0,0,3577160,0,0,137.04220581054688,0.08259999752044678,16.715200424194336,0.4537000060081482,0.022099999710917473,0.15410000085830688,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5.680500030517578,3.0857999324798584,1.125499963760376,0.016499999910593033,0.032099999487400055,0.013399999588727951,0.02630000002682209,0.0010999999940395355,0,5,0,5,0,0,0,0.15209999680519104,0.10130000114440918,0.4627000093460083,0,0,0,0,0,0,0,0,0,0,8480,0,0,4.42609977722168,0.12780000269412994,0.2678000032901764,0.46790000796318054,0.053599998354911804,0.10670000314712524,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10.233099937438965,8.196000099182129,0.732200026512146,0.013700000010430813,0.024399999529123306,0.01080000028014183,0.013700000010430813,0.0007999999797903001,0,5,0,5,0,0,0,0.14159999787807465,0.09570000320672989,0.1453000009059906,0,0,0,0,0,0,0,0,0,0,8280,0,0,9.13759994506836,0.06679999828338623,0.17309999465942383,0.475600004196167,0.019099999219179153,0.11710000038146973,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5530.83935546875,3549.839111328125,1977.4090576171875,1393.9627685546875,56.55509948730469,73.18170166015625,0.03849999979138374,23.666000366210938,10000,10009,0,5,0,0,0,4.299300193786621,10.420999526977539,33.059200286865234,0,0,0,0,0,0,0,0,0,0,2545237512,87,20,5527.45458984375,0.5806999802589417,0.3012999892234802,1.867799997329712,0.4101000130176544,0.23229999840259552,0,0,0,0,0,0,0,0,0,0,0,0,0
7,476.0539855957031,266.43060302734375,129.92469787597656,19.805999755859375,1.4740999937057495,39.47019958496094,0.04919999837875366,3.382499933242798,10000,10009,0,10006,0,0,10000,5.054900169372559,8.55739974975586,38.356201171875,0,0,0,0,0,0,0,0,0,0,280415344,14,2,396.8691101074219,0.2797999978065491,59.05830001831055,0.9932000041007996,0.07169999927282333,0.2581000030040741,0,0,0,0,0,0,0,0,0,0,0,0,0
8,160.59649658203125,8.57919979095459,117.8781967163086,30.189899444580078,2.0648000240325928,17.982099533081055,0.05719999969005585,5.082799911499023,10000,10009,0,10006,0,0,10000,10.974699974060059,23.436199188232422,11.298999786376953,0,0,0,0,0,0,0,0,0,0,348544,0,0,127.23179626464844,0.29019999504089355,16.257200241088867,1.3700000047683716,0.06689999997615814,1.0241999626159668,0,0,0,0,0,0,0,0,0,0,0,0,0
9,174.44900512695312,76.55159759521484,88.85600280761719,19.237300872802734,5.75540018081665,11.490599632263184,0.047600001096725464,2.738300085067749,10000,10009,0,10006,0,0,10000,2.288300037384033,11.028900146484375,15.862000465393066,0,0,0,0,0,0,0,0,0,0,276984,0,0,166.0146026611328,0.2345999926328659,3.0648999214172363,1.2411999702453613,0.05009999871253967,0.34929999709129333,0,0,0,0,0,0,0,0,0,0,0,0,0
10,784.9345092773438,84.9885025024414,147.78439331054688,36.84749984741211,3.658900022506714,19.657899856567383,0.0421999990940094,8.838199615478516,10000,10009,0,10006,0,0,10000,2.821899890899658,15.503199577331543,32.477500915527344,10000,41.52720000000672,443.9465,1,8.292300000000001,0.859,376832,15,15,13.4845,8001272,0,0,233.39540100097656,0.26420000195503235,467.15240478515625,1.382200002670288,0.065700002014637,0.4122999906539917,0,0,0,0,0,0,0,0,0,0,0,0,0
