frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents
1,563.4796752929688,0.2653000056743622,96.48040008544922,7.235499858856201,1.2242000102996826,2.2848000526428223,0.6155999898910522,0.01209999993443489,0,5,0,0,0,0,0,6.277100086212158,7.789899826049805,5.514200210571289,0,0,0,0,0,0,0,0,0,0,164475600,6,6,320.406494140625,6.000899791717529,11.428099632263184,39.9375,2.802299976348877,0.5562000274658203,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7.264900207519531,0.010300000198185444,2.9535000324249268,0.012500000186264515,0.01720000058412552,0.007400000002235174,0.012799999676644802,0.0008999999845400453,0,5,0,0,0,0,0,0.1103999987244606,0.05130000039935112,2.138700008392334,0,0,0,0,0,0,0,0,0,0,12400,0,0,5.218299865722656,0.9376999735832214,0.05770000070333481,0.6168000102043152,0.8980000019073486,0.08869999647140503,0,0,0,0,0,0,0,0,0,0,0,0,0
3,103.0071029663086,83.33799743652344,5.2758002281188965,0.019600000232458115,0.02329999953508377,1.8414000272750854,0.009499999694526196,0.003700000001117587,0,5,0,5,0,0,0,0.12200000137090683,0.061900001019239426,2.5527000427246094,0,0,0,0,0,0,0,0,0,0,3575776,0,0,88.73600006103516,0.05490000173449516,11.38070011138916,0.37450000643730164,0.017999999225139618,0.13109999895095825,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8.038800239562988,6.161600112915039,0.7210999727249146,0.011599999852478504,0.018300000578165054,0.0066999997943639755,0.010900000110268593,0.0010000000474974513,0,5,0,5,0,0,0,0.10119999945163727,0.05689999833703041,0.2849000096321106,0,0,0,0,0,0,0,0,0,0,9168,0,0,7.053699970245361,0.053300000727176666,0.20900000631809235,0.3898000121116638,0.015399999916553497,0.11289999634027481,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2634.822021484375,1819.989990234375,812.9204711914062,598.206298828125,19.109600067138672,33.690101623535156,0.01360000018030405,7.061100006103516,10000,10009,0,5,0,0,0,1.8246999979019165,3.8987998962402344,14.5600004196167,0,0,0,0,0,0,0,0,0,0,2545154200,87,20,2633.06591796875,0.2678000032901764,0.14409999549388885,0.9922000169754028,0.19769999384880066,0.09690000116825104,0,0,0,0,0,0,0,0,0,0,0,0,0
6,223.68629455566406,109.1072998046875,80.49259948730469,20.496599197387695,1.0151000022888184,19.352500915527344,0.010700000450015068,1.4589999914169312,10000,10009,0,10006,0,0,10000,1.416700005531311,3.7070999145507812,26.139799118041992,0,0,0,0,0,0,0,0,0,0,280415344,14,2,189.8677978515625,0.07750000059604645,23.85420036315918,0.3828999996185303,0.024700000882148743,0.1096000000834465,0,0,0,0,0,0,0,0,0,0,0,0,0
7,56.682899475097656,5.368000030517578,48.58720016479492,19.62619972229004,1.542099952697754,4.317500114440918,0.021199999377131462,1.1953999996185303,10000,10009,0,10006,0,0,10000,1.3144999742507935,4.761499881744385,7.821000099182129,0,0,0,0,0,0,0,0,0,0,348544,0,0,54.18470001220703,0.09049999713897705,0.7689999938011169,0.3928999900817871,0.01810000091791153,0.1128000020980835,0,0,0,0,0,0,0,0,0,0,0,0,0
8,83.24469757080078,16.193199157714844,46.83700180053711,20.391700744628906,1.5075000524520874,2.86899995803833,0.013799999840557575,1.139799952507019,10000,10009,0,10006,0,0,10000,1.5880000591278076,3.772599935531616,7.760799884796143,10000,4.259100000001561,1.3684,1,2.3495,0.2096,376832,15,15,1.45,8102248,0,0,63.24549865722656,0.08259999752044678,7.589399814605713,0.3887999951839447,0.019899999722838402,0.1265999972820282,0,0,0,0,0,0,0,0,0,0,0,0,0
9,58.89400100708008,11.976300239562988,39.82389831542969,17.639299392700195,1.0327999591827393,3.174799919128418,0.016699999570846558,1.455899953842163,10000,10009,0,10006,0,0,10000,1.3358999490737915,4.001100063323975,5.05079984664917,10000,2.10430000000001,0.5414,1,0.08,0.0287,376832,15,15,0.658,176096,0,0,51.984798431396484,0.09520000219345093,2.012200117111206,0.37560001015663147,0.025800000876188278,0.12160000205039978,0,0,0,0,0,0,0,0,0,0,0,0,0
10,51.426300048828125,6.612400054931641,38.1796989440918,17.09709930419922,0.8694000244140625,3.324199914932251,0.009999999776482582,1.8740999698638916,10000,10009,0,10006,0,0,10000,1.291100025177002,3.4581000804901123,4.582499980926514,10000,1.8030999999998873,0.5081,1,0.0787,0.028999999999999998,376832,15,15,0.747,8128,0,0,44.9911003112793,0.06610000133514404,1.8803000450134277,0.42890000343322754,0.019700000062584877,0.12449999898672104,0,0,0,0,0,0,0,0,0,0,0,0,0
11,79.17410278320312,21.345699310302734,50.54570007324219,27.270000457763672,1.0202000141143799,2.8078999519348145,0.02070000022649765,1.121000051498413,10000,10009,0,10006,0,0,10000,1.336899995803833,4.5096001625061035,5.783899784088135,10000,2.044699999999939,0.5629,1,0.08180000000000001,0.030699999999999998,376832,15,15,0.6215,25552968,0,0,72.07620239257812,0.11069999635219574,1.933899998664856,0.39500001072883606,0.02590000070631504,0.19679999351501465,0,0,0,0,0,0,0,0,0,0,0,0,0
12,61.99340057373047,14.508700370788574,40.314998626708984,18.178600311279297,0.944599986076355,3.680999994277954,0.01549999974668026,1.3158999681472778,10000,10009,0,10006,0,0,10000,1.3839000463485718,3.862600088119507,4.890500068664551,10000,1.923499999999889,0.5654,1,0.086,0.0292,376832,15,15,0.8719,14269824,1,1,55.00090026855469,0.0754999965429306,2.075200080871582,0.39809998869895935,0.018200000748038292,0.13330000638961792,0,0,0,0,0,0,0,0,0,0,0,0,0
13,87.22419738769531,31.10650062561035,49.262699127197266,20.245800018310547,1.0997999906539917,2.81820011138916,0.01889999955892563,1.118299961090088,10000,10009,0,10006,0,0,10000,1.4119000434875488,3.9804999828338623,6.587600231170654,10000,1.7922999999998948,0.6678,1,0.08130000000000001,0.037,376832,15,15,0.6587,12114352,0,0,80.65380096435547,0.10199999809265137,2.063499927520752,0.38339999318122864,0.0215000007301569,0.12839999794960022,0,0,0,0,0,0,0,0,0,0,0,0,0
14,110.46949768066406,65.14109802246094,38.85380172729492,16.723400115966797,1.0930999517440796,3.8668999671936035,0.011500000022351742,1.2431999444961548,10000,10009,0,10006,0,0,10000,1.7024999856948853,3.188499927520752,5.5640997886657715,10000,1.5710999999998858,0.6669,1,0.0805,0.030100000000000002,376832,15,15,0.7056,31067064,1,1,104.17479705810547,0.07000000029802322,2.025099992752075,0.376800000667572,0.018699999898672104,0.11879999935626984,0,0,0,0,0,0,0,0,0,0,0,0,0
15,34.78099822998047,2.7083001136779785,25.39579963684082,8.65880012512207,0.5024999976158142,2.58240008354187,0.008700000122189522,1.2547999620437622,10000,10009,0,10006,0,0,10000,0.8895999789237976,3.272599935531616,4.08519983291626,10000,1.5849999999998878,0.6379,1,0.0753,0.0286,376832,15,15,0.6273,299544,0,0,28.291799545288086,0.07519999891519547,1.9736000299453735,0.44999998807907104,0.03310000151395798,0.48100000619888306,0,0,0,0,0,0,0,0,0,0,0,0,0
16,37.516998291015625,2.241300106048584,27.407100677490234,9.176600456237793,0.612500011920929,3.310499906539917,0.010999999940395355,1.5318000316619873,10000,10009,0,10006,0,0,10000,0.9345999956130981,3.8559999465942383,4.436699867248535,10000,2.283200000000139,0.6841,1,0.09050000000000001,0.032299999999999995,376832,15,15,0.7512,294976,0,0,29.833900451660156,0.06599999964237213,2.234499931335449,0.3955000042915344,0.01940000057220459,0.1298999935388565,0,0,0,0,0,0,0,0,0,0,0,0,0
17,38.000301361083984,2.5283000469207764,26.483600616455078,5.679699897766113,0.8346999883651733,4.331500053405762,0.01640000008046627,1.7238999605178833,10000,10009,0,10006,0,0,10000,0.9160000085830688,5.048399925231934,4.540599822998047,10000,1.7900999999998346,1.0695,1,0.10869999999999999,0.028999999999999998,376832,15,15,0.8873,277952,0,0,29.168899536132812,0.09830000251531601,3.2190001010894775,0.4528000056743622,0.024900000542402267,0.15189999341964722,0,0,0,0,0,0,0,0,0,0,0,0,0
18,45.87329864501953,2.3901000022888184,33.094200134277344,6.836299896240234,0.7281000018119812,4.700699806213379,0.02250000089406967,2.3064000606536865,10000,10009,0,10006,0,0,10000,1.026900053024292,5.738100051879883,7.436800003051758,10000,2.155199999999834,1.0565,1,0.1376,0.027499999999999997,376832,15,15,1.1231,210464,0,0,35.66740036010742,0.10080000013113022,3.561300039291382,0.5210000276565552,0.02879999950528145,0.16419999301433563,0,0,0,0,0,0,0,0,0,0,0,0,0
