run,frame_ms_mean,frame_ms_median,frame_ms_p95,frame_ms_max,simulation_mean,simulation_median,simulation_p95,simulation_max,presentation_mean,presentation_median,presentation_p95,presentation_max,hud_mean,hud_median,hud_p95,hud_max,behavior_mean,behavior_median,behavior_p95,behavior_max,transform_sync_mean,transform_sync_median,transform_sync_p95,transform_sync_max,emit_mean,emit_median,emit_p95,emit_max,animator_mean,animator_median,animator_p95,animator_max,minimap_project_mean,minimap_project_median,minimap_project_p95,minimap_project_max,nav_steering_mean,nav_steering_median,nav_steering_p95,nav_steering_max,nav_hard_mean,nav_hard_median,nav_hard_p95,nav_hard_max,nav_flow_mean,nav_flow_median,nav_flow_p95,nav_flow_max,alloc_mean,alloc_median,alloc_p95,alloc_max,residual_mean,residual_median,residual_p95,residual_max
1000-hold-crowded,4.826300275325775,3.555750012397766,11.795299530029297,23.727500915527344,1.2739633318789048,0.0006000000284984708,7.644599914550781,19.216400146484375,1.2516727780302366,1.1712999939918518,1.8594000339508057,2.16510009765625,0.7027400005194876,0.6440500020980835,0.9793999791145325,1.1907999515533447,0.2448344444649087,0.22385000437498093,0.364300012588501,0.4323999881744385,0.05826750015839934,0.048350000753998756,0.10100000351667404,0.18490000069141388,0.15700888886219924,0.14090000092983246,0.2632000148296356,0.3783999979496002,0.046894444680462284,0.04230000078678131,0.0689999982714653,0.10019999742507935,0.21349027752876282,0.18959999829530716,0.3538999855518341,0.5655999779701233,0.36262694444444443,0.0,1.4892,8.916,0.04753,0.0,0.1973,2.0074,0.5266088909573026,0.0,4.946100234985352,9.387399673461914,27611.266666666666,7712.0,83760.0,108888.0,0.4331136101501114,0.4055499698733911,,1.0888006463646889
1000-hold-sparse,5.30914832883411,4.379650115966797,11.650300025939941,18.603599548339844,1.0121222195813768,0.0007999999797903001,6.60290002822876,13.923299789428711,1.5620294458336301,1.3963499665260315,2.5548999309539795,4.811299800872803,0.7968027780453364,0.7319500148296356,1.152500033378601,1.8870999813079834,0.287012777891424,0.2592500001192093,0.43799999356269836,0.660099983215332,0.07195694437250495,0.06264999881386757,0.12870000302791595,0.22169999778270721,0.19989722236577007,0.17149999737739563,0.3677999973297119,0.7513999938964844,0.055064444554348786,0.04725000075995922,0.09650000184774399,0.14390000700950623,0.2524972220675813,0.23395000398159027,0.40149998664855957,0.9544000029563904,0.022205,0.0,0.1003,0.157,0.02112277777777778,0.0,0.0938,2.6483,0.5771905581156412,0.0,5.126500129699707,10.196399688720703,27608.0,7712.0,83552.0,108888.0,0.5058533323786428,0.47319985344074667,,1.2771000005304813
1000-moving-crowded,9.977953644593557,5.536900043487549,34.6348991394043,85.74240112304688,1.4536525020073492,0.000699999975040555,8.88479995727539,18.08690071105957,1.8845602770646412,1.8134499788284302,2.8505001068115234,4.110099792480469,0.9083805542853144,0.8723500072956085,1.3277000188827515,1.8078999519348145,0.3218333339939515,0.2857000082731247,0.5311999917030334,0.7511000037193298,0.2319819442410436,0.2219499945640564,0.4401000142097473,0.6053000092506409,0.25545444447133275,0.2378000020980835,0.4124999940395355,1.2421000003814697,0.06404833338326878,0.05505000054836273,0.11739999800920486,0.14720000326633453,0.2768530557139052,0.26600000262260437,0.4823000133037567,0.5629000067710876,0.32518722222222224,0.0,1.347,13.8474,0.05714277777777778,0.0,0.2214,2.924,0.6763155579566955,0.0,6.325399875640869,10.80270004272461,27680.777777777777,7712.0,83760.0,108888.0,0.585759216060655,0.5235505630262196,,1.7716997489333153
1000-moving-sparse,15.683770326111052,9.195850372314453,39.44710159301758,71.98590087890625,1.669909723946249,0.0007999999797903001,12.286700248718262,15.343099594116211,2.5950672232442433,2.606750011444092,3.432300090789795,4.081200122833252,1.1188608308633168,1.149749994277954,1.6729999780654907,1.9399000406265259,0.3972550002237161,0.383899986743927,0.6632999777793884,0.7813000082969666,0.3885013886520432,0.4124000072479248,0.6226999759674072,0.9484000205993652,0.372132777940068,0.3744499981403351,0.5403000116348267,0.9085999727249146,0.07915249991541108,0.07895000278949738,0.1257999986410141,0.15850000083446503,0.333234722001685,0.31155000627040863,0.5048999786376953,0.7233999967575073,0.25030694444444446,0.0,1.115,1.9925,0.03012638888888889,0.0,0.1947,0.3059,0.9694844510820176,0.0,9.8681001663208,12.79520034790039,27456.355555555554,7712.0,83760.0,108888.0,0.7324483728398465,0.7438492672517896,,3.0800997838377953
10000-hold-crowded,40.2312535709805,40.74065017700195,53.050899505615234,62.654598236083984,4.515627508030997,4.122200012207031,17.290000915527344,23.191099166870117,16.423391093148126,17.150500297546387,20.02910041809082,26.127599716186523,9.998110002941555,10.81374979019165,11.859299659729004,15.159899711608887,3.455284995834033,3.6670000553131104,4.712100028991699,6.053500175476074,1.5979811097184817,1.4382500052452087,2.5885000228881836,3.911099910736084,1.9211630501680903,1.851449966430664,2.7053000926971436,3.477099895477295,0.6741952776081033,0.7351000010967255,0.8432000279426575,1.1972999572753906,2.6115925007396275,2.736949920654297,3.3089001178741455,4.930500030517578,1.0774405555555555,0.0,5.2386,7.0659,0.2814197222222222,0.0,1.9028,2.4975,0.741330275270674,0.0,7.633500099182129,10.164999961853027,188179.33333333334,8048.0,586728.0,625792.0,3.90819855087385,4.102351032197475,,6.562500957399607
10000-hold-sparse,41.81909358236525,41.86075019836426,56.74869918823242,80.84300231933594,3.633180002412862,2.7243499755859375,12.467700004577637,18.85409927368164,18.63854585753547,18.019949913024902,27.09910011291504,43.939701080322266,9.862363602055444,9.999099731445312,12.308500289916992,21.260700225830078,4.067949718236923,3.9002000093460083,6.56820011138916,15.955499649047852,1.9629086095425818,1.6694999933242798,3.4066998958587646,6.017499923706055,2.0344941669040257,1.9517499804496765,3.1370999813079834,4.510300159454346,0.6970577768981456,0.6836000084877014,1.0391000509262085,1.3509999513626099,2.776369998521275,2.672200083732605,4.285099983215332,15.93239974975586,0.26250249999999997,0.0,1.2315,4.3685,0.10552222222222223,0.0,0.777,1.0557,0.7749322215716045,0.0,7.4421000480651855,12.272899627685547,180635.57777777777,8048.0,587040.0,624896.0,3.982394129305612,3.9636496012099087,,16.58610263466835
10000-moving-crowded-no-animator,40.95136858092414,39.893150329589844,60.83100128173828,70.05799865722656,5.643202489987016,4.045149803161621,22.752399444580078,27.301599502563477,16.316438913345337,16.319350242614746,22.756999969482422,27.524599075317383,9.682394700580174,10.542600154876709,11.71150016784668,15.355400085449219,3.606315843595399,3.9178500175476074,4.74970006942749,7.218200206756592,2.4404730543494226,1.6366499662399292,5.512899875640869,7.736199855804443,2.4626350008779103,2.1230499744415283,4.30019998550415,5.490200042724609,0.0,0.0,0.0,0.0,2.5802544391817515,2.7881500720977783,3.2047998905181885,4.822500228881836,1.4632819444444445,0.0,6.7543,7.789,0.6264530555555555,0.0,4.0576,4.915,0.9055091593000624,0.0,9.621100425720215,13.055999755859375,194113.11111111112,15952.0,590216.0,625792.0,3.819181929185935,4.009149961173534,,6.143199591897428
10000-moving-crowded-no-continuous_effect,39.99187469482422,38.51550102233887,59.152198791503906,71.13520050048828,4.065078064192817,0.0010000000474974513,23.135099411010742,28.071500778198242,17.761386410395303,17.651450157165527,22.142200469970703,30.772300720214844,9.734508335590363,10.701950073242188,11.878999710083008,14.806099891662598,3.2681061105595695,3.52839994430542,4.5671000480651855,12.523900032043457,3.0001488897535538,3.1710500717163086,4.598599910736084,6.582099914550781,2.9614880588319568,3.0566500425338745,3.9495999813079834,4.981800079345703,0.7021658335294988,0.7642999887466431,0.9271000027656555,2.0620999336242676,2.69549694524871,2.8360499143600464,3.5515999794006348,4.942800045013428,1.4803925,0.0,6.697,7.8892,0.6055638888888889,0.0,3.8379,5.3776,0.9510450058513218,0.0,9.67490005493164,14.785799980163574,11615.533333333333,7712.0,32320.0,47128.0,3.8301999661761026,4.077000567223877,,5.66159950196743
10000-moving-crowded-no-hud,34.908059204949275,30.17259979248047,60.65999984741211,68.2677001953125,6.11288332314127,2.4884999990463257,25.100200653076172,30.798099517822266,20.35544281800588,18.370750427246094,28.443099975585938,33.21879959106445,0.004801111136071591,0.004699999932199717,0.00559999980032444,0.012000000104308128,4.196210554573271,4.159950017929077,4.672599792480469,7.377999782562256,2.420376110076904,1.5540500283241272,5.431000232696533,8.02810001373291,3.1261549962891473,1.7933499813079834,8.692899703979492,11.486599922180176,0.7721602773500813,0.760450005531311,0.8650000095367432,1.2279000282287598,2.872148891952303,2.8700000047683716,3.1370999813079834,4.6072001457214355,1.5940147222222223,0.0,6.98,8.4064,0.7002411111111111,0.0,4.3558,7.3017,1.0101602660285103,0.0,9.940999984741211,14.741299629211426,172280.97777777776,15952.0,539952.0,573032.0,4.5604609225035855,4.557200706098229,,5.837700337171555
10000-moving-crowded-no-massnav,39.45655477311876,40.00734901428223,48.21870040893555,69.05840301513672,2.2989033307052322,1.6981500387191772,5.3206000328063965,7.101600170135498,16.85793082714081,17.415900230407715,20.598899841308594,42.769798278808594,10.466367762618594,11.204699993133545,12.084099769592285,14.938899993896484,3.631828063395288,3.714600086212158,5.068900108337402,7.534900188446045,1.5218586087226869,1.4000500440597534,2.515199899673462,4.214099884033203,1.9327961103783713,1.8485000133514404,2.7283999919891357,3.4289000034332275,0.7008174994753467,0.7320500016212463,0.8950999975204468,1.4040000438690186,2.773946668042077,2.881749987602234,3.4667000770568848,4.931600093841553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183538.04444444444,8048.0,590040.0,624896.0,4.18695647074039,4.249599076807499,,5.768798892386258
10000-moving-crowded-no-minimap,54.796798637178206,40.10420036315918,152.98330688476562,216.56129455566406,6.968731685852011,4.315999984741211,23.78849983215332,83.72200012207031,21.3967217180464,15.829449653625488,59.80379867553711,87.81759643554688,13.8176130745146,10.982549667358398,41.518798828125,57.01559829711914,5.219194158911705,4.000400066375732,15.975799560546875,24.925600051879883,3.2736300004853143,1.9851499795913696,7.961400032043457,20.529699325561523,3.2853783395555283,2.22379994392395,8.715100288391113,16.69499969482422,0.9798633347782824,0.7702999711036682,2.7918999195098877,4.296999931335449,0.0010411111114080995,0.0007999999797903001,0.002400000113993883,0.004000000189989805,1.8050683333333333,0.0,7.4832,34.3706,0.7717411111111111,0.0,4.3361,14.9873,1.0423211071226333,0.0,9.200599670410156,36.056400299072266,185440.86666666667,15952.0,591496.0,634576.0,5.6139235478356975,4.197599582374096,,24.05179326655343
10000-moving-crowded-no-terrain_hud_occlusion,39.116115215089586,36.686649322509766,61.31959915161133,81.48580169677734,5.760158910892076,3.1872000694274902,20.880199432373047,27.93560028076172,20.36503722137875,19.11205005645752,28.67460060119629,51.99380111694336,1.2184680586059888,1.2096499800682068,1.5952999591827393,3.191200017929077,4.317249147759544,4.206599950790405,6.428999900817871,13.276399612426758,2.7490958347916603,1.9271999597549438,5.8734002113342285,11.596400260925293,2.513506388001972,2.153149962425232,4.597400188446045,5.863500118255615,0.7559936125245359,0.7742500007152557,1.0088000297546387,1.9386999607086182,2.877693611383438,2.8272500038146973,4.21150016784668,20.85700035095215,1.4562777777777778,0.0,6.6201,22.5837,0.6070752777777778,0.0,4.0025,5.55,0.7987827844089932,0.0,8.499500274658203,11.01930046081543,184151.97777777776,15952.0,590216.0,623944.0,4.091116039585581,4.151450626552105,,9.312003448605537
10000-moving-crowded-repeat,107.25736372205947,106.7010498046875,150.29530334472656,194.74440002441406,9.323811948051056,4.626399993896484,36.050899505615234,95.11009979248047,36.753579468197294,34.658498764038086,60.09239959716797,97.69029998779297,17.419429731369018,15.231549739837646,27.45549964904785,62.20439910888672,6.480142768224081,5.657600164413452,10.822600364685059,23.654699325561523,4.927214178442955,3.482300043106079,12.275300025939941,24.02829933166504,5.014200564887789,4.46370005607605,9.667400360107422,16.960800170898438,1.2952158315314186,1.1431500315666199,2.200700044631958,5.61329984664917,6.231440275245243,6.080749988555908,10.016400337219238,19.301700592041016,2.645978888888889,0.0,16.7286,35.131,1.1547830555555556,0.0,7.0062,21.0247,1.10003805425432,0.0,11.273300170898438,46.99480056762695,153833.6,15952.0,584888.0,631992.0,8.939866348143873,8.056200478225946,,24.18839943408966
10000-moving-crowded-skip-initial-sample-tick,123.64617846806844,117.87295150756836,182.2100067138672,291.6105041503906,11.802069956643713,6.744000196456909,50.13529968261719,76.13050079345703,53.60478304227193,47.45694923400879,95.2511978149414,162.7440948486328,26.388283930884466,23.751999855041504,46.660701751708984,77.82599639892578,10.28667498562071,8.225600242614746,22.62190055847168,51.86980056762695,7.000899697343509,5.228099822998047,17.306800842285156,38.57600021362305,6.9098049971792435,5.822999954223633,13.65719985961914,21.260400772094727,1.9360430565145281,1.4420999884605408,4.1230998039245605,12.535499572753906,9.602231410476897,8.122349739074707,17.341100692749023,38.44820022583008,3.0869991666666667,0.0,21.9271,31.7497,1.5303513888888889,0.0,13.7072,26.308,1.1965549998813205,0.0,12.033300399780273,32.300498962402344,149479.7111111111,15952.0,582144.0,631992.0,12.834071220170395,11.759248672053218,,56.382507264614105
10000-moving-crowded,56.306377485063344,53.481651306152344,90.33830261230469,198.34649658203125,6.400992216914892,4.142549991607666,23.593399047851562,136.9611053466797,26.818061097462973,25.30894947052002,43.287498474121094,124.39739990234375,11.300156650278304,11.110799789428711,16.7283992767334,46.066200256347656,5.845546391606331,5.559099912643433,10.520500183105469,28.05970001220703,3.9925383273098203,3.1518499851226807,8.88539981842041,35.33679962158203,3.2389938880999884,3.083449959754944,6.007400035858154,7.507599830627441,0.8379441659483645,0.7870499789714813,1.191100001335144,9.141900062561035,3.540093609690666,3.109649896621704,5.712299823760986,17.82229995727539,1.3535697222222223,0.0,6.5759,22.2776,0.9164844444444444,0.0,4.2537,127.1989,0.8358636127577888,0.0,8.933699607849121,17.118200302124023,170509.73333333334,15952.0,585600.0,624896.0,4.456772139162704,4.27519799163565,,23.558004522696137
10000-moving-sparse,40.584256956312394,40.00550079345703,59.272098541259766,70.00569915771484,4.947396098491218,4.150449991226196,18.762399673461914,25.46179962158203,18.03439138200548,17.337300300598145,25.260900497436523,43.304298400878906,8.917609708838993,8.689949989318848,11.68970012664795,15.96969985961914,3.6066816730631723,3.409150004386902,5.525100231170654,20.194599151611328,2.6670258387923242,1.9186999797821045,6.001299858093262,9.902199745178223,2.3557408299711016,1.9766499996185303,4.304500102996826,6.421999931335449,0.6617180549436146,0.6401000022888184,0.9581000208854675,1.2870999574661255,2.4571622242530187,2.3483999967575073,3.517899990081787,4.9934000968933105,0.9808752777777778,0.0,4.7426,6.5265,0.41398277777777776,0.0,2.6273,3.6003,0.7973541643884446,0.0,7.643499851226807,11.793600082397461,187607.44444444444,12152.0,588936.0,651056.0,3.481981132989232,3.3450503202620894,,6.03550062328577
5000-hold-crowded,36.938809400134616,38.48430061340332,49.347198486328125,82.25070190429688,3.3071497283450704,2.6058000326156616,15.125,22.41069984436035,9.521503063042958,9.241300106048584,11.321399688720703,14.974599838256836,5.852144172456529,5.683850049972534,7.059899806976318,9.664299964904785,2.0928416649500527,2.0018500089645386,2.8831000328063965,4.2241997718811035,0.7099005553457473,0.6513999998569489,0.9818000197410583,1.5443999767303467,1.0113516660200226,0.9704500138759613,1.3210999965667725,1.8846999406814575,0.4176858328282833,0.39464999735355377,0.5885999798774719,0.6765000224113464,1.499908329380883,1.4193000197410583,2.1414999961853027,2.8055999279022217,0.6890877777777777,0.0,2.7715,5.3383,0.1728213888888889,0.0,1.0388,1.5271,1.0463027715682984,0.0,9.988499641418457,17.2731990814209,99158.51111111112,8048.0,328816.0,385728.0,2.537732373452228,2.4947508722543716,,3.7813981249928474
5000-hold-sparse,27.285728520817226,23.815600395202637,48.0015983581543,92.56670379638672,2.3984263860046564,1.9120000004768372,10.974800109863281,15.620100021362305,8.982628883255853,8.910099983215332,11.672800064086914,14.036700248718262,5.407200555668937,5.557400226593018,6.382999897003174,8.68910026550293,2.022539727555381,2.0088499784469604,2.9340999126434326,3.5488998889923096,0.6611938898762068,0.61039999127388,1.01419997215271,1.6957000494003296,0.9512808309661017,0.8671000003814697,1.3457000255584717,2.3557000160217285,0.38102333375977143,0.3846000134944916,0.5490999817848206,0.7414000034332275,1.3780369410912197,1.3824500441551208,1.909999966621399,2.5441999435424805,0.1355538888888889,0.0,0.5694,1.2165,0.06196111111111111,0.0,0.3726,0.5677,0.883656108379364,0.0,8.728799819946289,13.076800346374512,99059.0,8048.0,327608.0,385728.0,2.4786577039230098,2.5468994812108576,,3.6244997382164
5000-moving-crowded,37.506553920110065,36.92435073852539,51.194000244140625,83.74449920654297,3.0210644401921956,2.6389501094818115,13.187999725341797,18.83930015563965,11.77169001367357,11.621350288391113,14.700900077819824,18.475000381469727,6.017970837487114,5.798550128936768,7.54610013961792,11.973099708557129,2.205197502838241,2.0778000354766846,3.2618000507354736,4.105199813842773,1.9741519418027667,2.034250020980835,2.9790000915527344,4.437300205230713,1.7112322221199672,1.7124500274658203,2.4326000213623047,3.287100076675415,0.4141869444813993,0.3914500027894974,0.6028000116348267,0.9926999807357788,1.51844805015458,1.4146000146865845,2.2279000282287598,2.6867001056671143,0.3688063888888889,0.0,1.6188,3.0808,0.16947916666666665,0.0,1.0963,1.3992,0.9571244425243801,0.0,9.117300033569336,14.25329875946045,100294.42222222222,10368.0,328096.0,385728.0,2.537563361136967,2.438750844448805,,15.255098104476929
5000-moving-sparse,30.837404494815402,27.93459987640381,48.679298400878906,83.73410034179688,3.111391385555261,2.538249969482422,14.572600364685059,19.827800750732422,12.085411114162868,12.086250305175781,14.281700134277344,25.574600219726562,5.836688889397515,5.647799968719482,6.8480000495910645,8.913000106811523,2.152648886707094,2.06974995136261,2.7715001106262207,5.463699817657471,2.2708055560787517,2.4619500637054443,3.217900037765503,4.9475998878479,1.8708288888136546,1.93149995803833,2.4790000915527344,3.3543999195098877,0.4110233330892192,0.39104999601840973,0.5627999901771545,0.8959000110626221,1.5165247241655986,1.4347500205039978,2.220599889755249,2.7606000900268555,0.40414055555555556,0.0,1.7929,3.6998,0.17471333333333333,0.0,1.0852,1.5426,1.0255947219000923,0.0,10.11520004272461,15.110400199890137,99344.33333333333,8648.0,327608.0,385728.0,2.382683632049399,2.359349712729454,,3.387299969792366
