frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents,gpu_main_ms,gpu_shadow_ms
1,1000.1002197265625,0.34119999408721924,137.06129455566406,10.704299926757812,2.0058999061584473,3.7416000366210938,0.852400004863739,0.009499999694526196,0,5,0,0,0,0,0,8.21780014038086,9.707200050354004,7.687900066375732,0,0,0,0,0,0,0,0,0,0,164469920,6,6,433.2893981933594,8.568099975585938,15.757200241088867,235.42660522460938,4.179900169372559,0.849399983882904,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2,11.662400245666504,0.016200000420212746,4.690400123596191,0.016899999231100082,0.033399999141693115,0.008700000122189522,0.02410000003874302,0.0010000000474974513,0,5,0,0,0,0,0,0.186599999666214,0.07400000095367432,3.4821999073028564,0,0,0,0,0,0,0,0,0,0,12400,0,0,8.40880012512207,1.632699966430664,0.10899999737739563,0.8555999994277954,1.5643999576568604,0.1096000000834465,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
3,158.8061065673828,131.92739868164062,7.485799789428711,0.02630000002682209,0.032600000500679016,2.934499979019165,0.01769999973475933,0.00570000009611249,0,5,0,5,0,0,0,0.1412999927997589,0.08410000056028366,3.4972000122070312,0,0,0,0,0,0,0,0,0,0,3577160,0,0,139.5854949951172,0.07890000194311142,15.374600410461426,0.4490000009536743,0.020500000566244125,0.12489999830722809,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
4,12.130800247192383,9.771499633789062,1.069700002670288,0.013199999928474426,0.02850000001490116,0.010599999688565731,0.01549999974668026,0.0008999999845400453,0,5,0,5,0,0,0,0.1615999937057495,0.08510000258684158,0.4693000018596649,0,0,0,0,0,0,0,0,0,0,9168,0,0,11.037699699401855,0.07400000095367432,0.2298000007867813,0.42260000109672546,0.0210999995470047,0.11100000143051147,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
5,1701.662841796875,1338.9979248046875,360.4729919433594,231.08859252929688,7.978300094604492,28.49970054626465,0.015399999916553497,4.186600208282471,5000,5009,0,5,0,0,0,1.3198000192642212,2.6649999618530273,5.821000099182129,0,0,0,0,0,0,0,0,0,0,796603144,42,11,1699.66162109375,0.22859999537467957,0.17910000681877136,1.1615999937057495,0.1688999980688095,0.14579999446868896,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6,244.04150390625,93.70179748535156,119.44709777832031,19.94029998779297,12.570899963378906,23.766199111938477,0.016200000420212746,4.901299953460693,5000,5009,0,5006,0,0,5000,1.250499963760376,3.1844000816345215,36.2681999206543,0,0,0,0,0,0,0,0,0,0,91395232,4,1,213.44259643554688,0.08340000361204147,24.003700256347656,0.4169999957084656,0.020899999886751175,0.11760000139474869,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
7,74.9072036743164,11.341300010681152,47.650901794433594,24.609500885009766,1.1720999479293823,3.06469988822937,0.015599999576807022,0.9495999813079834,5000,5009,0,5006,0,0,5000,1.0572999715805054,3.704400062561035,8.136099815368652,0,0,0,0,0,0,0,0,0,0,326464,0,0,59.24480056762695,0.09300000220537186,7.331099987030029,0.4675999879837036,0.0284000001847744,0.13860000669956207,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
8,88.095703125,24.833599090576172,39.80820083618164,20.81369972229004,1.1052000522613525,2.824199914932251,0.013500000350177288,0.9214000105857849,5000,5009,0,5006,0,0,5000,0.9972000122070312,3.317500114440918,4.954999923706055,5000,5.6872000000007725,1.6481,1,1.4846,0.24409999999999998,212992,15,15,1.5968,6409472,0,0,64.83689880371094,0.07639999687671661,8.980199813842773,0.5625,0.021900000050663948,0.16339999437332153,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16252,21.14828
9,110.83219909667969,34.350399017333984,65.8749008178711,36.54859924316406,2.612799882888794,3.1510000228881836,0.013700000010430813,1.5455000400543213,5000,5009,0,5006,0,0,5000,1.1196000576019287,3.0940001010894775,9.31779956817627,5000,2.28630000000003,0.5076,1,2.8903000000000003,0.0462,212992,15,15,0.6481,157440,0,0,100.49539947509766,0.07919999957084656,2.0566000938415527,0.5167999863624573,0.02199999988079071,0.41350001096725464,0,0,0,0,0,0,0,0,0,0,0,0,0,29.12324,19.90944
10,85.83609771728516,13.358099937438965,62.231998443603516,32.535400390625,1.7750999927520752,4.441699981689453,0.019500000402331352,2.52810001373291,5000,5009,0,5006,0,0,5000,1.4977999925613403,5.267899990081787,7.297100067138672,5000,3.704600000000257,0.6409,1,0.13949999999999999,0.036500000000000005,212992,15,15,0.9011,7936,0,0,75.81529998779297,0.10930000245571136,2.36080002784729,0.6262000203132629,0.03229999914765358,0.15369999408721924,0,0,0,0,0,0,0,0,0,0,0,0,0,29.34208,20.371
11,121.6552963256836,59.99039840698242,54.066898345947266,28.30340003967285,1.8343000411987305,3.9119999408721924,0.01590000092983246,1.1261999607086182,5000,5009,0,5006,0,0,5000,1.2091000080108643,3.3239998817443848,7.5904998779296875,5000,2.330500000000011,0.4663,1,0.12249999999999998,0.0374,212992,15,15,0.7587,26239544,0,0,114.31379699707031,0.09849999845027924,1.9306999444961548,0.49549999833106995,0.02539999969303608,0.13289999961853027,0,0,0,0,0,0,0,0,0,0,0,0,0,29.15636,21.53434
12,106.54930114746094,27.13290023803711,71.70249938964844,42.85459899902344,2.634000062942505,4.134699821472168,0.014600000344216824,1.5573999881744385,5000,5009,0,5006,0,0,5000,1.2446000576019287,4.113500118255615,7.727200031280518,5000,2.2895000000000074,0.5704,1,0.1175,0.035500000000000004,212992,15,15,0.7912,14238856,0,0,99.04090118408203,0.0989999994635582,2.038300037384033,0.5907999873161316,0.03440000116825104,0.17669999599456787,0,0,0,0,0,0,0,0,0,0,0,0,0,29.29476,21.78951
