frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents,gpu_main_ms,gpu_shadow_ms
1,730.986572265625,0.39969998598098755,117.53340148925781,7.508999824523926,1.2282999753952026,2.386199951171875,0.6366000175476074,0.011599999852478504,0,5,0,0,0,0,0,6.438600063323975,9.093199729919434,9.15429973602295,0,0,0,0,0,0,0,0,0,0,164468272,6,6,437.55560302734375,6.704899787902832,13.870499610900879,46.87009811401367,3.0831000804901123,0.43700000643730164,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2,7.273099899291992,0.00930000003427267,2.8868000507354736,0.012900000438094139,0.019099999219179153,0.007300000172108412,0.013299999758601189,0.0008999999845400453,0,5,0,0,0,0,0,0.11079999804496765,0.04780000075697899,2.090100049972534,0,0,0,0,0,0,0,0,0,0,12400,0,0,5.1392998695373535,1.003000020980835,0.06239999830722809,0.6270999908447266,0.9617999792098999,0.09520000219345093,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
3,115.42259979248047,90.8198013305664,7.447000026702881,0.02969999983906746,0.03350000083446503,2.824899911880493,0.010400000028312206,0.005100000184029341,0,5,0,5,0,0,0,0.186599999666214,0.08380000293254852,3.4474000930786133,0,0,0,0,0,0,0,0,0,0,3577160,0,0,98.3947982788086,0.05820000171661377,14.055800437927246,0.42669999599456787,0.017100000753998756,0.13259999454021454,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
4,5.52839994430542,3.2681000232696533,0.84579998254776,0.011800000444054604,0.0203000009059906,0.004999999888241291,0.010200000368058681,0.0010000000474974513,0,5,0,5,0,0,0,0.1436000019311905,0.05249999836087227,0.3529999852180481,0,0,0,0,0,0,0,0,0,0,8480,0,0,4.320799827575684,0.0502999983727932,0.19660000503063202,0.5278000235557556,0.01510000042617321,0.18039999902248383,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
5,10.080900192260742,7.827000141143799,0.8087000250816345,0.013799999840557575,0.01979999989271164,0.018799999728798866,0.01730000041425228,0.001500000013038516,0,5,0,5,0,0,0,0.13570000231266022,0.1120000034570694,0.13819999992847443,0,0,0,0,0,0,0,0,0,0,8280,0,0,8.810199737548828,0.07519999891519547,0.1462000012397766,0.46799999475479126,0.01600000075995922,0.2867000102996826,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6,3837.105712890625,2912.66650390625,922.1906127929688,655.69189453125,23.210500717163086,37.64630126953125,0.02669999934732914,10.970100402832031,10000,10009,0,5,0,0,0,5.117400169372559,4.497000217437744,22.14620018005371,0,0,0,0,0,0,0,0,0,0,2544619256,87,20,3835.0322265625,0.3601999878883362,0.1720000058412552,1.1116000413894653,0.26019999384880066,0.15569999814033508,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
7,272.6523132324219,131.35159301757812,84.956298828125,17.708099365234375,0.9699000120162964,22.342100143432617,0.020999999716877937,2.4310998916625977,10000,10009,0,10006,0,0,10000,2.4479000568389893,4.632999897003174,27.700599670410156,0,0,0,0,0,0,0,0,0,0,280415344,14,2,216.60459899902344,0.11060000211000443,38.80540084838867,0.5526999831199646,0.02449999935925007,0.15410000085830688,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
8,59.2588005065918,4.069799900054932,49.67020034790039,16.54490089416504,1.371000051498413,6.143599987030029,0.030400000512599945,2.1377999782562256,10000,10009,0,10006,0,0,10000,2.378499984741211,5.814599990844727,6.90339994430542,0,0,0,0,0,0,0,0,0,0,348544,0,0,54.077999114990234,0.14329999685287476,2.678800106048584,0.5256999731063843,0.04780000075697899,0.16830000281333923,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
9,93.69499969482422,26.53689956665039,41.17319869995117,13.852299690246582,1.2451000213623047,4.753399848937988,0.01899999938905239,1.5336999893188477,10000,10009,0,10006,0,0,10000,1.996500015258789,4.011600017547607,7.343400001525879,10000,5.210500000001331,2.105,1,3.2148,0.29300000000000004,376832,15,15,2.0186,8102248,0,0,67.99079895019531,0.10559999942779541,9.827500343322754,0.4697999954223633,0.020899999886751175,0.12549999356269836,0,0,0,0,0,0,0,0,0,0,0,0,0,58.09216,44.52884
10,66.64299774169922,16.855100631713867,39.93920135498047,13.1358003616333,1.5121999979019165,5.469399929046631,0.023900000378489494,1.7542999982833862,10000,10009,0,10006,0,0,10000,1.7645000219345093,4.120800018310547,6.3734002113342285,10000,2.26960000000012,0.833,1,0.09249999999999999,0.038400000000000004,376832,15,15,0.818,176096,0,0,57.039798736572266,0.12330000102519989,2.605299949645996,0.5318999886512756,0.027799999341368675,0.4560000002384186,0,0,0,0,0,0,0,0,0,0,0,0,0,33.06948,37.28428
