frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents,gpu_main_ms,gpu_shadow_ms
1,688.5991821289062,0.4523000121116638,150.85260009765625,10.934399604797363,2.197700023651123,3.2211999893188477,0.7307000160217285,0.034299999475479126,0,5,0,0,0,0,0,9.596699714660645,10.476499557495117,12.973199844360352,0,0,0,0,0,0,0,0,0,0,164472480,6,6,448.9961853027344,7.577400207519531,175.01809692382812,41.94029998779297,3.4126999378204346,0.5472000241279602,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2,8.487899780273438,0.008999999612569809,3.046299934387207,0.011500000022351742,0.01860000006854534,0.020099999383091927,0.017999999225139618,0.0007999999797903001,0,5,0,0,0,0,0,0.1525000035762787,0.09309999644756317,2.053499937057495,0,0,0,0,0,0,0,0,0,0,12432,0,0,5.179500102996826,1.8522000312805176,0.15469999611377716,0.8585000038146973,1.7871999740600586,0.13670000433921814,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
3,103.42109680175781,84.46810150146484,5.512599945068359,0.024299999698996544,0.028599999845027924,1.6232999563217163,0.009399999864399433,0.005100000184029341,0,5,0,5,0,0,0,0.09910000115633011,0.0560000017285347,3.0552000999450684,0,0,0,0,0,0,0,0,0,0,3575768,0,0,90.14440155029297,0.05469999834895134,12.539600372314453,0.3937999904155731,0.01590000092983246,0.11640000343322754,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
4,7.6280999183654785,5.792300224304199,0.6905999779701233,0.008799999952316284,0.014100000262260437,0.006500000134110451,0.010099999606609344,0.000699999975040555,0,5,0,5,0,0,0,0.12150000035762787,0.054499998688697815,0.25999999046325684,0,0,0,0,0,0,0,0,0,0,9200,0,0,6.661900043487549,0.053199999034404755,0.2513999938964844,0.3878999948501587,0.01510000042617321,0.10920000076293945,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
5,2733.68115234375,1916.7333984375,815.142822265625,574.4429931640625,18.203800201416016,30.638599395751953,0.01489999983459711,6.729899883270264,10000,10009,0,5,0,0,0,1.837499976158142,3.5799999237060547,18.750699996948242,0,0,0,0,0,0,0,0,0,0,2545196896,87,20,2732.021484375,0.19670000672340393,0.1898999959230423,0.9921000003814697,0.14499999582767487,0.13079999387264252,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6,187.2790069580078,98.81420135498047,78.16719818115234,21.224700927734375,1.007099986076355,19.71500015258789,0.0142000000923872,1.3460999727249146,10000,10009,0,10006,0,0,10000,1.2762000560760498,3.5,24.623600006103516,0,0,0,0,0,0,0,0,0,0,280398248,14,2,177.22219848632812,0.08169999718666077,9.291199684143066,0.3865000009536743,0.020600000396370888,0.11180000007152557,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
7,66.32360076904297,4.264200210571289,39.242698669433594,17.9148006439209,0.9422000050544739,3.4769999980926514,0.015699999406933784,1.193600058555603,10000,10009,0,10006,0,0,10000,1.2662999629974365,3.4960999488830566,5.946700096130371,0,0,0,0,0,0,0,0,0,0,365816,0,0,43.775901794433594,0.07289999723434448,1.7462999820709229,0.4975000023841858,0.01769999973475933,0.12729999423027039,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
8,56.025901794433594,13.692999839782715,40.387901306152344,19.180599212646484,0.9210000038146973,3.4881999492645264,0.01510000042617321,1.1059000492095947,10000,10009,0,10006,0,0,10000,1.2969000339508057,3.7553000450134277,5.688300132751465,0,0,0,0,0,0,0,0,0,0,277016,0,0,54.28239822387695,0.08810000121593475,0.9527000188827515,0.399399995803833,0.019600000232458115,0.12099999934434891,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
9,68.77580261230469,12.466899871826172,38.490299224853516,17.374500274658203,0.9293000102043152,3.3868000507354736,0.011500000022351742,1.4696999788284302,10000,10009,0,10006,0,0,10000,1.2411999702453613,3.676100015640259,5.41510009765625,10000,3.976000000001729,1.6911,1,3.3064,0.2407,376832,15,0,0,8001304,0,0,51.11949920654297,0.07199999690055847,16.901100158691406,0.3799999952316284,0.01720000058412552,0.12919999659061432,0,0,0,0,0,0,0,0,0,0,0,0,0,58.60008,NaN
10,50.03950119018555,6.201099872589111,38.926300048828125,17.141000747680664,0.8431000113487244,3.266400098800659,0.016599999740719795,1.907099962234497,10000,10009,0,10006,0,0,10000,1.111199975013733,3.7191998958587646,6.374499797821045,10000,1.9300999999998785,0.5707,1,0.076,0.031,376832,15,0,0,8160,0,0,45.32210159301758,0.09449999779462814,3.906899929046631,0.4196000099182129,0.022299999371170998,0.10189999639987946,0,0,0,0,0,0,0,0,0,0,0,0,0,45.54724,NaN
