frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents,gpu_main_ms,gpu_shadow_ms
1,518.5557250976562,0.25609999895095825,92.0719985961914,6.57919979095459,1.468500018119812,2.436199903488159,0.6550999879837036,0.006399999838322401,0,5,0,0,0,0,0,5.709799766540527,6.715400218963623,5.7494001388549805,0,0,0,0,0,0,0,0,0,0,164465568,6,6,307.6919860839844,6.591700077056885,9.631699562072754,35.429901123046875,3.18969988822937,0.45820000767707825,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2,7.2241997718811035,0.007600000128149986,2.787400007247925,0.011800000444054604,0.018200000748038292,0.00989999994635582,0.017000000923871994,0.000699999975040555,0,5,0,0,0,0,0,0.13420000672340393,0.05900000035762787,1.9455000162124634,0,0,0,0,0,0,0,0,0,0,12400,0,0,4.787899971008301,1.129699945449829,0.05979999899864197,0.8478999733924866,1.0786999464035034,0.0908999964594841,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
3,96.50759887695312,75.80699920654297,5.263199806213379,0.025800000876188278,0.025800000876188278,2.0499000549316406,0.00860000029206276,0.0038999998942017555,0,5,0,5,0,0,0,0.11110000312328339,0.05719999969005585,2.3645999431610107,0,0,0,0,0,0,0,0,0,0,3575776,0,0,81.21109771728516,0.04989999905228615,12.512900352478027,0.36550000309944153,0.014399999752640724,0.12540000677108765,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
4,8.319499969482422,5.80620002746582,0.7041000127792358,0.00930000003427267,0.013899999670684338,0.007600000128149986,0.011800000444054604,0.0006000000284984708,0,5,0,5,0,0,0,0.10610000044107437,0.06700000166893005,0.2565000057220459,0,0,0,0,0,0,0,0,0,0,9168,0,0,6.679500102996826,0.0575999990105629,0.680899977684021,0.3361999988555908,0.017000000923871994,0.09719999879598618,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
5,2428.4189453125,1690.328857421875,736.1160888671875,533.5479125976562,16.579500198364258,34.666900634765625,0.012500000186264515,6.7444000244140625,10000,10009,0,5,0,0,0,1.845900058746338,5.738999843597412,13.608099937438965,0,0,0,0,0,0,0,0,0,0,2545145560,87,20,2426.577880859375,0.2596000134944916,0.14499999582767487,1.0469000339508057,0.193900004029274,0.14380000531673431,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6,233.59390258789062,110.90339660644531,90.38770294189453,26.75629997253418,1.1650999784469604,20.86090087890625,0.013000000268220901,1.4773000478744507,10000,10009,0,10006,0,0,10000,1.385200023651123,4.417500019073486,27.877500534057617,0,0,0,0,0,0,0,0,0,0,280415344,14,2,201.53900146484375,0.07400000095367432,22.13409996032715,0.3675999939441681,0.02019999921321869,0.11779999732971191,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
7,58.533199310302734,7.234099864959717,48.652198791503906,26.720500946044922,0.9739999771118164,3.2302000522613525,0.017000000923871994,1.085800051689148,10000,10009,0,10006,0,0,10000,1.4156999588012695,4.245800018310547,5.4720001220703125,0,0,0,0,0,0,0,0,0,0,348544,0,0,56.10309982299805,0.07599999755620956,0.8123999834060669,0.36579999327659607,0.017100000753998756,0.1120000034570694,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
8,80.38400268554688,16.211200714111328,46.09560012817383,23.276100158691406,0.9422000050544739,2.9892001152038574,0.012299999594688416,1.0429999828338623,10000,10009,0,10006,0,0,10000,1.3739999532699585,4.193299770355225,6.321700096130371,10000,3.9384000000016974,1.1584,1,2.1491,0.24919999999999998,376832,15,15,1.4639,8102248,0,0,62.47370147705078,0.06599999964237213,6.14139986038208,0.4025999903678894,0.01600000075995922,0.11869999766349792,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
9,69.068603515625,13.57960033416748,48.77330017089844,24.583599090576172,1.0944000482559204,3.3083999156951904,0.010599999688565731,2.052500009536743,10000,10009,0,10006,0,0,10000,1.2700999975204468,4.127900123596191,5.807300090789795,10000,1.7979999999998832,0.5798,1,0.0767,0.027999999999999997,376832,15,15,0.6519,176096,0,0,62.53049850463867,0.065700002014637,1.9891999959945679,0.4749999940395355,0.016899999231100082,0.13289999961853027,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
10,60.47489929199219,6.7789998054504395,47.46649932861328,25.08169937133789,1.1682000160217285,3.2230000495910645,0.009999999776482582,1.6969000101089478,10000,10009,0,10006,0,0,10000,1.3127000331878662,4.109000205993652,5.679999828338623,10000,1.7025999999998949,0.5152,1,0.0779,0.0354,376832,15,15,0.6225,8128,0,0,54.42559814453125,0.06400000303983688,1.8246999979019165,0.3912999927997589,0.019600000232458115,0.11900000274181366,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
