frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents,gpu_main_ms,gpu_shadow_ms
1,975.3856811523438,0.46790000796318054,184.60369873046875,12.350799560546875,2.3096001148223877,3.710599899291992,1.0973000526428223,0.018200000748038292,0,5,0,0,0,0,0,10.643799781799316,12.092000007629395,10.489800453186035,0,0,0,0,0,0,0,0,0,0,164480416,6,6,517.7808837890625,10.660499572753906,19.552900314331055,108.85130310058594,5.08650016784668,0.7289000153541565,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2,13.290399551391602,0.016499999910593033,5.382599830627441,0.017100000753998756,0.06689999997615814,0.023099999874830246,0.02449999935925007,0.0008999999845400453,0,5,0,0,0,0,0,0.2150000035762787,0.13819999992847443,3.848599910736084,0,0,0,0,0,0,0,0,0,0,12400,0,0,9.602800369262695,1.8866000175476074,0.10419999808073044,0.9613999724388123,1.806399941444397,0.19820000231266022,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
3,185.18389892578125,150.02520751953125,8.772299766540527,0.037700001150369644,0.04879999905824661,2.8148999214172363,0.019300000742077827,0.007199999876320362,0,5,0,5,0,0,0,0.1550000011920929,0.09679999947547913,4.663599967956543,0,0,0,0,0,0,0,0,0,0,3593568,0,0,159.031005859375,0.08489999920129776,20.853500366210938,0.550000011920929,0.023499999195337296,0.13979999721050262,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
4,6.594299793243408,3.6819000244140625,1.2616000175476074,0.019300000742077827,0.03909999877214432,0.013899999670684338,0.02019999921321869,0.0010000000474974513,0,5,0,5,0,0,0,0.15399999916553497,0.1103999987244606,0.5239999890327454,0,0,0,0,0,0,0,0,0,0,8480,0,0,5.198999881744385,0.09239999949932098,0.3183000087738037,0.5210999846458435,0.02410000003874302,0.1265999972820282,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
5,12.345499992370605,9.891599655151367,0.9050999879837036,0.018799999728798866,0.029100000858306885,0.01360000018030405,0.020600000396370888,0.0010999999940395355,0,5,0,5,0,0,0,0.15960000455379486,0.13009999692440033,0.17800000309944153,0,0,0,0,0,0,0,0,0,0,8280,0,0,11.046500205993652,0.09120000153779984,0.1687999963760376,0.5512999892234802,0.02459999918937683,0.14630000293254852,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6,657.2271118164062,523.69091796875,130.82769775390625,68.08000183105469,4.184999942779541,11.367600440979004,0.025200000032782555,4.352099895477295,1000,1009,0,5,0,0,0,0.8669999837875366,1.242300033569336,1.4383000135421753,0,0,0,0,0,0,0,0,0,0,116115744,5,4,654.790771484375,0.337799996137619,0.18860000371932983,1.3866000175476074,0.24130000174045563,0.1606999933719635,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
7,102.94840240478516,40.77410125732422,24.656400680541992,4.6290998458862305,0.9368000030517578,7.815800189971924,0.01489999983459711,0.6862999796867371,1000,1009,0,1006,0,0,1000,0.45179998874664307,0.8855000138282776,6.511899948120117,0,0,0,0,0,0,0,0,0,0,11562304,0,0,65.70390319824219,0.08529999852180481,31.149999618530273,0.48260000348091125,0.025100000202655792,1.0080000162124634,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
8,80.47689819335938,66.40370178222656,12.036100387573242,4.145400047302246,1.0399999618530273,0.7257000207901001,0.02070000022649765,0.20630000531673431,1000,1009,0,1006,0,0,1000,0.41780000925064087,1.4287999868392944,2.1064999103546143,0,0,0,0,0,0,0,0,0,0,18215032,1,0,78.73619842529297,0.1080000028014183,0.359499990940094,0.4902999997138977,0.02710000053048134,0.16990000009536743,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
9,21.637300491333008,3.8087000846862793,15.894399642944336,4.209499835968018,0.9571999907493591,0.7099999785423279,0.019700000062584877,0.21400000154972076,1000,1009,0,1006,0,0,1000,0.42100000381469727,0.9986000061035156,2.287100076675415,0,0,0,0,0,0,0,0,0,0,12384,0,0,19.96940040588379,0.10010000318288803,0.3179999887943268,0.5709999799728394,0.02410000003874302,0.16449999809265137,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
10,245.66900634765625,114.98870086669922,33.20389938354492,8.982799530029297,1.0109000205993652,13.557999610900879,10.333000183105469,0.26820001006126404,1000,1009,2000,1006,2000,2000,1000,0.37369999289512634,2.9809999465942383,2.088900089263916,1000,6.162599999999902,1.3641,1,1.3025,0.2336,81920,15,15,1.1154,47899400,2,1,148.43359375,18.889799118041992,8.57960033416748,57.07889938354492,7.836599826812744,0.2167000025510788,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7502,2.3016
11,53.16490173339844,29.86319923400879,11.656700134277344,4.372700214385986,0.8967999815940857,0.7973999977111816,6.182499885559082,0.37709999084472656,1000,1009,2000,1006,2000,2000,1000,0.4334999918937683,1.1433000564575195,2.0566999912261963,1000,1.394300000000015,0.2922,1,0.1069,0.0472,81920,15,15,0.3516,1086248,0,0,41.864498138427734,6.269400119781494,0.8167999982833862,1.5010000467300415,0.023099999874830246,0.14949999749660492,0.9829,0,4.011,14.9534,20.7773,0.0006,1.0239,1,77346,0,0,0,0,5.45872,2.10052
12,47.35329818725586,16.954099655151367,16.766700744628906,4.491600036621094,3.820499897003174,2.4811999797821045,6.758299827575684,0.2700999975204468,1000,1009,2000,1006,2000,2000,1000,0.3921000063419342,1.0765000581741333,2.4112000465393066,1000,1.27790000000001,0.2843,1,0.1132,0.039599999999999996,81920,15,15,0.2893,179608,0,0,33.980201721191406,7.2281999588012695,0.7371000051498413,2.8642001152038574,0.41659998893737793,0.17520000040531158,0.0106,0,0.1105,3.1506,10.4992,7.0691,0.1935,1,77346,5794,1000,557,580,5.58088,2.71628
13,33.69260025024414,1.3725999593734741,20.663299560546875,7.0843000411987305,4.602799892425537,2.3649001121520996,6.083199977874756,0.36320000886917114,1000,1009,2000,1006,2000,2000,1000,0.550000011920929,1.3029999732971191,2.407900094985962,1000,1.3356000000000106,0.2214,1,0.10550000000000001,0.020900000000000002,81920,15,15,0.2162,55752,0,0,22.347900390625,6.267300128936768,0.6881999969482422,1.913599967956543,0.12960000336170197,0.15160000324249268,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5342,2.1488
14,39.454200744628906,0.004999999888241291,19.743099212646484,6.892099857330322,4.627299785614014,1.9366999864578247,14.682700157165527,0.36579999327659607,1000,1009,2000,1006,2000,2000,1000,0.5242999792098999,1.2180999517440796,2.2165000438690186,1000,1.3866000000000085,0.1558,1,0.1094,0.0234,81920,15,15,0.2455,7760,0,0,19.969900131225586,14.797900199890137,0.7333999872207642,1.3490999937057495,0.054499998688697815,0.15850000083446503,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44416,2.69264
15,93.33529663085938,18.27989959716797,65.34510040283203,4.492300033569336,13.632800102233887,16.20330047607422,5.372200012207031,4.094200134277344,1000,1009,2000,1006,2000,2000,1000,0.43309998512268066,1.0694999694824219,12.95829963684082,1000,1.1848000000000043,0.1612,1,0.0937,0.0255,81920,15,15,0.2208,12392,0,0,83.86820220947266,5.479000091552734,0.6572999954223633,1.0577000379562378,0.05139999836683273,0.15850000083446503,0.01,7.23330020904541,0.0994,3.1821,6.4356,2.9972,0.136,1,77120,5767,1000,550,324,5.50048,2.84533
16,63.320701599121094,1.3539999723434448,37.120201110839844,10.634300231933594,15.326700210571289,1.6888999938964844,5.557799816131592,0.365200012922287,1000,1009,2000,1006,2000,2000,1000,0.328900009393692,1.01419997215271,5.873600006103516,1000,1.3553000000000126,0.28,1,0.10900000000000001,0.0401,81920,15,15,0.225,94944,0,0,38.715999603271484,5.79040002822876,6.668300151824951,2.5243000984191895,0.16619999706745148,0.18930000066757202,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75516,3.50281
17,31.98240089416504,0.005400000140070915,17.72610092163086,6.4984002113342285,2.6668999195098877,1.898800015449524,8.572099685668945,0.501800000667572,1000,1009,2000,1006,2000,2000,1000,0.420199990272522,1.524999976158142,2.3424999713897705,1000,1.7479000000000255,0.2045,1,0.119,0.031,81920,15,15,0.2357,7760,0,0,18.04789924621582,8.676199913024902,0.869700014591217,1.3284000158309937,0.04740000143647194,0.1687999963760376,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04356,2.27628
18,29.602800369262695,2.708400011062622,17.006799697875977,6.405799865722656,2.999799966812134,1.3779000043869019,5.2546000480651855,0.3562999963760376,1000,1009,2000,1006,2000,2000,1000,0.4009999930858612,1.0264999866485596,2.861299991607666,1000,1.3830000000000096,0.1502,1,0.11050000000000001,0.057,81920,15,15,0.1967,11336,0,0,20.005300521850586,5.327300071716309,0.6546000242233276,1.1139999628067017,0.03319999948143959,0.14229999482631683,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51144,2.59116
19,34.90800094604492,3.4518001079559326,17.03529930114746,6.469099998474121,1.3432999849319458,1.1850999593734741,5.520699977874756,0.44999998807907104,1000,1009,2000,1006,2000,2000,1000,0.40639999508857727,2.2567999362945557,3.016700029373169,1000,1.399100000000008,0.1521,1,2.4481,0.0464,81920,15,15,0.2028,7760,0,0,20.680400848388672,5.584400177001953,0.66839998960495,3.1247000694274902,0.021199999377131462,0.15970000624656677,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18324,2.35916
20,28.98040008544922,1.743899941444397,15.985099792480469,6.613999843597412,1.3616000413894653,1.6786999702453613,5.6402997970581055,0.4869999885559082,1000,1009,2000,1006,2000,2000,1000,0.42590001225471497,1.2663999795913696,2.2959001064300537,1000,1.4236000000000157,0.1534,1,0.0977,0.0223,81920,15,15,0.194,91912,0,0,17.955699920654297,5.828700065612793,0.6761000156402588,2.0007998943328857,0.14790000021457672,0.19300000369548798,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41764,2.5638
21,29.913000106811523,5.333499908447266,14.797499656677246,6.228099822998047,1.3479000329971313,0.8271999955177307,5.390600204467773,0.32170000672340393,1000,1009,2000,1006,2000,2000,1000,0.33869999647140503,1.0968999862670898,2.938800096511841,1000,1.2985000000000115,0.1398,1,0.09459999999999999,0.0284,81920,15,15,0.2038,10264,0,0,20.36750030517578,5.463500022888184,0.6322000026702881,0.9138000011444092,0.02710000053048134,0.32359999418258667,0.015,0,0.0627,2.0344,2.2211,0.0003,0.0011,1,76938,0,0,0,0,5.75688,2.7656
22,31.366600036621094,1.9717999696731567,17.291000366210938,6.63700008392334,1.357100009918213,1.8178000450134277,6.695199966430664,0.4555000066757202,1000,1009,2000,1006,2000,2000,1000,0.47780001163482666,1.589400053024292,2.900700092315674,1000,1.2882000000000102,0.1652,1,0.092,0.029199999999999997,81920,15,15,0.1954,85744,0,0,19.48740005493164,6.904300212860107,0.6507999897003174,1.944700002670288,0.1467999964952469,0.15850000083446503,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48868,2.31044
23,25.956600189208984,0.003800000064074993,14.942899703979492,6.432799816131592,1.1627999544143677,1.2057000398635864,6.793900012969971,0.4823000133037567,1000,1009,2000,1006,2000,2000,1000,0.41830000281333923,1.5516999959945679,1.9962999820709229,1000,1.2370000000000054,0.1564,1,0.0956,0.0277,81920,15,15,0.2065,7760,0,0,15.149900436401367,6.863699913024902,0.6832000017166138,0.9790999889373779,0.022600000724196434,0.14990000426769257,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38476,2.35544
24,31.94099998474121,5.650599956512451,16.286800384521484,5.827300071716309,2.81030011177063,1.1038000583648682,5.347599983215332,0.3546000123023987,1000,1009,2000,1006,2000,2000,1000,0.3831000030040741,1.0508999824523926,2.9426000118255615,1000,1.3438000000000099,0.1644,1,0.10930000000000001,0.0298,81920,15,15,0.23,8144,0,0,22.150100708007812,5.457600116729736,0.6620000004768372,1.1936999559402466,0.06939999759197235,0.18060000240802765,0.0151,0,0.0669,2.0716,2.7046,0.4411,0.0871,1,76938,5710,1000,557,206,5.49456,2.46748
25,30.267900466918945,1.3996000289916992,17.670299530029297,6.548999786376953,2.908900022506714,1.7934999465942383,5.7316999435424805,0.4961000084877014,1000,1009,2000,1006,2000,2000,1000,0.40400001406669617,1.2233999967575073,2.481300115585327,1000,1.3871000000000084,0.174,1,0.1112,0.030299999999999997,81920,15,15,0.2574,39320,0,0,19.430700302124023,5.866099834442139,0.6960999965667725,1.6872999668121338,0.09220000356435776,0.18199999630451202,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58132,2.8524
26,28.847200393676758,0.00430000014603138,17.453399658203125,6.515399932861328,2.7551000118255615,1.8315000534057617,6.844799995422363,0.5073000192642212,1000,1009,2000,1006,2000,2000,1000,0.4268999993801117,1.530400037765503,2.09879994392395,1000,1.328700000000012,0.1505,1,0.1033,0.0206,81920,15,15,0.1939,7760,0,0,17.70669937133789,6.939199924468994,0.6406000256538391,1.144700050354004,0.04089999943971634,0.15610000491142273,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48816,2.4082
27,39.40019989013672,16.15130043029785,12.871399879455566,4.1717000007629395,1.9706000089645386,1.3588999509811401,5.4008002281188965,0.34279999136924744,1000,1009,2000,1006,2000,2000,1000,0.3003000020980835,0.9452000260353088,2.2523999214172363,1000,1.3150000000000095,0.2177,1,0.10460000000000001,0.0281,81920,15,15,0.1962,9864,0,0,29.22920036315918,5.4918999671936035,0.7199000120162964,1.305400013923645,0.04520000144839287,0.4092999994754791,0.0141,6.202499866485596,0.1088,3.136,6.6643,3.2355,0.069,1,76920,5697,1000,560,91,5.48168,2.66088
28,31.084999084472656,1.5817999839782715,17.6343994140625,6.632599830627441,2.6094000339508057,1.7181999683380127,6.423699855804443,0.4902999997138977,1000,1009,2000,1006,2000,2000,1000,0.48240000009536743,1.4601999521255493,2.405600070953369,1000,1.2638000000000105,0.1505,1,0.09939999999999999,0.0249,81920,15,15,0.183,71976,0,0,19.47330093383789,6.59060001373291,0.5968000292778015,2.1535000801086426,0.12129999697208405,0.16339999437332153,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22648,2.57424
29,26.74139976501465,0.004000000189989805,16.040800094604492,6.575399875640869,2.0866000652313232,1.3832999467849731,6.2596001625061035,0.4846000075340271,1000,1009,2000,1006,2000,2000,1000,0.40380001068115234,1.5520000457763672,1.8809000253677368,1000,1.3007000000000128,0.1615,1,0.098,0.025300000000000003,81920,15,15,0.1896,7760,0,0,16.260499954223633,6.3572998046875,0.6194000244140625,1.1642999649047852,0.030799999833106995,0.156700000166893,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3846,2.72
