frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents,gpu_main_ms,gpu_shadow_ms
1,497.02410888671875,0.2761000096797943,87.51490020751953,6.2789998054504395,1.1270999908447266,2.0227999687194824,0.5503000020980835,0.005900000222027302,0,5,0,0,0,0,0,5.874300003051758,6.710400104522705,5.458000183105469,0,0,0,0,0,0,0,0,0,0,164472560,6,6,292.1524963378906,6.029099941253662,9.809399604797363,36.81420135498047,3.0650999546051025,0.4408000111579895,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2,7.027599811553955,0.007199999876320362,2.595599889755249,0.009800000116229057,0.015699999406933784,0.009100000374019146,0.01489999983459711,0.0007999999797903001,0,5,0,0,0,0,0,0.09669999778270721,0.05570000037550926,1.8386000394821167,0,0,0,0,0,0,0,0,0,0,12400,0,0,4.5746002197265625,1.399999976158142,0.08219999819993973,0.6036999821662903,1.3557000160217285,0.05660000070929527,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
3,91.39810180664062,72.91419982910156,4.598400115966797,0.01850000023841858,0.026799999177455902,1.5224000215530396,0.007799999788403511,0.003800000064074993,0,5,0,5,0,0,0,0.16120000183582306,0.053199999034404755,2.260499954223633,0,0,0,0,0,0,0,0,0,0,3575776,0,0,77.6323013305664,0.045099999755620956,11.1451997756958,0.3490999937057495,0.013799999840557575,0.10679999738931656,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
4,7.107100009918213,5.556300163269043,0.6261000037193298,0.009100000374019146,0.014700000174343586,0.004999999888241291,0.008200000040233135,0.000699999975040555,0,5,0,5,0,0,0,0.08720000088214874,0.04360000044107437,0.2628999948501587,0,0,0,0,0,0,0,0,0,0,9168,0,0,6.360199928283691,0.03880000114440918,0.14159999787807465,0.3118000030517578,0.01209999993443489,0.07190000265836716,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
5,360.910888671875,292.0664978027344,67.25150299072266,41.16279983520508,1.9175000190734863,6.089600086212158,0.008700000122189522,2.428299903869629,1000,1009,0,5,0,0,0,0.4643999934196472,0.42239999771118164,0.8858000040054321,0,0,0,0,0,0,0,0,0,0,116128088,5,4,359.460205078125,0.15289999544620514,0.11110000312328339,0.8823000192642212,0.11710000038146973,0.10909999907016754,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6,58.68280029296875,22.749300003051758,13.95479965209961,2.808199882507324,0.6079000234603882,4.373199939727783,0.007499999832361937,0.31220000982284546,1000,1009,0,1006,0,0,1000,0.26579999923706055,0.42239999771118164,3.7476000785827637,0,0,0,0,0,0,0,0,0,0,11426296,0,0,36.893798828125,0.04820000007748604,18.742700576782227,0.36570000648498535,0.01360000018030405,0.11670000106096268,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
7,46.789100646972656,37.788700103759766,7.509699821472168,2.7613000869750977,0.6001999974250793,0.6118999719619751,0.011699999682605267,0.1281999945640564,1000,1009,0,1006,0,0,1000,0.3068999946117401,0.6883000135421753,1.1818000078201294,0,0,0,0,0,0,0,0,0,0,18215032,1,0,45.4822998046875,0.0625,0.2770000100135803,0.4537999927997589,0.016899999231100082,0.11810000240802765,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
8,14.391599655151367,3.1803998947143555,9.92710018157959,2.793299913406372,0.5674999952316284,0.517799973487854,0.009800000116229057,0.1234000027179718,1000,1009,0,1006,0,0,1000,0.30090001225471497,0.5831000208854675,1.3561999797821045,0,0,0,0,0,0,0,0,0,0,12384,0,0,13.31309986114502,0.051600001752376556,0.25270000100135803,0.3720000088214874,0.013700000010430813,0.1136000007390976,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
9,139.08790588378906,69.57099914550781,19.38319969177246,5.778800010681152,0.5810999870300293,7.063499927520752,6.356500148773193,0.15940000116825104,1000,1009,2000,1006,2000,2000,1000,0.2786000072956085,1.9673999547958374,1.2976000308990479,1000,2.8524000000000536,0.982,1,0.9749000000000001,0.19990000000000002,81920,15,15,0.8,47895280,2,1,89.10199737548828,10.847800254821777,5.60699987411499,26.408700942993164,4.13700008392334,0.10019999742507935,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76916,3.60116
10,34.856998443603516,18.314300537109375,9.675600051879883,2.6205999851226807,2.376800060272217,1.6433000564575195,3.3808000087738037,0.20319999754428864,1000,1009,2000,1006,2000,2000,1000,0.26350000500679016,0.531000018119812,1.1032999753952026,1000,0.7465000000000094,0.1536,1,0.0706,0.0385,81920,15,15,0.209,1086248,0,0,28.201200485229492,3.614300012588501,0.4456999897956848,1.0081000328063965,0.20649999380111694,0.10199999809265137,0.5241,0,2.5703,9.085,12.9165,0.0003,0.6519,1,77346,0,0,0,994,5.82048,3.54784
