frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents,gpu_main_ms,gpu_shadow_ms
1,1226.99072265625,0.3402000069618225,123.68080139160156,8.990599632263184,1.6060999631881714,3.1140999794006348,0.8131999969482422,0,0,5,0,0,0,0,0,8.19950008392334,9.404399871826172,7.385700225830078,0,0,0,0,0,0,0,0,0,0,164473728,6,6,421.8445129394531,8.000200271606445,18.01569938659668,490.22021484375,3.834199905395508,0.6176000237464905,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2,11.896699905395508,0.01489999983459711,4.690199851989746,0.017999999225139618,0.054999999701976776,0.04859999939799309,0.018699999898672104,0,0,5,0,0,0,0,0,0.15839999914169312,0.07970000058412552,3.4412999153137207,0,0,0,0,0,0,0,0,0,0,12400,0,0,8.33080005645752,1.8619999885559082,0.12720000743865967,0.911300003528595,1.8013999462127686,0.1200999990105629,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
3,136.07440185546875,111.74629974365234,7.174699783325195,0.029500000178813934,0.035999998450279236,2.6835999488830566,0.017000000923871994,0,0,5,0,5,0,0,0,0.1551000028848648,0.07999999821186066,3.410799980163574,0,0,0,0,0,0,0,0,0,0,3577160,0,0,119.1166000366211,0.07289999723434448,13.401300430297852,0.39430001378059387,0.02019999921321869,0.12430000305175781,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
4,4.253699779510498,2.300299882888794,0.8586999773979187,0.01730000041425228,0.036400001496076584,0.009700000286102295,0.012600000016391277,0,0,5,0,5,0,0,0,0.13830000162124634,0.08110000193119049,0.3073999881744385,0,0,0,0,0,0,0,0,0,0,8480,0,0,3.3547000885009766,0.06509999930858612,0.19200000166893005,0.34700000286102295,0.019999999552965164,0.06880000233650208,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
5,7.442500114440918,6.0914998054504395,0.5072000026702881,0.00860000029206276,0.019600000232458115,0.0071000000461936,0.009999999776482582,0,0,5,0,5,0,0,0,0.12800000607967377,0.06310000270605087,0.09889999777078629,0,0,0,0,0,0,0,0,0,0,8280,0,0,6.752399921417236,0.05079999938607216,0.1046999990940094,0.2919999957084656,0.015399999916553497,0.07999999821186066,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6,3272.534912109375,2325.55322265625,943.9307250976562,681.3292236328125,22.255399703979492,43.60490036010742,0.018400000408291817,0,0,10009,0,5,0,0,0,2.942699909210205,5.931700229644775,19.647300720214844,0,0,0,0,0,0,0,0,0,0,2545230776,87,20,3269.610595703125,0.3183000087738037,0.20160000026226044,1.3145999908447266,0.24009999632835388,0.7985000014305115,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
7,237.69110107421875,123.43689727783203,66.82389831542969,11.585399627685547,0.9818000197410583,20.224000930786133,0.016899999231100082,0,0,10009,0,10006,0,0,10000,1.541100025177002,5.177000045776367,22.625,0,0,0,0,0,0,0,0,0,0,280415296,14,2,190.6049041748047,0.0949999988079071,33.668701171875,0.5174999833106995,0.03060000017285347,0.15000000596046448,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
8,43.96189880371094,3.91129994392395,36.2140007019043,11.029600143432617,1.0235999822616577,5.009500026702881,0.02329999953508377,0,0,10009,0,10006,0,0,10000,1.723099946975708,5.897500038146973,6.653900146484375,0,0,0,0,0,0,0,0,0,0,348496,0,0,40.43659973144531,0.11749999970197678,1.1934000253677368,0.580299973487854,0.03280000016093254,0.14249999821186066,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
9,60.90890121459961,20.891599655151367,36.58729934692383,11.18280029296875,1.0521999597549438,4.976600170135498,0.01549999974668026,0,0,10009,0,10006,0,0,10000,1.7026000022888184,6.4654998779296875,6.586999893188477,0,0,0,0,0,0,0,0,0,0,276936,0,0,57.74509811401367,0.1006999984383583,1.1059000492095947,0.5052000284194946,0.0272000003606081,0.10980000346899033,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
10,82.93890380859375,18.98710060119629,32.07550048828125,10.256600379943848,0.9394000172615051,4.696100234985352,0.014600000344216824,0,0,10009,0,10006,0,0,10000,0.9675999879837036,4.752099990844727,6.2129998207092285,10000,6.831500000002601,2.4657,1,3.6794000000000002,0.3429,376832,15,15,2.6982,8001224,0,0,51.26850128173828,0.11840000003576279,11.563799858093262,0.5982000231742859,0.02449999935925007,0.1703999936580658,0,0,0,0,0,0,0,0,0,0,0,0,0,59.04388,43.09008
11,94.82740020751953,11.968500137329102,54.02439880371094,17.167499542236328,1.5230000019073486,9.687999725341797,0.0551999993622303,0,0,10009,0,10006,0,0,10000,1.517199993133545,8.251199722290039,9.566200256347656,10000,5.031400000000044,3.5953,1,0.2809,0.1382,376832,15,15,4.4205,8080,0,0,66.29039764404297,0.2542000114917755,9.509599685668945,1.1921000480651855,0.05079999938607216,0.29350000619888306,0,0,0,0,0,0,0,0,0,0,0,0,0,58.9926,45.17556
12,123.17449951171875,37.76319885253906,59.89820098876953,18.075899124145508,2.188699960708618,11.205300331115723,0.023600000888109207,0,0,10009,0,10006,0,0,10000,1.5760999917984009,8.145999908447266,10.501999855041504,10000,3.728100000000219,3.6967,1,0.2518,0.1475,376832,15,15,4.7641,25552920,0,0,98.11979675292969,0.15680000185966492,9.395099639892578,0.8715999722480774,0.04430000111460686,0.21649999916553497,0,0,0,0,0,0,0,0,0,0,0,0,0,58.93324,44.79924
13,87.20960235595703,17.626699447631836,52.34280014038086,16.984100341796875,1.7546000480651855,7.621500015258789,0.01730000041425228,0,0,10009,0,10006,0,0,10000,1.4496999979019165,8.068400382995605,9.639800071716309,10000,3.6505000000003203,2.1017,1,0.2152,0.06659999999999999,376832,15,15,1.9816,14269776,1,1,70.25080108642578,0.1500999927520752,6.003600120544434,1.132200002670288,0.029999999329447746,0.29840001463890076,0,0,0,0,0,0,0,0,0,0,0,0,0,58.80048,44.83896
14,142.3675994873047,56.67789840698242,69.83910369873047,17.732500076293945,2.4865000247955322,7.780600070953369,0.015599999576807022,0,0,10009,0,10006,0,0,10000,1.4045000076293945,8.031900405883789,10.91510009765625,10000,3.566500000000294,1.5569,1,0.23149999999999998,0.0666,376832,15,15,1.9886,12114304,0,0,127.01360321044922,0.10199999809265137,5.232800006866455,0.6711999773979187,0.031199999153614044,0.19619999825954437,0,0,0,0,0,0,0,0,0,0,0,0,0,58.79344,44.0654
15,169.86160278320312,122.77749633789062,36.61479949951172,13.793399810791016,1.0529999732971191,4.3927001953125,0.010599999688565731,0,0,10009,0,10006,0,0,10000,2.252000093460083,2.9375,7.680600166320801,10000,2.133599999999836,1.1816,1,0.11460000000000001,0.0293,376832,15,15,1.0407,31067016,1,1,159.68670654296875,0.06620000302791595,3.9426000118255615,0.5375000238418579,0.015699999406933784,0.1517000049352646,0,0,0,0,0,0,0,0,0,0,0,0,0,58.84072,42.94954
16,72.91819763183594,3.535799980163574,51.35530090332031,23.048799514770508,1.440000057220459,6.496500015258789,0.019500000402331352,0,0,10009,0,10006,0,0,10000,2.218400001525879,4.766600131988525,8.858699798583984,10000,3.4787000000004,2.3229,1,0.20810000000000003,0.06789999999999999,376832,15,15,2.4885,299544,0,0,55.12519836425781,0.1120000034570694,6.29610013961792,1.1051000356674194,0.0215000007301569,0.34610000252723694,0,0,0,0,0,0,0,0,0,0,0,0,0,58.66964,45.40044
17,89.68399810791016,6.728700160980225,62.38010025024414,23.368799209594727,2.1212000846862793,9.375300407409668,0.03689999878406525,0,0,10009,0,10006,0,0,10000,1.8128000497817993,4.615900039672852,14.335399627685547,10000,3.441800000000378,2.9931,1,0.20600000000000002,0.0939,376832,15,15,3.3082,294976,0,0,69.46700286865234,0.17810000479221344,7.51039981842041,1.1022000312805176,0.06300000101327896,0.3237000107765198,0,0,0,0,0,0,0,0,0,0,0,0,0,58.79456,45.21104
18,104.189697265625,8.690600395202637,67.83170318603516,23.29330062866211,2.060800075531006,12.3681001663208,0.023900000378489494,0,0,10009,0,10006,0,0,10000,2.1396000385284424,4.332699775695801,17.19700050354004,10000,5.173300000000084,3.1991,1,0.268,0.1217,376832,15,15,3.6968,277760,0,0,76.8678970336914,0.181099995970726,11.187100410461426,1.0204999446868896,0.04349999874830246,0.2791000008583069,0,0,0,0,0,0,0,0,0,0,0,0,0,58.75076,45.36564
19,92.97219848632812,4.809700012207031,64.66020202636719,23.104400634765625,2.326200008392334,14.555000305175781,0.01810000091791153,0,0,10009,0,10006,0,0,10000,1.8313000202178955,4.517600059509277,12.412400245666504,10000,5.346900000000002,2.3136,1,0.22840000000000002,0.091,376832,15,15,2.6493,210464,0,0,69.83550262451172,0.11969999969005585,9.485699653625488,1.0210000276565552,0.03319999948143959,0.2515999972820282,0,0,0,0,0,0,0,0,0,0,0,0,0,59.03972,45.35908
20,78.39869689941406,11.622400283813477,41.851200103759766,8.424799919128418,2.053999900817871,10.68529987335205,0.027699999511241913,0,0,10009,0,10006,0,0,10000,1.7508000135421753,4.7241997718811035,10.961600303649902,10000,6.2608000000004544,1.9185,1,0.26880000000000004,0.09409999999999999,376832,15,15,2.5532,7776,0,0,53.83530044555664,0.1842000037431717,8.256999969482422,0.9631999731063843,0.057100001722574234,0.28529998660087585,0,0,0,0,0,0,0,0,0,0,0,0,0,58.71972,45.25704
21,88.01509857177734,19.756099700927734,37.69419860839844,5.1066999435424805,1.770400047302246,11.315299987792969,0.024299999698996544,0,0,10009,0,10006,0,0,10000,0.5178999900817871,4.451499938964844,11.288599967956543,10000,5.401399999999989,2.4943,1,0.24830000000000002,0.0863,376832,15,15,2.2777,5558016,0,0,57.79209899902344,0.15610000491142273,7.934500217437744,1.037500023841858,0.04390000179409981,8.500499725341797,0,0,0,0,0,0,0,0,0,0,0,0,0,58.91996,45.40108
22,105.16339874267578,36.73659896850586,29.413000106811523,5.006199836730957,1.6786999702453613,11.053999900817871,0.029100000858306885,0,0,10009,0,10006,0,0,10000,0.5620999932289124,2.4291999340057373,5.334400177001953,10000,6.016200000000442,4.0711,1,0.30820000000000003,0.1513,376832,15,15,4.4711,14243168,0,0,66.5094985961914,0.1979999989271164,11.770700454711914,1.3042999505996704,0.05999999865889549,6.982399940490723,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7678,45.20804
23,105.29679870605469,47.66279983520508,25.743999481201172,5.487599849700928,2.663800001144409,5.668399810791016,0.028599999845027924,0,0,10009,0,10006,0,0,10000,0.5393999814987183,2.4260001182556152,5.325699806213379,10000,6.299700000000592,3.0045,1,0.24869999999999998,0.0988,376832,15,15,2.9114,12070256,0,0,73.76380157470703,0.15520000457763672,8.933899879455566,1.1267999410629272,0.03539999946951866,6.417200088500977,0,0,0,0,0,0,0,0,0,0,0,0,0,58.74336,45.27788
