frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents,gpu_main_ms,gpu_shadow_ms
1,2176.333251953125,0.847000002861023,358.63970947265625,25.951400756835938,4.387599945068359,8.1766996383667,2.2785000801086426,0.042899999767541885,0,5,0,0,0,0,0,21.775299072265625,22.464399337768555,19.797700881958008,0,0,0,0,0,0,0,0,0,0,164470168,6,6,1288.928955078125,19.503000259399414,34.81129837036133,116.8595962524414,8.827699661254883,1.2797000408172607,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2,21.59630012512207,0.031199999153614044,8.804100036621094,0.03519999980926514,0.06610000133514404,0.020099999383091927,0.044199999421834946,0.0020000000949949026,0,5,0,0,0,0,0,0.2896000146865845,0.15440000593662262,6.614699840545654,0,0,0,0,0,0,0,0,0,0,12400,0,0,15.34179973602295,3.0178000926971436,0.19930000603199005,1.8033000230789185,2.885499954223633,0.2289000004529953,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
3,308.1169128417969,250.17909240722656,15.5556001663208,0.06040000170469284,0.08749999850988388,5.202000141143799,0.040699999779462814,0.011699999682605267,0,5,0,5,0,0,0,0.2635999917984009,0.1899999976158142,7.872000217437744,0,0,0,0,0,0,0,0,0,0,3577160,0,0,266.09210205078125,0.1842000037431717,33.40629959106445,0.9993000030517578,0.0494999997317791,0.3343999981880188,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
4,11.338199615478516,6.334400177001953,1.853700041770935,0.021199999377131462,0.046799998730421066,0.01730000041425228,0.022700000554323196,0.0017000000225380063,0,5,0,5,0,0,0,0.20149999856948853,0.148499995470047,0.862500011920929,0,0,0,0,0,0,0,0,0,0,8480,0,0,8.758899688720703,0.1615999937057495,0.5672000050544739,0.9950000047683716,0.07460000365972519,0.25220000743865967,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
5,18.448999404907227,13.871299743652344,1.6141999959945679,0.03150000050663948,0.051899999380111694,0.02449999935925007,0.03539999946951866,0.0027000000700354576,0,5,0,5,0,0,0,0.23929999768733978,0.18119999766349792,0.38100001215934753,0,0,0,0,0,0,0,0,0,0,8280,0,0,15.958999633789062,0.1996999979019165,0.31459999084472656,1.0169999599456787,0.05829999968409538,0.3093000054359436,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6,7473.26953125,5881.11279296875,1587.7093505859375,916.6563720703125,31.786399841308594,78.35759735107422,0.033399999141693115,20.778499603271484,10000,10009,0,5,0,0,0,4.117000102996826,9.823100090026855,33.972999572753906,0,0,0,0,0,0,0,0,0,0,2544788704,87,20,7469.36376953125,0.6973000168800354,0.3939000070095062,1.9528000354766846,0.5444999933242798,0.23070000112056732,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
7,714.3549194335938,213.75759887695312,158.16470336914062,28.696699142456055,1.7080999612808228,56.352500915527344,87.04219818115234,3.4470999240875244,10000,10009,20000,10006,20000,20000,10000,2.9865000247955322,17.599000930786133,36.15700149536133,0,0,0,0,0,0,0,0,0,0,334550264,14,2,372.4158935546875,139.54510498046875,66.30419921875,111.27960205078125,47.23080062866211,0.31769999861717224,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
8,184.76780700683594,0.012600000016391277,75.36239624023438,24.318300247192383,2.4728000164031982,8.372599601745605,48.94779968261719,2.72189998626709,10000,10009,20000,10006,20000,20000,10000,2.700500011444092,11.031299591064453,12.393500328063965,10000,10.371599999999152,4.1843,1,6.8773,0.6725,376832,15,15,4.8488,7837792,0,0,75.97779846191406,49.16490173339844,22.097000122070312,4.385900020599365,0.08070000261068344,0.3425000011920929,0,0,0,0,0,0,0,0,0,0,0,0,0,58.59812,45.63724
9,265.7958068847656,105.07499694824219,89.97059631347656,22.012100219726562,22.292699813842773,9.712300300598145,47.279300689697266,2.682800054550171,10000,10009,20000,10006,20000,20000,10000,2.634999990463257,10.736000061035156,10.724699974060059,10000,4.149000000000106,2.9166,1,0.2701,0.1537,376832,15,15,3.6412,18480,0,0,195.63580322265625,47.47639846801758,7.525000095367432,2.9035000801086426,0.066600002348423,0.17350000143051147,1.9352,0,14.6005,46.3422,71.2837,0.0013,8.4013,1,1065516,0,0,0,9994,58.83792,44.71708
10,152.3695068359375,0.007699999958276749,74.6583023071289,20.32469940185547,8.131400108337402,11.550700187683105,45.839500427246094,3.3826000690460205,10000,10009,20000,10006,20000,20000,10000,3.137200117111206,9.666799545288086,10.368000030517578,10000,3.8414000000002098,2.2251,1,0.23650000000000002,0.08449999999999999,376832,15,15,2.1903,7904,0,0,74.98719787597656,48.155799865722656,7.487199783325195,11.485699653625488,2.2516000270843506,0.31380000710487366,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8846,44.82712
11,141.86520385742188,0.011300000362098217,73.1771011352539,19.33679962158203,8.33549976348877,11.968700408935547,45.246700286865234,4.6219000816345215,10000,10009,20000,10006,20000,20000,10000,2.2964999675750732,8.704899787902832,9.886899948120117,10000,3.623500000000318,1.3353,1,0.19390000000000002,0.0576,376832,15,15,1.5473,7904,0,0,73.6239013671875,51.456298828125,5.045599937438965,2.6445999145507812,6.1479997634887695,0.20260000228881836,0,0,0,0,0,0,0,0,0,0,0,0,0,59.27744,44.63236
12,185.73060607910156,37.59120178222656,71.38069915771484,18.019800186157227,10.436400413513184,11.562800407409668,45.10390090942383,2.7151999473571777,10000,10009,20000,10006,20000,20000,10000,1.789199948310852,7.746099948883057,10.545100212097168,10000,3.5009000000002968,1.3829,1,0.18760000000000002,0.0394,376832,15,15,1.9071,90560,0,0,109.23799896240234,45.630401611328125,5.372799873352051,2.6440999507904053,0.45579999685287476,13.78969955444336,0.0138,0,0.2255,15.6741,29.1888,12.872,0.7945,1,1063518,61921,10000,6276,9999,58.63244,44.69584
13,212.99630737304688,0.0066999997943639755,65.07879638671875,17.291900634765625,7.39709997177124,10.927000045776367,50.86629867553711,2.5787999629974365,10000,10009,20000,10006,20000,20000,10000,1.4847999811172485,8.137499809265137,9.51039981842041,10000,3.514300000000332,1.4275,1,0.20920000000000002,0.0764,376832,15,15,2.4707,7904,0,0,65.34230041503906,51.490699768066406,5.452199935913086,3.0125999450683594,0.5019000172615051,77.94650268554688,0,0,0,0,0,0,0,0,0,0,0,0,0,59.14164,44.76244
14,212.12249755859375,0.0066999997943639755,52.02840042114258,5.9903998374938965,7.132299900054932,11.01509952545166,55.862701416015625,2.581199884414673,10000,10009,20000,10006,20000,20000,10000,1.3323999643325806,8.149299621582031,10.43910026550293,10000,3.523600000000283,2.4081,1,0.20490000000000003,0.0761,376832,15,15,1.9639,7904,0,0,52.252601623535156,56.43410110473633,6.241399765014648,3.338200092315674,0.4819999933242798,84.21070098876953,0,0,0,0,0,0,0,0,0,0,0,0,0,58.59796,44.48312
15,212.82029724121094,31.33639907836914,60.03049850463867,5.053599834442139,7.332099914550781,15.249199867248535,52.899898529052734,5.0507001876831055,10000,10009,20000,10006,20000,20000,10000,1.4412000179290771,9.167900085449219,10.045499801635742,10000,3.4511000000003675,1.606,1,0.1921,0.049100000000000005,376832,15,15,1.4841,118296,0,0,91.59729766845703,53.71849822998047,5.502900123596191,3.2339000701904297,0.7024000287055969,49.68539810180664,0.0145,9.515399932861328,0.2028,8.9182,13.5569,3.8413,0.8235,1,1056326,63806,10000,6862,9997,58.5388,44.60192
16,212.33729553222656,0.006399999838322401,55.399600982666016,4.738999843597412,6.5346999168396,11.767399787902832,53.6083984375,4.923600196838379,10000,10009,20000,10006,20000,20000,10000,0.41850000619888306,11.4443998336792,9.81350040435791,10000,5.275000000000139,2.4958,1,0.24300000000000002,0.0723,376832,15,15,2.4191,7712,0,0,55.65190124511719,54.74209976196289,7.762599945068359,3.186199903488159,0.9886999726295471,78.24440002441406,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5846,44.53212
17,212.0749053955078,0.006899999920278788,45.88059997558594,4.894899845123291,6.518700122833252,12.290599822998047,14.326800346374512,5.100399971008301,10000,10009,20000,10006,20000,20000,10000,0.39309999346733093,7.158899784088135,4.20359992980957,10000,5.364999999999951,2.5514,1,0.24499999999999997,0.09040000000000001,376832,15,15,2.6409,7712,0,0,46.09280014038086,14.86359977722168,8.027400016784668,3.622499942779541,0.47699999809265137,127.62100219726562,0,0,0,0,0,0,0,0,0,0,0,0,0,58.60032,44.50664
18,212.2303009033203,5.3404998779296875,39.04800033569336,4.747099876403809,7.833600044250488,10.056599617004395,13.433899879455566,2.107800006866455,10000,10009,20000,10006,20000,20000,10000,0.45260000228881836,4.259399890899658,5.234300136566162,10000,1.4618999999998665,2.4657,1,0.16099999999999998,0.056100000000000004,376832,15,15,1.5484,124608,0,0,44.60089874267578,13.95930004119873,4.680300235748291,3.224900007247925,0.45320001244544983,140.20790100097656,0,0,0,0,0,0,0,0,0,0,0,0,0,58.53232,44.20404
19,211.12640380859375,0.006300000008195639,21.027099609375,4.696499824523926,1.330899953842163,2.4123001098632812,12.926300048828125,1.0010000467300415,10000,10009,20000,10006,20000,20000,10000,0.3878999948501587,3.9286000728607178,3.7356998920440674,10000,1.4610999999998666,1.4791,1,0.16269999999999998,0.047099999999999996,376832,15,15,1.6598,7712,0,0,21.267000198364258,13.031700134277344,3.5994999408721924,2.1686999797821045,0.053700000047683716,165.53619384765625,0,0,0,0,0,0,0,0,0,0,0,0,0,58.46672,44.4548
20,211.31939697265625,0.006500000134110451,21.13479995727539,4.780799865722656,1.3134000301361084,2.4038000106811523,12.837900161743164,1.011299967765808,10000,10009,20000,10006,20000,20000,10000,0.41029998660087585,3.9870998859405518,3.7695000171661377,10000,1.4595999999998661,1.424,1,0.16349999999999998,0.044,376832,15,15,1.5666,7712,0,0,21.35569953918457,12.91569995880127,3.611299991607666,2.2404000759124756,0.02590000070631504,165.66229248046875,0,0,0,0,0,0,0,0,0,0,0,0,0,58.52552,44.29564
21,211.75509643554688,15.302000045776367,40.267398834228516,4.730800151824951,3.732300043106079,3.7651000022888184,13.125,1.0051000118255615,10000,10009,20000,10006,20000,20000,10000,0.4494999945163727,3.971100091934204,19.284400939941406,10000,1.5456999999998606,1.4241,1,0.2022,0.0927,376832,15,15,2.8328,10280,0,0,55.784698486328125,13.204700469970703,4.089099884033203,3.4052000045776367,0.026100000366568565,128.19650268554688,0.0141,0,0.2139,10.4962,11.0641,0.0013,0.6617,1,1080980,0,0,0,9997,58.4188,44.2752
22,211.22300720214844,0.006300000008195639,27.608999252319336,4.822400093078613,5.644400119781494,4.83650016784668,12.996800422668457,1.0069999694824219,10000,10009,20000,10006,20000,20000,10000,0.41429999470710754,3.878200054168701,3.575500011444092,10000,1.461099999999866,1.4056,1,0.1784,0.0532,376832,15,15,1.9917,7760,0,0,27.837900161743164,13.483499526977539,3.560699939727783,3.460200071334839,0.4424000084400177,156.96910095214844,0,0,0,0,0,0,0,0,0,0,0,0,0,58.47396,44.6514
23,211.62120056152344,0.006500000134110451,27.929000854492188,4.697299957275391,5.499800205230713,5.0177998542785645,13.083100318908691,0.9911999702453613,10000,10009,20000,10006,20000,20000,10000,0.42480000853538513,4.344900131225586,3.5576000213623047,10000,1.4668999999998649,1.4813,1,0.16799999999999998,0.0533,376832,15,15,1.655,7712,0,0,28.17840003967285,13.591899871826172,3.6089999675750732,2.460400104522705,0.44940000772476196,158.22109985351562,0,0,0,0,0,0,0,0,0,0,0,0,0,58.32472,44.264
24,211.814697265625,17.736600875854492,28.016399383544922,4.748899936676025,5.433599948883057,5.137199878692627,13.168999671936035,0.9850000143051147,10000,10009,20000,10006,20000,20000,10000,0.4016999900341034,4.132400035858154,3.463599920272827,10000,1.5756999999998544,2.5355,1,0.257,0.0572,376832,15,15,2.726,97480,0,0,45.98310089111328,13.684700012207031,5.4217000007629395,3.5620999336242676,0.45249998569488525,136.08799743652344,0.0142,0,0.1981,7.3971,12.4139,4.4875,0.5142,1,1092652,67356,10000,8634,9999,58.45244,44.30012
25,211.18460083007812,0.005100000184029341,27.756999969482422,4.749499797821045,5.633299827575684,5.008500099182129,13.063199996948242,1.0827000141143799,10000,10009,20000,10006,20000,20000,10000,0.37779998779296875,3.9535000324249268,3.529900074005127,10000,1.4537999999998668,1.4277,1,4.1511,0.0766,376832,15,15,1.6865,7712,0,0,27.985200881958008,13.584099769592285,3.6705000400543213,2.6939001083374023,0.4697999954223633,153.65890502929688,0,0,0,0,0,0,0,0,0,0,0,0,0,58.25472,44.4488
26,211.31179809570312,0.005900000222027302,27.621200561523438,4.690199851989746,5.426799774169922,5.132400035858154,13.088600158691406,1.0027999877929688,10000,10009,20000,10006,20000,20000,10000,0.3531999886035919,3.892199993133545,3.675600051879883,10000,1.4753999999998653,1.4596,1,0.1636,0.047099999999999996,376832,15,15,1.5826,7712,0,0,27.84869956970215,13.627599716186523,3.5824999809265137,2.602299928665161,0.4666000008583069,158.11849975585938,0,0,0,0,0,0,0,0,0,0,0,0,0,58.31888,44.23608
27,211.81239318847656,54.49129867553711,33.82160186767578,4.828100204467773,7.25540018081665,6.397200107574463,13.810799598693848,1.1301000118255615,10000,10009,20000,10006,20000,20000,10000,0.6097999811172485,4.742099761962891,4.091700077056885,10000,1.6086999999998661,1.9577,1,0.1977,0.0862,376832,15,15,2.0655,103592,0,0,88.55220031738281,14.44379997253418,4.186800003051758,3.393199920654297,0.5674999952316284,93.32389831542969,0.0149,9.219099998474121,0.1842,33.3749,37.6108,3.6951,0.7136,1,1125332,69449,10000,9753,9999,58.43996,44.1118
28,211.01950073242188,0.0052999998442828655,27.391399383544922,4.7870001792907715,5.4791998863220215,4.8460001945495605,13.062800407409668,1.0256999731063843,10000,10009,20000,10006,20000,20000,10000,0.4309000074863434,3.871000051498413,3.5343000888824463,10000,1.4643999999998667,1.4374,1,0.1653,0.0475,376832,15,15,1.6923,7712,0,0,27.630599975585938,13.58329963684082,3.577199935913086,3.13700008392334,0.4781999886035919,157.51780700683594,0,0,0,0,0,0,0,0,0,0,0,0,0,58.51908,44.06544
29,211.27589416503906,0.004699999932199717,27.82819938659668,4.829800128936768,5.537300109863281,4.946700096130371,12.957500457763672,1.006500005722046,10000,10009,20000,10006,20000,20000,10000,0.42879998683929443,3.955699920654297,3.680999994277954,10000,1.461499999999866,1.4323,1,0.17329999999999998,0.0395,376832,15,15,1.6257,7712,0,0,28.043100357055664,13.4931001663208,3.5875000953674316,2.471100091934204,0.48170000314712524,158.1772003173828,0,0,0,0,0,0,0,0,0,0,0,0,0,58.44532,44.09052
30,211.539306640625,5.033299922943115,27.609800338745117,4.721199989318848,5.779699802398682,5.056000232696533,13.084799766540527,0.9990000128746033,10000,10009,20000,10006,20000,20000,10000,0.43070000410079956,4.0524001121521,3.2692999839782715,10000,1.4917999999998637,1.5248,1,0.1684,0.048100000000000004,376832,15,15,1.6882,104672,0,0,32.904998779296875,13.643600463867188,3.793100118637085,3.3192999362945557,0.49470001459121704,152.20370483398438,0,0,0,0,0,0,0,0,0,0,0,0,0,58.37596,44.00172
31,211.4257049560547,0.007600000128149986,21.11870002746582,4.8958001136779785,1.306399941444397,2.393699884414673,12.990699768066406,1.0088000297546387,10000,10009,20000,10006,20000,20000,10000,0.41990000009536743,3.8580000400543213,3.588399887084961,10000,1.4622999999998665,2.4553,1,0.16460000000000002,0.047,376832,15,15,1.65,7712,0,0,21.377700805664062,13.161499977111816,4.606100082397461,2.3352999687194824,0.0348999984562397,164.1549072265625,0,0,0,0,0,0,0,0,0,0,0,0,0,58.46344,44.34456
32,212.13690185546875,0.006200000178068876,88.18509674072266,10.6181001663208,17.796100616455078,16.680700302124023,48.66899871826172,6.417600154876709,10000,10009,20000,10006,20000,20000,10000,0.5674999952316284,6.247300148010254,3.579900026321411,10000,1.4563999999998662,2.7981,1,0.1887,0.0514,376832,15,15,1.8527,7712,0,0,88.4113998413086,48.9635009765625,5.222499847412109,2.6898000240325928,0.05249999836087227,46.369598388671875,0,0,0,0,0,0,0,0,0,0,0,0,0,58.38764,43.9978
33,211.8209991455078,12.503899574279785,25.872699737548828,4.702000141143799,4.034999847412109,4.588900089263916,14.411700248718262,1.0885000228881836,10000,10009,20000,10006,20000,20000,10000,0.4799000024795532,4.156000137329102,3.5973000526428223,10000,1.437499999999868,1.5706,1,0.16469999999999999,0.0395,376832,15,15,1.6581,10280,0,0,38.603599548339844,14.481399536132812,3.749300003051758,2.290600061416626,0.023499999195337296,147.29490661621094,0.0141,0,0.188,7.0314,7.5378,0.0007,0.6211,1,1150076,0,0,0,9995,58.34684,44.01464
34,210.76690673828125,0.004000000189989805,27.045700073242188,4.678599834442139,5.624800205230713,4.665200233459473,14.426899909973145,1.0098999738693237,10000,10009,20000,10006,20000,20000,10000,0.4528999924659729,3.8513998985290527,3.6254000663757324,10000,1.440699999999868,1.4725,1,0.1644,0.0458,376832,15,15,1.6785,7712,0,0,27.23419952392578,15.173100471496582,3.7014999389648438,2.4395999908447266,0.4702000021934509,156.7895965576172,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4056,44.00136
35,211.3155059814453,0.004000000189989805,28.14080047607422,4.689000129699707,5.781199932098389,5.135900020599365,14.588299751281738,1.0608999729156494,10000,10009,20000,10006,20000,20000,10000,0.4433000087738037,3.9969000816345215,3.6775999069213867,10000,1.4606999999998669,2.4581,1,0.16410000000000002,0.0528,376832,15,15,1.5963,7712,0,0,28.32710075378418,15.198699951171875,4.981200218200684,3.285900115966797,0.5480999946594238,152.17559814453125,0,0,0,0,0,0,0,0,0,0,0,0,0,58.31588,43.83452
36,212.08079528808594,27.425399780273438,47.70209884643555,8.319600105285645,7.467899799346924,7.604800224304199,14.723299980163574,1.311400055885315,10000,10009,20000,10006,20000,20000,10000,0.5760999917984009,5.787399768829346,11.066699981689453,10000,1.472199999999865,4.1329,1,0.24039999999999997,0.1343,376832,15,15,5.0562,110144,0,0,75.34349822998047,15.776100158691406,28.98979949951172,3.8224000930786133,0.9772999882698059,75.81770324707031,0.0143,9.40999984741211,0.1791,7.9095,12.3389,3.9502,0.4758,1,1188398,78041,10000,12026,9996,58.3446,43.79252
37,211.71510314941406,0.0044999998062849045,30.634000778198242,4.877299785614014,5.567999839782715,5.108399868011475,14.859999656677246,1.0297000408172607,10000,10009,20000,10006,20000,20000,10000,0.40610000491142273,3.996299982070923,6.202000141143799,10000,1.510499999999863,2.6069,1,0.2138,0.0751,376832,15,15,1.8874,7712,0,0,30.888399124145508,15.47070026397705,4.792900085449219,3.152899980545044,0.5529000163078308,151.3701934814453,0,0,0,0,0,0,0,0,0,0,0,0,0,58.36328,43.92084
