frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents,gpu_main_ms,gpu_shadow_ms
1,773.0579223632812,0.3481000065803528,121.87760162353516,8.484999656677246,1.6067999601364136,3.166599988937378,0.762499988079071,0.007799999788403511,0,5,0,0,0,0,0,7.730599880218506,9.568900108337402,7.306600093841553,0,0,0,0,0,0,0,0,0,0,164474320,6,6,419.3288879394531,7.653800010681152,14.467000007629395,53.823001861572266,3.727799892425537,0.6164000034332275,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2,11.142399787902832,0.015200000256299973,4.5346999168396,0.01600000075995922,0.03480000048875809,0.012500000186264515,0.0203000009059906,0.0008999999845400453,0,5,0,0,0,0,0,0.16869999468326569,0.08449999988079071,3.3933000564575195,0,0,0,0,0,0,0,0,0,0,12400,0,0,8.025099754333496,1.6181000471115112,0.08969999849796295,0.8633999824523926,1.5530999898910522,0.08160000294446945,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
3,130.3892059326172,106.94120025634766,6.76609992980957,0.023900000378489494,0.028300000354647636,2.8306000232696533,0.017500000074505806,0.004600000102072954,0,5,0,5,0,0,0,0.15839999914169312,0.07970000058412552,2.973599910736084,0,0,0,0,0,0,0,0,0,0,3577160,0,0,113.86190032958984,0.06909999996423721,13.286100387573242,0.4309999942779541,0.01860000006854534,0.1348000019788742,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
4,4.471399784088135,2.506700038909912,0.930899977684021,0.016599999740719795,0.022199999541044235,0.008700000122189522,0.013000000268220901,0.0008999999845400453,0,5,0,5,0,0,0,0.14800000190734863,0.07569999992847443,0.4163999855518341,0,0,0,0,0,0,0,0,0,0,8480,0,0,3.6180999279022217,0.06390000134706497,0.18559999763965607,0.30300000309944153,0.019899999722838402,0.08640000224113464,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
5,7.972499847412109,6.728899955749512,0.4381999969482422,0.007899999618530273,0.018200000748038292,0.0066999997943639755,0.010099999606609344,0.00039999998989515007,0,5,0,5,0,0,0,0.09529999643564224,0.05719999969005585,0.09510000050067902,0,0,0,0,0,0,0,0,0,0,8280,0,0,7.309800148010254,0.04879999905824661,0.09269999712705612,0.2870999872684479,0.013700000010430813,0.0794999971985817,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6,3233.19873046875,2198.7080078125,1032.459716796875,764.6895141601562,22.88279914855957,49.746700286865234,0.014499999582767487,9.390299797058105,10000,10009,0,5,0,0,0,2.684799909591675,6.400199890136719,18.46109962463379,0,0,0,0,0,0,0,0,0,0,2545191296,87,20,3231.289794921875,0.23330000042915344,0.18690000474452972,1.1105999946594238,0.17100000381469727,0.13439999520778656,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
7,335.0307922363281,159.06019592285156,129.0272979736328,34.987300872802734,1.3568999767303467,33.42399978637695,0.01489999983459711,2.0680999755859375,10000,10009,0,10006,0,0,10000,1.9718999862670898,5.8653998374938965,39.09280014038086,0,0,0,0,0,0,0,0,0,0,280415296,14,2,288.4132080078125,0.08950000256299973,33.88330078125,0.5831000208854675,0.030700000002980232,0.21320000290870667,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
8,95.36730194091797,12.804200172424316,77.68160247802734,40.18629837036133,1.6131999492645264,4.8414998054504395,0.02019999921321869,1.6785999536514282,10000,10009,0,10006,0,0,10000,1.8588999509811401,6.962600231170654,9.15530014038086,0,0,0,0,0,0,0,0,0,0,348496,0,0,90.8062973022461,0.09359999746084213,1.6093000173568726,0.492900013923645,0.025299999862909317,0.4950000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
9,122.92500305175781,27.08530044555664,70.50569915771484,37.46329879760742,1.573099970817566,4.681300163269043,0.012500000186264515,1.7483999729156494,10000,10009,0,10006,0,0,10000,1.121399998664856,5.349899768829346,8.501099586486816,10000,4.753100000001084,1.8353,1,2.7701000000000002,0.2613,376832,15,15,1.8288,8102200,0,0,97.80879974365234,0.07800000160932541,10.181699752807617,0.5034999847412109,0.020999999716877937,0.1469999998807907,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4298,44.78712
10,157.95620727539062,26.630199432373047,118.33110046386719,70.70059967041016,2.410900115966797,4.641499996185303,0.014299999922513962,3.78629994392395,10000,10009,0,10006,0,0,10000,1.1227999925613403,5.763400077819824,13.78030014038086,10000,2.4785999999999193,0.9289,1,0.1261,0.0458,376832,15,15,1.384,176048,0,0,145.20140075683594,0.08089999854564667,3.3310999870300293,0.616100013256073,0.021900000050663948,2.4672999382019043,0,0,0,0,0,0,0,0,0,0,0,0,0,58.46312,42.08224
