frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents,gpu_main_ms,gpu_shadow_ms
1,795.109619140625,0.3440000116825104,127.90809631347656,9.14210033416748,1.7431000471115112,3.2762999534606934,0.7565000057220459,0.009499999694526196,0,5,0,0,0,0,0,8.675200462341309,9.912799835205078,6.985899925231934,0,0,0,0,0,0,0,0,0,0,164470192,6,6,429.1889953613281,7.581600189208984,17.284099578857422,59.04610061645508,3.7274999618530273,0.6328999996185303,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2,11.308099746704102,0.011099999770522118,4.783699989318848,0.014700000174343586,0.027799999341368675,0.011099999770522118,0.018200000748038292,0.0012000000569969416,0,5,0,0,0,0,0,0.186599999666214,0.06830000132322311,3.5892999172210693,0,0,0,0,0,0,0,0,0,0,12400,0,0,8.109800338745117,1.7418999671936035,0.08089999854564667,0.8428000211715698,1.6859999895095825,0.09200000017881393,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
3,137.5113067626953,114.002197265625,6.228300094604492,0.023499999195337296,0.0272000003606081,2.323499917984009,0.009700000286102295,0.004900000058114529,0,5,0,5,0,0,0,0.14970000088214874,0.06080000102519989,2.966099977493286,0,0,0,0,0,0,0,0,0,0,3577160,0,0,120.3729019165039,0.052000001072883606,13.737500190734863,0.4368000030517578,0.015799999237060547,0.1298999935388565,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
4,4.18120002746582,2.4774999618530273,0.766700029373169,0.009600000455975533,0.01759999990463257,0.006399999838322401,0.012799999676644802,0.0010999999940395355,0,5,0,5,0,0,0,0.12809999287128448,0.047600001096725464,0.3319000005722046,0,0,0,0,0,0,0,0,0,0,8480,0,0,3.4045000076293945,0.050700001418590546,0.14499999582767487,0.3314000070095062,0.014999999664723873,0.07329999655485153,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
5,8.451800346374512,7.036300182342529,0.5343000292778015,0.008500000461935997,0.017899999395012856,0.007300000172108412,0.008799999952316284,0.0008999999845400453,0,5,0,5,0,0,0,0.13339999318122864,0.05339999869465828,0.10220000147819519,0,0,0,0,0,0,0,0,0,0,8280,0,0,7.6915998458862305,0.0471000000834465,0.1120000034570694,0.3463999927043915,0.015300000086426735,0.09139999747276306,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6,3133.023681640625,2244.50537109375,886.5626831054688,653.7050170898438,19.809099197387695,42.68619918823242,0.016200000420212746,8.83650016784668,10000,10009,0,5,0,0,0,2.04259991645813,5.304699897766113,15.562600135803223,0,0,0,0,0,0,0,0,0,0,2545194104,87,20,3131.199462890625,0.23149999976158142,0.1581999957561493,1.0398000478744507,0.17020000517368317,0.1404999941587448,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
7,295.84051513671875,137.94009399414062,119.94190216064453,33.573299407958984,1.433500051498413,27.403200149536133,0.013100000098347664,1.5401999950408936,10000,10009,0,10006,0,0,10000,1.7163000106811523,5.023600101470947,41.438201904296875,0,0,0,0,0,0,0,0,0,0,280415048,14,2,258.12060546875,0.0786999985575676,27.313499450683594,0.46399998664855957,0.026499999687075615,0.13570000231266022,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
8,93.73090362548828,12.264300346374512,77.96849822998047,43.20130157470703,1.6045000553131104,5.469099998474121,0.01720000058412552,1.562399983406067,10000,10009,0,10006,0,0,10000,1.879699945449829,5.650199890136719,9.955300331115723,0,0,0,0,0,0,0,0,0,0,348544,0,0,90.50469970703125,0.07829999923706055,1.1332999467849731,0.45649999380111694,0.020800000056624413,0.13249999284744263,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
9,113.36260223388672,24.715200424194336,64.8104019165039,34.59629821777344,1.3672000169754028,4.789899826049805,0.012900000438094139,1.482200026512146,10000,10009,0,10006,0,0,10000,1.7879999876022339,5.111999988555908,8.313899993896484,10000,4.979500000000501,1.71,1,2.8481,0.26539999999999997,376832,15,15,1.8669,8102248,0,0,89.7073974609375,0.07259999960660934,8.799099922180176,0.46639999747276306,0.01940000057220459,0.14309999346733093,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1472,37.68856
10,152.6772003173828,28.963899612426758,113.78040313720703,69.13719940185547,2.5236001014709473,5.320000171661377,0.016499999910593033,2.0717999935150146,10000,10009,0,10006,0,0,10000,1.8629000186920166,7.176599979400635,15.279399871826172,10000,3.000900000000103,0.8265,1,0.10039999999999999,0.0332,376832,15,15,0.9036,176096,0,0,142.95230102539062,0.08510000258684158,2.972599983215332,0.5526999831199646,0.019300000742077827,0.19329999387264252,0,0,0,0,0,0,0,0,0,0,0,0,0,58.55368,37.20236
11,137.04269409179688,13.51159954071045,114.25779724121094,68.13899993896484,2.49429988861084,5.358799934387207,0.011900000274181366,4.487100124359131,10000,10009,0,10006,0,0,10000,0.9939000010490417,5.035699844360352,14.45580005645752,10000,2.5832000000000663,0.745,1,0.1018,0.0494,376832,15,15,1.0284,8128,0,0,127.966796875,0.07930000126361847,2.7871999740600586,0.4812999963760376,0.027499999850988388,0.15230000019073486,0,0,0,0,0,0,0,0,0,0,0,0,0,58.62732,36.34156
12,149.91079711914062,42.269100189208984,99.07749938964844,58.39469909667969,2.3896000385284424,5.261899948120117,0.013799999840557575,1.697700023651123,10000,10009,0,10006,0,0,10000,0.9789000153541565,5.307600021362305,14.845800399780273,10000,2.556800000000165,0.6983,1,0.09879999999999999,0.030100000000000002,376832,15,15,0.7608,25552968,0,0,141.54989624023438,0.07590000331401825,2.576900005340576,0.44530001282691956,0.019899999722838402,0.14180000126361847,0,0,0,0,0,0,0,0,0,0,0,0,0,58.50236,36.86201
13,144.43429565429688,25.012100219726562,108.98380279541016,68.01499938964844,2.3545000553131104,5.11899995803833,0.021299999207258224,1.6039999723434448,10000,10009,0,10006,0,0,10000,0.8432999849319458,6.041600227355957,14.42490005493164,10000,3.0273000000000523,0.8743,1,0.1212,0.0371,376832,15,15,1.1461,14269824,1,1,134.16799926757812,0.08649999648332596,3.1663999557495117,0.557699978351593,0.020500000566244125,0.17419999837875366,0,0,0,0,0,0,0,0,0,0,0,0,0,58.61408,37.58092
14,170.76060485839844,70.71910095214844,92.49710083007812,38.2244987487793,2.3492000102996826,4.887700080871582,0.012000000104308128,1.7578999996185303,10000,10009,0,10006,0,0,10000,0.8550000190734863,4.771399974822998,14.986499786376953,10000,2.1982000000000705,0.6549,1,0.0904,0.035699999999999996,376832,15,15,0.6564,12114352,0,0,163.49769592285156,0.0640999972820282,2.205199956893921,0.42969998717308044,0.01769999973475933,0.1282999962568283,0,0,0,0,0,0,0,0,0,0,0,0,0,58.93288,37.03218
15,212.7958984375,143.60330200195312,61.27289962768555,33.35879898071289,1.340499997138977,3.595400094985962,0.009800000116229057,1.8543000221252441,10000,10009,0,10006,0,0,10000,0.7508000135421753,4.259300231933594,9.129899978637695,10000,2.240800000000096,0.7828,1,0.0907,0.0314,376832,15,15,0.7778,31067064,1,1,205.03919982910156,0.062199998646974564,2.4983999729156494,0.44530001282691956,0.01679999940097332,0.14069999754428864,0,0,0,0,0,0,0,0,0,0,0,0,0,58.22848,39.30807
16,112.9551010131836,4.459400177001953,92.59220123291016,41.08430099487305,1.7575000524520874,10.457900047302246,0.024700000882148743,3.950200080871582,10000,10009,0,10006,0,0,10000,3.267199993133545,10.512200355529785,11.185999870300293,10000,4.599300000001086,1.3546,1,0.1815,0.0443,376832,15,15,1.4035,299592,0,0,97.26270294189453,0.18440000712871552,5.109799861907959,0.6581000089645386,0.07680000364780426,0.21310000121593475,0,0,0,0,0,0,0,0,0,0,0,0,0,58.42716,44.70268
