frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents,gpu_main_ms,gpu_shadow_ms
1,1702.629150390625,0.836899995803833,254.02029418945312,21.00979995727539,3.793299913406372,6.693999767303467,1.9019999504089355,0.019200000911951065,0,5,0,0,0,0,0,17.037399291992188,1.1698999404907227,16.214000701904297,0,0,0,0,0,0,0,0,0,0,164400648,6,6,870.1727294921875,16.516399383544922,65.48989868164062,3.606800079345703,6.080699920654297,1.246899962425232,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2,20.274999618530273,0.04919999837875366,10.613300323486328,0.04879999905824661,0.0722000002861023,0.023499999195337296,0.04899999871850014,0.002199999988079071,0,5,0,0,0,0,0,0.320499986410141,0.017799999564886093,8.300600051879883,0,0,0,0,0,0,0,0,0,0,12224,0,0,18.13010025024414,0.6625999808311462,0.1941000074148178,0.00860000029206276,0.4887000024318695,0.3034999966621399,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
3,325.0732116699219,266.401611328125,15.855799674987793,0.06689999997615814,0.0722000002861023,6.4390997886657715,0.050700001418590546,0.01119999960064888,0,5,0,5,0,0,0,0.3181999921798706,0.019700000062584877,7.235300064086914,0,0,0,0,0,0,0,0,0,0,3577160,0,0,282.62890625,0.18639999628067017,35.0791015625,0.010900000110268593,0.010599999688565731,0.225600004196167,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
4,10.051600456237793,6.216899871826172,1.9918999671936035,0.030899999663233757,0.0617000013589859,0.01850000023841858,0.035599999129772186,0.0026000000070780516,0,5,0,5,0,0,0,0.27889999747276306,0.017400000244379044,0.8101000189781189,0,0,0,0,0,0,0,0,0,0,8480,0,0,8.763400077819824,0.13189999759197235,0.4334000051021576,0.007600000128149986,0.010700000450015068,0.1573999971151352,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
5,58.79779815673828,12.70110034942627,0.8026000261306763,0.01679999940097332,0.028300000354647636,0.012299999594688416,0.02370000071823597,0.0012000000569969416,0,5,0,5,0,0,0,0.2273000031709671,0.00839999970048666,0.19110000133514404,0,0,0,0,0,0,0,0,0,0,8280,0,0,13.83489990234375,0.0851999968290329,0.23260000348091125,0.006599999964237213,0.004600000102072954,44.32080078125,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6,6813.46630859375,4963.32470703125,1848.671630859375,1321.033447265625,38.18330001831055,71.12129974365234,0.029899999499320984,20.162500381469727,10000,10009,0,5,0,0,0,4.408299922943115,0.014600000344216824,33.36859893798828,0,0,0,0,0,0,0,0,0,0,2545180144,87,20,6812.33447265625,0.14820000529289246,0.2459000051021576,0.006500000134110451,0.02250000089406967,0.24699999392032623,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
7,439.81658935546875,231.14109802246094,113.56710052490234,22.850799560546875,1.5908000469207764,34.10260009765625,0.04639999940991402,3.5590999126434326,10000,10009,0,10006,0,0,10000,3.1981000900268555,0.03020000085234642,35.028900146484375,0,0,0,0,0,0,0,0,0,0,280415344,14,2,345.16729736328125,0.20520000159740448,68.58769989013672,0.018799999728798866,0.013299999758601189,0.32659998536109924,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
8,69.12100219726562,6.611499786376953,57.16360092163086,17.531299591064453,1.9320000410079956,8.661199569702148,0.05400000140070915,3.21589994430542,10000,10009,0,10006,0,0,10000,2.844099998474121,0.019700000062584877,11.147100448608398,0,0,0,0,0,0,0,0,0,0,348544,0,0,64.35089874267578,0.20569999516010284,1.8792999982833862,0.00989999994635582,0.01549999974668026,0.19979999959468842,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
9,94.46150207519531,33.11940002441406,56.00809860229492,17.017099380493164,1.5571999549865723,10.787500381469727,0.04580000042915344,2.926100015640259,10000,10009,0,10006,0,0,10000,2.81850004196167,0.021800000220537186,9.92590045928955,0,0,0,0,0,0,0,0,0,0,276984,0,0,89.51339721679688,0.21330000460147858,2.0190999507904053,0.017899999395012856,0.017000000923871994,0.3398999869823456,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
10,152.22889709472656,32.97760009765625,57.95930099487305,17.78730010986328,1.7467999458312988,10.736700057983398,0.053700000047683716,4.150899887084961,10000,10009,0,10006,0,0,10000,1.6957999467849731,0.023099999874830246,10.684700012207031,10000,12.717699999997784,3.1205,1,7.3842,0.6234999999999999,376832,15,15,4.6249,8001272,0,0,91.28839874267578,0.21310000121593475,23.8125,0.009499999694526196,0.013000000268220901,0.19470000267028809,0,0,0,0,0,0,0,0,0,0,0,0,0,59.04244,44.75156
11,87.95189666748047,16.033000946044922,54.128501892089844,17.12220001220703,1.9299999475479126,7.186800003051758,0.02850000001490116,5.471099853515625,10000,10009,0,10006,0,0,10000,1.4630999565124512,0.01730000041425228,10.058300018310547,10000,5.712400000000288,1.4699,1,0.18380000000000002,0.05159999999999999,376832,15,15,1.4052,8128,0,0,70.50800323486328,0.15530000627040863,5.560699939727783,0.00860000029206276,0.00800000037997961,0.2037000060081482,0,0,0,0,0,0,0,0,0,0,0,0,0,58.6268,44.70788
12,235.23980712890625,26.677200317382812,56.442298889160156,17.902599334716797,2.0615999698638916,9.581000328063965,0.04230000078678131,3.299999952316284,10000,10009,0,10006,0,0,10000,1.659600019454956,0.020500000566244125,9.904000282287598,10000,5.3836000000006665,2.7142,1,0.22469999999999998,0.099,376832,15,15,3.0021,25552968,0,0,83.40699768066406,0.19480000436306,9.29580020904541,0.014299999922513962,0.014800000004470348,127.70850372314453,0,0,0,0,0,0,0,0,0,0,0,0,0,58.77356,44.98076
13,214.02369689941406,16.5314998626709,46.5806999206543,16.209199905395508,1.257699966430664,6.773600101470947,0.025100000202655792,2.5418999195098877,10000,10009,0,10006,0,0,10000,1.190600037574768,0.010499999858438969,9.290599822998047,10000,5.235400000000844,1.4152,1,0.1933,0.0401,376832,15,15,1.5826,14269824,1,1,63.37820053100586,0.11320000141859055,5.1331000328063965,0.007300000172108412,0.007600000128149986,134.55270385742188,0,0,0,0,0,0,0,0,0,0,0,0,0,58.74948,44.69128
