frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents,gpu_main_ms,gpu_shadow_ms
1,1027.1748046875,1.1615999937057495,203.07269287109375,11.476699829101562,2.1175999641418457,3.969599962234497,0.9283999800682068,0.019300000742077827,0,5,0,0,0,0,0,9.968899726867676,11.866499900817871,31.836599349975586,0,0,0,0,0,0,0,0,0,0,164472904,6,6,602.7114868164062,10.059399604797363,17.196300506591797,60.378299713134766,4.962500095367432,11.422100067138672,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2,34.08729934692383,0.04490000009536743,13.13479995727539,0.03139999881386757,0.06300000101327896,0.018400000408291817,0.026200000196695328,0.002099999925121665,0,5,0,0,0,0,0,0.8539999723434448,0.15240000188350677,10.14169979095459,0,0,0,0,0,0,0,0,0,0,12592,0,0,27.66710090637207,3.3822999000549316,0.17599999904632568,1.6657999753952026,3.271699905395508,0.23520000278949738,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
3,242.25180053710938,208.63690185546875,8.725700378417969,0.03530000150203705,0.03790000081062317,3.273900032043457,0.023499999195337296,0.007799999788403511,0,5,0,5,0,0,0,0.1428000032901764,0.094200000166893,4.159200191497803,0,0,0,0,0,0,0,0,0,0,3577496,0,0,217.74639892578125,0.09470000118017197,19.74970054626465,0.5271000266075134,0.02669999934732914,0.164900004863739,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
4,6.999000072479248,3.495699882507324,1.2800999879837036,0.01549999974668026,0.030300000682473183,0.023399999365210533,0.01600000075995922,0.0012000000569969416,0,5,0,5,0,0,0,0.22339999675750732,0.1518000066280365,0.47029998898506165,0,0,0,0,0,0,0,0,0,0,8672,0,0,5.044600009918213,0.09730000048875809,0.3138999938964844,0.5877000093460083,0.02590000070631504,0.5849000215530396,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
5,12.155200004577637,9.78969955444336,0.9333999752998352,0.018799999728798866,0.031300000846385956,0.0142000000923872,0.010900000110268593,0.0012000000569969416,0,5,0,5,0,0,0,0.17470000684261322,0.09700000286102295,0.18170000612735748,0,0,0,0,0,0,0,0,0,0,8472,0,0,10.965900421142578,0.0731000006198883,0.1525000035762787,0.5680999755859375,0.018300000578165054,0.13230000436306,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6,5238.1611328125,3396.1064453125,1839.5462646484375,1290.6383056640625,20.805099487304688,38.075599670410156,0.010599999688565731,15.653200149536133,10000,10009,0,5,0,0,0,2.398099899291992,5.850100040435791,54.64039993286133,0,0,0,0,0,0,0,0,0,0,2545185256,87,20,5235.96142578125,0.301800012588501,0.1956000030040741,1.2359999418258667,0.24060000479221344,0.16339999437332153,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
7,240.7740936279297,124.89209747314453,68.27179718017578,11.141500473022461,0.9569000005722046,18.92460060119629,0.01080000028014183,1.7431000471115112,10000,10009,0,10006,0,0,10000,1.6533000469207764,4.9334001541137695,21.748199462890625,0,0,0,0,0,0,0,0,0,0,280415080,14,2,193.50050354003906,0.08349999785423279,34.34960174560547,0.5519999861717224,0.030799999833106995,0.1387999951839447,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
8,48.609901428222656,4.341000080108643,40.44490051269531,10.96500015258789,0.9976000189781189,5.01039981842041,0.018200000748038292,1.9491000175476074,10000,10009,0,10006,0,0,10000,1.6519999504089355,6.058599948883057,6.71560001373291,0,0,0,0,0,0,0,0,0,0,348304,0,0,45.066001892089844,0.1177000030875206,1.232699990272522,0.5097000002861023,0.03240000084042549,0.12960000336170197,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
9,65.48529815673828,20.324399948120117,41.27450180053711,10.863900184631348,1.1704000234603882,5.974599838256836,0.011800000444054604,2.3108999729156494,10000,10009,0,10006,0,0,10000,1.690000057220459,5.671500205993652,6.504899978637695,0,0,0,0,0,0,0,0,0,0,276744,0,0,61.86149978637695,0.09399999678134918,1.1957999467849731,0.574999988079071,0.02630000002682209,0.14169999957084656,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
10,84.61840057373047,17.770099639892578,35.84629821777344,9.965499877929688,1.0180000066757202,4.691500186920166,0.019700000062584877,2.233099937438965,10000,10009,0,10006,0,0,10000,0.9016000032424927,4.936999797821045,5.950900077819824,10000,6.600900000002547,1.9595,1,3.6523000000000003,0.3244,376832,15,15,2.3888,8001032,0,0,53.86980056762695,0.0917000025510788,11.11359977722168,0.49309998750686646,0.020800000056624413,0.14579999446868896,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8364,41.44036
