frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents,gpu_main_ms,gpu_shadow_ms
1,982.0404052734375,0.3490000069141388,125.10299682617188,8.589599609375,1.6073999404907227,3.3749001026153564,0.9361000061035156,0.009800000116229057,0,5,0,0,0,0,0,8.018500328063965,10.121700286865234,7.183499813079834,0,0,0,0,0,0,0,0,0,0,164474256,6,6,417.2770080566406,9.57979965209961,16.403499603271484,241.8134002685547,4.7820000648498535,0.6567000150680542,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2,12.738499641418457,0.05009999871253967,4.978000164031982,0.020099999383091927,0.04569999873638153,0.013500000350177288,0.02669999934732914,0.0010999999940395355,0,5,0,0,0,0,0,0.18250000476837158,0.09629999846220016,3.612600088119507,0,0,0,0,0,0,0,0,0,0,12400,0,0,8.759400367736816,2.0934998989105225,0.1257999986410141,1.003100037574768,2.0100998878479004,0.15160000324249268,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
3,145.34359741210938,121.87319946289062,6.611499786376953,0.024000000208616257,0.02969999983906746,2.618000030517578,0.012900000438094139,0.004900000058114529,0,5,0,5,0,0,0,0.1770000010728836,0.07750000059604645,3.0111000537872314,0,0,0,0,0,0,0,0,0,0,3577160,0,0,128.7133026123047,0.06549999862909317,13.283599853515625,0.4058000147342682,0.01899999938905239,0.13289999961853027,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
4,4.373499870300293,2.398699998855591,0.815500020980835,0.011099999770522118,0.02290000021457672,0.009800000116229057,0.01889999955892563,0.0010000000474974513,0,5,0,5,0,0,0,0.1331000030040741,0.07959999889135361,0.3122999966144562,0,0,0,0,0,0,0,0,0,0,8480,0,0,3.412600040435791,0.07180000096559525,0.19040000438690186,0.37619999051094055,0.01979999989271164,0.0877000018954277,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
5,8.428099632263184,6.838799953460693,0.5748999714851379,0.01119999960064888,0.020099999383091927,0.008799999952316284,0.014800000004470348,0.0010000000474974513,0,5,0,5,0,0,0,0.13660000264644623,0.06419999897480011,0.11020000278949738,0,0,0,0,0,0,0,0,0,0,8280,0,0,7.601399898529053,0.062199998646974564,0.1282999962568283,0.35120001435279846,0.01810000091791153,0.09109999984502792,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6,1701.5858154296875,1367.0599365234375,332.4737854003906,204.80479431152344,7.89739990234375,27.56329917907715,0.016699999570846558,3.745500087738037,5000,5009,0,5,0,0,0,1.5880000591278076,2.8359999656677246,5.871699810028076,0,0,0,0,0,0,0,0,0,0,796654096,42,12,1699.69140625,0.226500004529953,0.164900004863739,1.1109999418258667,0.1615000069141388,0.1459999978542328,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
7,204.54879760742188,85.53710174560547,92.46080017089844,14.422499656677246,9.583499908447266,17.701400756835938,0.011300000362098217,3.3210999965667725,5000,5009,0,5006,0,0,5000,1.170199990272522,2.5629000663757324,30.08209991455078,0,0,0,0,0,0,0,0,0,0,91395232,4,1,178.25100708007812,0.06870000064373016,21.542699813842773,0.4178999960422516,0.021900000050663948,0.16099999845027924,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
8,75.00489807128906,11.47659969329834,47.1614990234375,24.06920051574707,1.1621999740600586,3.117500066757202,0.018300000578165054,0.9627000093460083,5000,5009,0,5006,0,0,5000,1.2790000438690186,4.038000106811523,7.5644001960754395,0,0,0,0,0,0,0,0,0,0,326464,0,0,58.86759948730469,0.10779999941587448,7.735300064086914,0.5357000231742859,0.032099999487400055,0.15940000116825104,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
9,82.9917984008789,26.54199981689453,37.34870147705078,18.975500106811523,1.1265000104904175,2.903700113296509,0.015599999576807022,0.8949999809265137,5000,5009,0,5006,0,0,5000,1.1819000244140625,3.086899995803833,4.7052001953125,5000,4.479700000000077,1.4401,1,1.1355,0.191,212992,15,15,1.3694,6409472,0,0,64.13390350341797,0.07249999791383743,7.40749979019165,0.45730000734329224,0.019300000742077827,0.12999999523162842,0,0,0,0,0,0,0,0,0,0,0,0,0,29.005,18.7752
10,91.46320343017578,32.48630142211914,50.31079864501953,27.5846004486084,1.8186999559402466,2.6233999729156494,0.012900000438094139,0.9692999720573425,5000,5009,0,5006,0,0,5000,1.2577999830245972,3.13919997215271,7.401000022888184,5000,1.8882999999999153,0.4274,1,2.3481,0.0422,212992,15,15,0.4677,157440,0,0,83.01509857177734,0.07769999653100967,1.7496999502182007,0.4975000023841858,0.02239999920129776,0.1451999992132187,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0586,18.83244
11,80.34829711914062,13.983599662780762,59.8400993347168,32.71039962768555,2.0071001052856445,3.2353999614715576,0.012199999764561653,2.610100030899048,5000,5009,0,5006,0,0,5000,1.5815999507904053,3.2395999431610107,7.472700119018555,5000,2.000199999999913,0.4638,1,0.09910000000000001,0.0276,212992,15,15,0.4957,7936,0,0,74.03720092773438,0.08160000294446945,1.7796000242233276,0.4916999936103821,0.020500000566244125,0.15929999947547913,0,0,0,0,0,0,0,0,0,0,0,0,0,29.06832,19.57456
12,103.57440185546875,54.28499984741211,42.93790054321289,19.958599090576172,1.7862999439239502,2.95989990234375,0.01769999973475933,0.8690999746322632,5000,5009,0,5006,0,0,5000,1.1470999717712402,3.185800075531006,7.442200183868408,5000,1.9616999999999238,0.4776,1,0.09670000000000001,0.0325,212992,15,15,0.5151,26239544,0,0,97.42140197753906,0.08089999854564667,1.6871999502182007,0.4900999963283539,0.02019999921321869,0.1526000052690506,0,0,0,0,0,0,0,0,0,0,0,0,0,29.12496,18.88033
13,87.21029663085938,27.476999282836914,53.65829849243164,31.816200256347656,1.760599970817566,2.4907000064849854,0.011800000444054604,0.8230000138282776,5000,5009,0,5006,0,0,5000,0.9857000112533569,3.1047000885009766,7.35099983215332,5000,1.854099999999921,0.4567,1,0.0909,0.0281,212992,15,15,0.4888,14238856,0,0,81.3292007446289,0.07159999758005142,1.618399977684021,0.46880000829696655,0.01979999989271164,0.14000000059604645,0,0,0,0,0,0,0,0,0,0,0,0,0,29.09716,18.02404
14,111.01750183105469,72.64340209960938,32.33679962158203,16.07509994506836,0.8906000256538391,2.728600025177002,0.01510000042617321,0.7357000112533569,5000,5009,0,5006,0,0,5000,1.0625,3.2527999877929688,3.6851999759674072,5000,1.8689999999999205,0.4721,1,0.09709999999999999,0.0272,212992,15,15,0.469,12935736,1,1,105.17070007324219,0.07760000228881836,1.6236000061035156,0.44839999079704285,0.020400000736117363,0.14910000562667847,0,0,0,0,0,0,0,0,0,0,0,0,0,29.13548,18.16186
15,165.26669311523438,129.28179931640625,30.357900619506836,15.633700370788574,0.8668000102043152,2.1689000129699707,0.01269999984651804,1.057800054550171,5000,5009,0,5006,0,0,5000,1.023300051689148,2.7216999530792236,3.422100067138672,5000,1.699699999999923,0.4478,1,0.0876,0.0266,212992,15,15,0.4314,31037712,0,0,159.89450073242188,0.07199999690055847,1.4564000368118286,0.4368000030517578,0.02019999921321869,0.14920000731945038,0,0,0,0,0,0,0,0,0,0,0,0,0,28.96156,17.82212
