frame,frame_ms,simulation,presentation,behavior,transform_sync,emit,hud,animator,animator_updates,height_samples,terrain_rays,visible,hud_raw,hud_projected,behavior_ticks,minimap_collect,minimap_project,culling,gpu_instances,gpu_build,gpu_draw_cpu,poses,pose_build,upload_ms,upload_bytes,main_draws,shadow_draws,shadow_submit,alloc,gen0,gen1,tick,post,mode3d,overlay,overlay_build,end_draw,nav_target,nav_flow,nav_prep,nav_steering,nav_step,nav_hard,nav_sync,nav_steps,neighbor_candidates,hard_pairs,hard_candidates,hard_penetrating,moved_agents,gpu_main_ms,gpu_shadow_ms
1,986.3323974609375,0.5156999826431274,142.93080139160156,9.137700080871582,1.829699993133545,3.5239999294281006,1.1252000331878662,0.009800000116229057,0,5,0,0,0,0,0,8.670599937438965,11.021300315856934,9.386899948120117,0,0,0,0,0,0,0,0,0,0,164468120,6,6,455.9801025390625,10.713800430297852,16.558399200439453,189.89480590820312,4.955699920654297,0.6905999779701233,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
2,12.494600296020508,0.015200000256299973,5.07420015335083,0.015599999576807022,0.0348999984562397,0.013799999840557575,0.022700000554323196,0.0010999999940395355,0,5,0,0,0,0,0,0.17059999704360962,0.07339999824762344,3.851900100708008,0,0,0,0,0,0,0,0,0,0,12400,0,0,8.826499938964844,1.8316999673843384,0.11720000207424164,1.05239999294281,1.7577999830245972,0.09749999642372131,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
3,151.64610290527344,122.63780212402344,8.082099914550781,0.028999999165534973,0.03319999948143959,3.104300022125244,0.016599999740719795,0.005499999970197678,0,5,0,5,0,0,0,0.16899999976158142,0.07199999690055847,3.85260009765625,0,0,0,0,0,0,0,0,0,0,3577160,0,0,130.9062042236328,0.07660000026226044,16.684799194335938,0.4828000068664551,0.019899999722838402,0.1420000046491623,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
4,5.037899971008301,2.844899892807007,0.9258999824523926,0.014299999922513962,0.027000000700354576,0.012500000186264515,0.01759999990463257,0.0010999999940395355,0,5,0,5,0,0,0,0.1445000022649765,0.0940999984741211,0.353300005197525,0,0,0,0,0,0,0,0,0,0,8480,0,0,4.013999938964844,0.08449999988079071,0.27900001406669617,0.299699991941452,0.020400000736117363,0.06469999998807907,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
5,8.485300064086914,6.975399971008301,0.5479999780654907,0.010900000110268593,0.024700000882148743,0.008999999612569809,0.01119999960064888,0.0012000000569969416,0,5,0,5,0,0,0,0.11460000276565552,0.06210000067949295,0.11029999703168869,0,0,0,0,0,0,0,0,0,0,8280,0,0,7.668000221252441,0.05790000036358833,0.1339000016450882,0.3702000081539154,0.014999999664723873,0.08760000020265579,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6,1863.7164306640625,1432.9180908203125,428.5129089355469,268.6648864746094,9.163100242614746,34.43410110473633,0.01810000091791153,5.004199981689453,5000,5009,0,5,0,0,0,1.3380000591278076,3.077500104904175,7.790200233459473,0,0,0,0,0,0,0,0,0,0,796553024,42,12,1861.604248046875,0.3061999976634979,0.19200000166893005,1.1991000175476074,0.2296999990940094,0.1451999992132187,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
7,268.6205139160156,92.81430053710938,138.39129638671875,22.760400772094727,16.337600708007812,27.477800369262695,0.01940000057220459,5.161900043487549,5000,5009,0,5006,0,0,5000,1.312399983406067,3.438499927520752,43.46620178222656,0,0,0,0,0,0,0,0,0,0,91395232,4,1,231.4665985107422,0.11299999803304672,30.523399353027344,0.6363999843597412,0.03200000151991844,0.19030000269412994,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
8,81.96440124511719,13.457200050354004,50.31740188598633,26.173099517822266,1.323199987411499,3.240299940109253,0.015200000256299973,1.024999976158142,5000,5009,0,5006,0,0,5000,1.1588000059127808,3.6084001064300537,8.449799537658691,0,0,0,0,0,0,0,0,0,0,326464,0,0,64.1594009399414,0.08829999715089798,8.777799606323242,0.5008999705314636,0.021700000390410423,0.15649999678134918,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
9,91.95600128173828,27.493600845336914,43.59629821777344,24.495500564575195,1.443600058555603,2.8122000694274902,0.01590000092983246,0.8913000226020813,5000,5009,0,5006,0,0,5000,0.9812999963760376,2.9853999614715576,5.256400108337402,5000,4.7312000000002525,1.6614,1,1.2872999999999999,0.1993,212992,15,15,1.4884,6409472,0,0,71.33470153808594,0.07500000298023224,8.30270004272461,0.5691999793052673,0.019200000911951065,0.1665000021457672,0,0,0,0,0,0,0,0,0,0,0,0,0,28.96936,20.09208
10,96.3218002319336,31.381200790405273,54.91780090332031,31.738399505615234,1.8842999935150146,2.9647998809814453,0.014299999922513962,1.188099980354309,5000,5009,0,5006,0,0,5000,0.925000011920929,3.123199939727783,7.457200050354004,5000,2.217499999999998,0.5065,1,2.6889000000000003,0.0464,212992,15,15,0.5443,157440,0,0,86.58670043945312,0.08219999819993973,2.0139000415802,0.614799976348877,0.02329999953508377,0.15530000627040863,0,0,0,0,0,0,0,0,0,0,0,0,0,29.08696,19.47912
11,84.3373031616211,15.036800384521484,61.49660110473633,32.9557991027832,1.8464000225067139,4.468599796295166,0.01360000018030405,2.615000009536743,5000,5009,0,5006,0,0,5000,1.4345999956130981,3.7330000400543213,7.221499919891357,5000,2.276100000000023,0.5634,1,0.11220000000000001,0.0364,212992,15,15,0.7058,7936,0,0,76.77149963378906,0.07660000026226044,2.2130000591278076,0.5900999903678894,0.020500000566244125,0.179299995303154,0,0,0,0,0,0,0,0,0,0,0,0,0,29.21104,19.0788
12,106.10040283203125,55.57789993286133,43.371700286865234,20.50790023803711,1.9600000381469727,2.8963000774383545,0.013700000010430813,0.9496999979019165,5000,5009,0,5006,0,0,5000,1.0058000087738037,3.0894999504089355,7.364299774169922,5000,2.199599999999963,0.5638,1,0.11070000000000002,0.0351,212992,15,15,0.5387,26239544,0,0,99.18000030517578,0.07540000230073929,1.993299961090088,0.5468999743461609,0.020099999383091927,0.14869999885559082,0,0,0,0,0,0,0,0,0,0,0,0,0,29.36116,18.69284
13,87.77210235595703,26.55929946899414,54.023799896240234,31.900999069213867,1.7806999683380127,2.661099910736084,0.01590000092983246,0.8452000021934509,5000,5009,0,5006,0,0,5000,0.9369000196456909,3.254499912261963,7.213900089263916,5000,2.227399999999976,0.5724,1,0.1021,0.035,212992,15,15,0.5624,14238856,0,0,80.779296875,0.08669999986886978,1.9637999534606934,0.5489000082015991,0.02319999970495701,0.17790000140666962,0,0,0,0,0,0,0,0,0,0,0,0,0,29.20968,19.32892
14,125.65480041503906,79.42160034179688,39.99150085449219,21.001800537109375,1.23580002784729,3.0941998958587646,0.013700000010430813,0.9664999842643738,5000,5009,0,5006,0,0,5000,1.0267000198364258,3.088399887084961,5.0167999267578125,5000,1.99629999999992,0.4424,1,0.09559999999999999,0.030199999999999998,212992,15,15,0.4542,12935736,1,1,119.63939666748047,0.0746999979019165,1.6049000024795532,0.45019999146461487,0.01979999989271164,0.15029999613761902,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2704,19.54212
15,192.26170349121094,146.25010681152344,39.24480056762695,20.535200119018555,1.107100009918213,2.877700090408325,0.013399999588727951,1.145900011062622,5000,5009,0,5006,0,0,5000,1.1088999509811401,3.5499000549316406,4.3557000160217285,5000,2.048799999999934,0.6216,1,0.10570000000000002,0.0298,212992,15,15,0.507,31037712,0,0,185.74879455566406,0.07559999823570251,1.8314000368118286,0.5273000001907349,0.01940000057220459,0.1615999937057495,0,0,0,0,0,0,0,0,0,0,0,0,0,28.93476,19.88171
16,81.11409759521484,6.931300163269043,65.25039672851562,34.90610122680664,1.9019999504089355,4.356299877166748,0.02280000038444996,1.9180999994277954,5000,5009,0,5006,0,0,5000,1.9966000318527222,5.810699939727783,7.297699928283691,5000,3.157800000000394,0.5477,1,0.122,0.028,212992,15,15,0.681,7760,0,0,72.4220962524414,0.12110000103712082,2.171099901199341,0.5058000087738037,0.030700000002980232,0.15729999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,28.85332,20.04344
17,80.19830322265625,6.386300086975098,65.05699920654297,34.368099212646484,1.858199954032898,4.2631001472473145,0.018699999898672104,2.054800033569336,5000,5009,0,5006,0,0,5000,1.7380000352859497,5.714200019836426,7.731500148773193,5000,3.178600000000344,0.576,1,0.13069999999999998,0.0355,212992,15,15,0.7271,7760,0,0,71.6720962524414,0.10329999774694443,1.9860999584197998,0.477400004863739,0.02930000051856041,0.16500000655651093,0,0,0,0,0,0,0,0,0,0,0,0,0,28.93072,19.68348
18,679.3265991210938,467.8710021972656,96.65160369873047,41.172401428222656,1.214900016784668,29.334199905395508,38.9640998840332,1.4000999927520752,5000,5009,10000,5006,10000,10000,5000,1.182800054550171,6.271200180053711,4.266300201416016,5000,1.6004999999999363,0.4335,1,0.08660000000000001,0.0207,212992,15,15,0.4673,299442104,16,5,564.7330932617188,52.69329833984375,1.4544999599456787,57.04079818725586,12.998299598693848,0.2142000049352646,0,0,0,0,0,0,0,0,0,0,0,0,0,28.954,19.5316
